marmota_marmota_marmota ENSMMMG00000015752
urocitellus_parryii ENSUPAG00010007540
mus_spicilegus ENSMSIG00000029712
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033578
mus_musculus ENSMUSG00000032191
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032440
mus_pahari MGP_PahariEiJ_G0015304
cricetulus_griseus_crigri-picr ENSCGRG00015014872
nomascus_leucogenys ENSNLEG00000006483
homo_sapiens ENSG00000137875
rhinopithecus_roxellana ENSRROG00000041670
papio_anubis ENSPANG00000017449
cebus_capucinus ENSCCAG00000031947
saimiri_boliviensis_boliviensis ENSSBOG00000026375
callithrix_jacchus ENSCJAG00000000960
aotus_nancymaae ENSANAG00000038274
tursiops_truncatus ENSTTRG00000004637
vicugna_pacos ENSVPAG00000007895
bos_mutus ENSBMUG00000010134
bos_taurus ENSBTAG00000005429
bison_bison_bison ENSBBBG00000015555
ovis_aries ENSOARG00000020952
equus_caballus ENSECAG00000026995
myotis_lucifugus ENSMLUG00000004916
ursus_americanus ENSUAMG00000004729
panthera_pardus ENSPPRG00000005523
