bison_bison_bison ENSBBBG00000007731
erinaceus_europaeus ENSEEUG00000003865
heterocephalus_glaber_male ENSHGLG00100008394
heterocephalus_glaber_male ENSHGLG00100020303
heterocephalus_glaber_female ENSHGLG00000016416
heterocephalus_glaber_male ENSHGLG00100020298
fukomys_damarensis ENSFDAG00000007938
chinchilla_lanigera ENSCLAG00000000453
chinchilla_lanigera ENSCLAG00000000437
marmota_marmota_marmota ENSMMMG00000000370
marmota_marmota_marmota ENSMMMG00000000429
ictidomys_tridecemlineatus ENSSTOG00000033756
spermophilus_dauricus ENSSDAG00000018584
spermophilus_dauricus ENSSDAG00000018602
spermophilus_dauricus ENSSDAG00000018571
ictidomys_tridecemlineatus ENSSTOG00000031189
marmota_marmota_marmota ENSMMMG00000000408
spermophilus_dauricus ENSSDAG00000018593
dipodomys_ordii ENSDORG00000023357
echinops_telfairi ENSETEG00000002955
mus_musculus ENSMUSG00000093877
mus_spicilegus ENSMSIG00000000742
rattus_norvegicus ENSRNOG00000047512
meriones_unguiculatus ENSMUGG00000004199
cricetulus_griseus_crigri-picr ENSCGRG00015005431
cricetulus_griseus_chok1gshd ENSCGRG00001002005
cricetulus_griseus_crigri ENSCGRG00000003378
mesocricetus_auratus ENSMAUG00000015876
microtus_ochrogaster ENSMOCG00000002871
cricetulus_griseus_chok1gshd ENSCGRG00001002225
cricetulus_griseus_crigri-picr ENSCGRG00015005417
peromyscus_maniculatus_bairdii ENSPEMG00000028620
microtus_ochrogaster ENSMOCG00000001942
mus_spicilegus ENSMSIG00000000725
mus_musculus ENSMUSG00000034583
nannospalax_galili ENSNGAG00000000415
equus_caballus ENSECAG00000037890
equus_asinus_asinus ENSEASG00005020445
equus_asinus_asinus ENSEASG00005020447
equus_caballus ENSECAG00000034303
sus_scrofa ENSSSCG00000035329
sus_scrofa ENSSSCG00000033565
ursus_maritimus ENSUMAG00000004262
ursus_americanus ENSUAMG00000014376
ursus_maritimus ENSUMAG00000004272
ailuropoda_melanoleuca ENSAMEG00000018689
neovison_vison ENSNVIG00000012978
mustela_putorius_furo ENSMPUG00000006595
mustela_putorius_furo ENSMPUG00000020187
neovison_vison ENSNVIG00000012949
canis_lupus_dingo ENSCAFG00020015123
canis_lupus_dingo ENSCAFG00020015107
canis_lupus_familiaris ENSCAFG00000029760
panthera_tigris_altaica ENSPTIG00000003146
panthera_pardus ENSPPRG00000018616
felis_catus ENSFCAG00000024602
loxodonta_africana ENSLAFG00000026293
loxodonta_africana ENSLAFG00000030103
dasypus_novemcinctus ENSDNOG00000036253
dasypus_novemcinctus ENSDNOG00000038809
dasypus_novemcinctus ENSDNOG00000031957
