urocitellus_parryii ENSUPAG00010023123
marmota_marmota_marmota ENSMMMG00000009338
spermophilus_dauricus ENSSDAG00000016979
cricetulus_griseus_chok1gshd ENSCGRG00001018893
cricetulus_griseus_crigri-picr ENSCGRG00015028739
cricetulus_griseus_crigri ENSCGRG00000006334
mesocricetus_auratus ENSMAUG00000020407
microtus_ochrogaster ENSMOCG00000017364
peromyscus_maniculatus_bairdii ENSPEMG00000010432
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014119
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014933
mus_musculus ENSMUSG00000060715
meriones_unguiculatus ENSMUGG00000003736
nannospalax_galili ENSNGAG00000023577
monodelphis_domestica ENSMODG00000029142
sarcophilus_harrisii ENSSHAG00000013617
