astyanax_mexicanus ENSAMXG00000037524
danio_rerio ENSDARG00000069723
seriola_dumerili ENSSDUG00000009778
scophthalmus_maximus ENSSMAG00000020420
monopterus_albus ENSMALG00000008829
mastacembelus_armatus ENSMAMG00000004478
haplochromis_burtoni ENSHBUG00000005560
astatotilapia_calliptera ENSACLG00000004220
amphiprion_ocellaris ENSAOCG00000002119
gambusia_affinis ENSGAFG00000003017
xiphophorus_maculatus ENSXMAG00000017223
poecilia_reticulata ENSPREG00000017109
esox_lucius ENSELUG00000008097
paramormyrops_kingsleyae ENSPKIG00000024255
scleropages_formosus ENSSFOG00015002069
lepisosteus_oculatus ENSLOCG00000003462
anser_brachyrhynchus ENSABRG00000010947
anas_platyrhynchos_platyrhynchos ENSAPLG00000021977
gallus_gallus ENSGALG00000028207
coturnix_japonica ENSCJPG00005017956
parus_major ENSPMJG00000004957
zonotrichia_albicollis ENSZALG00000011252
calidris_pugnax ENSCPUG00000009058
dromaius_novaehollandiae ENSDNVG00000010130
crocodylus_porosus ENSCPRG00005008426
chrysemys_picta_bellii ENSCPBG00000016146
pelodiscus_sinensis ENSPSIG00000003318
pogona_vitticeps ENSPVIG00000013280
anolis_carolinensis ENSACAG00000017616
salvator_merianae ENSSMRG00000023683
latimeria_chalumnae ENSLACG00000022291
