oryzias_latipes ENSORLG00020006822
oryzias_melastigma ENSOMEG00000001561
xiphophorus_maculatus ENSXMAG00000028398
xiphophorus_couchianus ENSXCOG00000012375
poecilia_formosa ENSPFOG00000023956
poecilia_latipinna ENSPLAG00000008939
poecilia_reticulata ENSPREG00000005330
poecilia_mexicana ENSPMEG00000022820
fundulus_heteroclitus ENSFHEG00000004861
cynoglossus_semilaevis ENSCSEG00000019477
amphiprion_percula ENSAPEG00000011676
amphiprion_ocellaris ENSAOCG00000005556
stegastes_partitus ENSSPAG00000008695
acanthochromis_polyacanthus ENSAPOG00000001630
maylandia_zebra ENSMZEG00005018547
astatotilapia_calliptera ENSACLG00000004721
pundamilia_nyererei ENSPNYG00000003204
haplochromis_burtoni ENSHBUG00000014879
neolamprologus_brichardi ENSNBRG00000012917
oreochromis_niloticus ENSONIG00000006265
amphilophus_citrinellus ENSACIG00000021803
kryptolebias_marmoratus ENSKMAG00000017012
labrus_bergylta ENSLBEG00000012142
mola_mola ENSMMOG00000004230
anabas_testudineus ENSATEG00000000754
monopterus_albus ENSMALG00000006681
seriola_lalandi_dorsalis ENSSLDG00000025058
seriola_dumerili ENSSDUG00000010369
takifugu_rubripes ENSTRUG00000022607
hippocampus_comes ENSHCOG00000002387
periophthalmus_magnuspinnatus ENSPMGG00000013407
esox_lucius ENSELUG00000008474
pygocentrus_nattereri ENSPNAG00000001330
astyanax_mexicanus ENSAMXG00000041605
ictalurus_punctatus ENSIPUG00000004577
danio_rerio ENSDARG00000090230
paramormyrops_kingsleyae ENSPKIG00000011627
scleropages_formosus ENSSFOG00015020047
scleropages_formosus ENSSFOG00015019026
lepisosteus_oculatus ENSLOCG00000012078
notamacropus_eugenii ENSMEUG00000015774
sarcophilus_harrisii ENSSHAG00000012664
mustela_putorius_furo ENSMPUG00000009813
neovison_vison ENSNVIG00000023024
ursus_maritimus ENSUMAG00000015902
ursus_americanus ENSUAMG00000020702
ailuropoda_melanoleuca ENSAMEG00000000443
canis_lupus_dingo ENSCAFG00020027551
canis_lupus_familiaris ENSCAFG00000006414
vulpes_vulpes ENSVVUG00000005616
panthera_tigris_altaica ENSPTIG00000007900
panthera_pardus ENSPPRG00000001338
felis_catus ENSFCAG00000031300
equus_asinus_asinus ENSEASG00005004269
equus_caballus ENSECAG00000012889
myotis_lucifugus ENSMLUG00000026340
erinaceus_europaeus ENSEEUG00000005788
bos_mutus ENSBMUG00000005570
bos_taurus ENSBTAG00000018508
bison_bison_bison ENSBBBG00000007530
capra_hircus ENSCHIG00000001118
ovis_aries ENSOARG00000008737
tursiops_truncatus ENSTTRG00000005747
sus_scrofa ENSSSCG00000011635
pteropus_vampyrus ENSPVAG00000012602
pan_troglodytes ENSPTRG00000015405
pan_paniscus ENSPPAG00000030592
homo_sapiens ENSG00000144868
gorilla_gorilla ENSGGOG00000003990
pongo_abelii ENSPPYG00000014109
nomascus_leucogenys ENSNLEG00000003457
piliocolobus_tephrosceles ENSPTEG00000037915
colobus_angolensis_palliatus ENSCANG00000027430
rhinopithecus_bieti ENSRBIG00000033287
rhinopithecus_roxellana ENSRROG00000027643
cercocebus_atys ENSCATG00000031192
papio_anubis ENSPANG00000016165
theropithecus_gelada ENSTGEG00000013979
macaca_nemestrina ENSMNEG00000033255
macaca_fascicularis ENSMFAG00000031966
macaca_mulatta ENSMMUG00000019854
mandrillus_leucophaeus ENSMLEG00000036136
chlorocebus_sabaeus ENSCSAG00000010617
cebus_capucinus ENSCCAG00000035858
saimiri_boliviensis_boliviensis ENSSBOG00000011724
callithrix_jacchus ENSCJAG00000003018
aotus_nancymaae ENSANAG00000022953
carlito_syrichta ENSTSYG00000036394
propithecus_coquereli ENSPCOG00000025346
microcebus_murinus ENSMICG00000049334
prolemur_simus ENSPSMG00000025961
otolemur_garnettii ENSOGAG00000026581
tupaia_belangeri ENSTBEG00000015108
castor_canadensis ENSCCNG00000018692
dipodomys_ordii ENSDORG00000026666
heterocephalus_glaber_female ENSHGLG00000016884
heterocephalus_glaber_male ENSHGLG00100015678
fukomys_damarensis ENSFDAG00000005550
octodon_degus ENSODEG00000018277
chinchilla_lanigera ENSCLAG00000005981
cavia_porcellus ENSCPOG00000027319
cavia_aperea ENSCAPG00000009839
cricetulus_griseus_crigri-picr ENSCGRG00015007310
cricetulus_griseus_chok1gshd ENSCGRG00001020314
cricetulus_griseus_crigri ENSCGRG00000015560
mesocricetus_auratus ENSMAUG00000011991
microtus_ochrogaster ENSMOCG00000013266
peromyscus_maniculatus_bairdii ENSPEMG00000011056
mus_musculus ENSMUSG00000042757
