apteryx_haastii ENSAHAG00000010961
apteryx_owenii ENSAOWG00000006919
apteryx_rowi ENSARWG00000007760
lonchura_striata_domestica ENSLSDG00000011810
ficedula_albicollis ENSFALG00000004549
junco_hyemalis ENSJHYG00000007906
parus_major ENSPMJG00000003066
lepidothrix_coronata ENSLCOG00000006536
calidris_pugnax ENSCPUG00000000457
calidris_pygmaea ENSCPGG00000012049
anser_brachyrhynchus ENSABRG00000005228
anas_platyrhynchos_platyrhynchos ENSAPLG00000028749
crocodylus_porosus ENSCPRG00005013419
gopherus_agassizii ENSGAGG00000017630
chelonoidis_abingdonii ENSCABG00000002985
chrysemys_picta_bellii ENSCPBG00000024683
anolis_carolinensis ENSACAG00000008848
pogona_vitticeps ENSPVIG00000023787
salvator_merianae ENSSMRG00000000285
notechis_scutatus ENSNSUG00000005814
sphenodon_punctatus ENSSPUG00000003595
gallus_gallus ENSGALG00000047622
coturnix_japonica ENSCJPG00005001431
dipodomys_ordii ENSDORG00000011762
castor_canadensis ENSCCNG00000021307
mus_spicilegus ENSMSIG00000027848
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026175
mus_musculus ENSMUSG00000042404
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025232
mus_pahari MGP_PahariEiJ_G0026676
rattus_norvegicus ENSRNOG00000022373
meriones_unguiculatus ENSMUGG00000006841
cricetulus_griseus_crigri ENSCGRG00000014978
cricetulus_griseus_crigri-picr ENSCGRG00015006362
cricetulus_griseus_chok1gshd ENSCGRG00001001735
mesocricetus_auratus ENSMAUG00000020876
microtus_ochrogaster ENSMOCG00000016756
peromyscus_maniculatus_bairdii ENSPEMG00000008335
nannospalax_galili ENSNGAG00000021805
jaculus_jaculus ENSJJAG00000002150
chinchilla_lanigera ENSCLAG00000005313
octodon_degus ENSODEG00000013675
cavia_porcellus ENSCPOG00000012910
cavia_aperea ENSCAPG00000016425
heterocephalus_glaber_male ENSHGLG00100011645
heterocephalus_glaber_female ENSHGLG00000006184
fukomys_damarensis ENSFDAG00000012541
ictidomys_tridecemlineatus ENSSTOG00000010539
urocitellus_parryii ENSUPAG00010015204
marmota_marmota_marmota ENSMMMG00000017709
spermophilus_dauricus ENSSDAG00000001850
oryctolagus_cuniculus ENSOCUG00000011771
pan_paniscus ENSPPAG00000005709
pan_troglodytes ENSPTRG00000001365
homo_sapiens ENSG00000198837
gorilla_gorilla ENSGGOG00000003845
pongo_abelii ENSPPYG00000000795
nomascus_leucogenys ENSNLEG00000010604
theropithecus_gelada ENSTGEG00000019474
papio_anubis ENSPANG00000003886
cercocebus_atys ENSCATG00000030387
mandrillus_leucophaeus ENSMLEG00000008709
macaca_fascicularis ENSMFAG00000037492
macaca_mulatta ENSMMUG00000005002
macaca_nemestrina ENSMNEG00000044525
chlorocebus_sabaeus ENSCSAG00000001886
colobus_angolensis_palliatus ENSCANG00000033028
piliocolobus_tephrosceles ENSPTEG00000035727
rhinopithecus_bieti ENSRBIG00000036671
rhinopithecus_roxellana ENSRROG00000035662
saimiri_boliviensis_boliviensis ENSSBOG00000028638
callithrix_jacchus ENSCJAG00000010062
cebus_capucinus ENSCCAG00000023936
aotus_nancymaae ENSANAG00000035816
carlito_syrichta ENSTSYG00000027804
propithecus_coquereli ENSPCOG00000021491
prolemur_simus ENSPSMG00000021181
microcebus_murinus ENSMICG00000010282
otolemur_garnettii ENSOGAG00000029879
capra_hircus ENSCHIG00000007112
ovis_aries ENSOARG00000001584
bos_taurus ENSBTAG00000018711
bos_mutus ENSBMUG00000026802
bison_bison_bison ENSBBBG00000002661
sus_scrofa ENSSSCG00000006568
equus_caballus ENSECAG00000007422
equus_asinus_asinus ENSEASG00005000741
ailuropoda_melanoleuca ENSAMEG00000011996
ursus_americanus ENSUAMG00000024372
mustela_putorius_furo ENSMPUG00000008118
neovison_vison ENSNVIG00000017178
canis_lupus_familiaris ENSCAFG00000017416
canis_lupus_dingo ENSCAFG00020009558
vulpes_vulpes ENSVVUG00000028280
panthera_pardus ENSPPRG00000012451
loxodonta_africana ENSLAFG00000001088
dasypus_novemcinctus ENSDNOG00000005950
tursiops_truncatus ENSTTRG00000011153
vicugna_pacos ENSVPAG00000003789
pteropus_vampyrus ENSPVAG00000011083
erinaceus_europaeus ENSEEUG00000002684
tupaia_belangeri ENSTBEG00000011792
procavia_capensis ENSPCAG00000002940
echinops_telfairi ENSETEG00000008793
ochotona_princeps ENSOPRG00000006130
choloepus_hoffmanni ENSCHOG00000010154
myotis_lucifugus ENSMLUG00000013245
phascolarctos_cinereus ENSPCIG00000029356
notamacropus_eugenii ENSMEUG00000012889
monodelphis_domestica ENSMODG00000017327
sarcophilus_harrisii ENSSHAG00000011553
numida_meleagris ENSNMEG00000000531
gallus_gallus ENSGALG00000049516
xenopus_tropicalis ENSXETG00000019918
latimeria_chalumnae ENSLACG00000000240
tetraodon_nigroviridis ENSTNIG00000001948
tetraodon_nigroviridis ENSTNIG00000005394
hippocampus_comes ENSHCOG00000010760
fundulus_heteroclitus ENSFHEG00000021370
cyprinodon_variegatus ENSCVAG00000013963
poecilia_formosa ENSPFOG00000014728
poecilia_mexicana ENSPMEG00000004838
poecilia_latipinna ENSPLAG00000018535
poecilia_reticulata ENSPREG00000014857
xiphophorus_maculatus ENSXMAG00000002034
xiphophorus_couchianus ENSXCOG00000020675
gambusia_affinis ENSGAFG00000003032
gambusia_affinis ENSGAFG00000001580
mastacembelus_armatus ENSMAMG00000018250
oryzias_latipes_asm223469v1 ENSORLG00015014701
oryzias_latipes_asm223469v1 ENSORLG00015014680
periophthalmus_magnuspinnatus ENSPMGG00000014605
oryzias_latipes ENSORLG00000020838
oryzias_melastigma ENSOMEG00000004382
mola_mola ENSMMOG00000018332
mastacembelus_armatus ENSMAMG00000018231
labrus_bergylta ENSLBEG00000018668
astatotilapia_calliptera ENSACLG00000014937
maylandia_zebra ENSMZEG00005016869
haplochromis_burtoni ENSHBUG00000008894
pundamilia_nyererei ENSPNYG00000014947
oreochromis_niloticus ENSONIG00000001582
neolamprologus_brichardi ENSNBRG00000008078
amphilophus_citrinellus ENSACIG00000004296
amphiprion_percula ENSAPEG00000020778
amphiprion_ocellaris ENSAOCG00000010729
acanthochromis_polyacanthus ENSAPOG00000011424
stegastes_partitus ENSSPAG00000004795
anabas_testudineus ENSATEG00000019533
monopterus_albus ENSMALG00000004970
cynoglossus_semilaevis ENSCSEG00000014327
takifugu_rubripes ENSTRUG00000011396
seriola_lalandi_dorsalis ENSSLDG00000009166
seriola_dumerili ENSSDUG00000021335
scophthalmus_maximus ENSSMAG00000018139
scleropages_formosus ENSSFOG00015011137
paramormyrops_kingsleyae ENSPKIG00000012473
esox_lucius ENSELUG00000008571
astyanax_mexicanus ENSAMXG00000001965
pygocentrus_nattereri ENSPNAG00000008278
ictalurus_punctatus ENSIPUG00000003493
danio_rerio ENSDARG00000102914
lepisosteus_oculatus ENSLOCG00000008793
gasterosteus_aculeatus ENSGACG00000002947
periophthalmus_magnuspinnatus ENSPMGG00000014600
gadus_morhua ENSGMOG00000014638
