zonotrichia_albicollis ENSZALG00000008059
junco_hyemalis ENSJHYG00000017135
serinus_canaria ENSSCAG00000012070
calidris_pygmaea ENSCPGG00000018800
anas_platyrhynchos_platyrhynchos ENSAPLG00000022508
sphenodon_punctatus ENSSPUG00000006214
salvator_merianae ENSSMRG00000008700
calidris_pugnax ENSCPUG00000014181
calidris_pygmaea ENSCPGG00000018798
cyanistes_caeruleus ENSCCEG00000017269
lonchura_striata_domestica ENSLSDG00000001677
manacus_vitellinus ENSMVIG00005017612
melopsittacus_undulatus ENSMUNG00000011328
apteryx_haastii ENSAHAG00000019027
apteryx_rowi ENSARWG00000017613
apteryx_owenii ENSAOWG00000009831
nothoprocta_perdicaria ENSNPEG00000007622
gopherus_agassizii ENSGAGG00000012946
chelonoidis_abingdonii ENSCABG00000003710
chelonoidis_abingdonii ENSCABG00000003700
chrysemys_picta_bellii ENSCPBG00000001998
pelodiscus_sinensis ENSPSIG00000003573
notechis_scutatus ENSNSUG00000016315
loxodonta_africana ENSLAFG00000013068
procavia_capensis ENSPCAG00000003559
echinops_telfairi ENSETEG00000002797
dasypus_novemcinctus ENSDNOG00000007887
ursus_maritimus ENSUMAG00000025338
ursus_americanus ENSUAMG00000000576
neovison_vison ENSNVIG00000012002
mustela_putorius_furo ENSMPUG00000009891
canis_lupus_familiaris ENSCAFG00000011496
canis_lupus_dingo ENSCAFG00020012485
vulpes_vulpes ENSVVUG00000000463
panthera_tigris_altaica ENSPTIG00000018519
panthera_pardus ENSPPRG00000004987
felis_catus ENSFCAG00000006483
sus_scrofa ENSSSCG00000015657
vicugna_pacos ENSVPAG00000006046
capra_hircus ENSCHIG00000012705
ovis_aries ENSOARG00000006735
bos_taurus ENSBTAG00000019798
bos_mutus ENSBMUG00000025332
bison_bison_bison ENSBBBG00000015290
tursiops_truncatus ENSTTRG00000012114
pteropus_vampyrus ENSPVAG00000011568
myotis_lucifugus ENSMLUG00000017719
equus_asinus_asinus ENSEASG00005004806
equus_caballus ENSECAG00000016196
erinaceus_europaeus ENSEEUG00000006814
sorex_araneus ENSSARG00000006372
chinchilla_lanigera ENSCLAG00000013237
octodon_degus ENSODEG00000007443
cavia_porcellus ENSCPOG00000009152
cavia_aperea ENSCAPG00000005656
heterocephalus_glaber_female ENSHGLG00000014828
heterocephalus_glaber_male ENSHGLG00100002622
fukomys_damarensis ENSFDAG00000016977
spermophilus_dauricus ENSSDAG00000014161
spermophilus_dauricus ENSSDAG00000013617
urocitellus_parryii ENSUPAG00010015168
ictidomys_tridecemlineatus ENSSTOG00000006489
marmota_marmota_marmota ENSMMMG00000003169
castor_canadensis ENSCCNG00000028018
castor_canadensis ENSCCNG00000006272
dipodomys_ordii ENSDORG00000001830
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015364
mus_spicilegus ENSMSIG00000024992
mus_musculus ENSMUSG00000026417
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014560
mus_pahari MGP_PahariEiJ_G0027794
rattus_norvegicus ENSRNOG00000004405
meriones_unguiculatus ENSMUGG00000020511
peromyscus_maniculatus_bairdii ENSPEMG00000011366
microtus_ochrogaster ENSMOCG00000016988
cricetulus_griseus_crigri ENSCGRG00000007513
cricetulus_griseus_chok1gshd ENSCGRG00001013101
cricetulus_griseus_crigri-picr ENSCGRG00015005151
mesocricetus_auratus ENSMAUG00000013137
nannospalax_galili ENSNGAG00000019403
jaculus_jaculus ENSJJAG00000020501
oryctolagus_cuniculus ENSOCUG00000014317
ochotona_princeps ENSOPRG00000011396
tupaia_belangeri ENSTBEG00000013770
pan_troglodytes ENSPTRG00000001921
pan_paniscus ENSPPAG00000035924
homo_sapiens ENSG00000162896
gorilla_gorilla ENSGGOG00000010007
pongo_abelii ENSPPYG00000000277
nomascus_leucogenys ENSNLEG00000000908
papio_anubis ENSPANG00000007500
theropithecus_gelada ENSTGEG00000012033
mandrillus_leucophaeus ENSMLEG00000029743
cercocebus_atys ENSCATG00000021447
macaca_fascicularis ENSMFAG00000038611
macaca_nemestrina ENSMNEG00000017366
macaca_mulatta ENSMMUG00000011220
chlorocebus_sabaeus ENSCSAG00000015028
piliocolobus_tephrosceles ENSPTEG00000034938
colobus_angolensis_palliatus ENSCANG00000042035
rhinopithecus_roxellana ENSRROG00000037280
rhinopithecus_bieti ENSRBIG00000020217
saimiri_boliviensis_boliviensis ENSSBOG00000035980
cebus_capucinus ENSCCAG00000031049
callithrix_jacchus ENSCJAG00000018483
aotus_nancymaae ENSANAG00000026624
carlito_syrichta ENSTSYG00000009175
propithecus_coquereli ENSPCOG00000000118
prolemur_simus ENSPSMG00000008068
microcebus_murinus ENSMICG00000046585
otolemur_garnettii ENSOGAG00000004087
phascolarctos_cinereus ENSPCIG00000015562
notamacropus_eugenii ENSMEUG00000006941
sarcophilus_harrisii ENSSHAG00000018326
monodelphis_domestica ENSMODG00000002141
ornithorhynchus_anatinus ENSOANG00000005248
