fundulus_heteroclitus ENSFHEG00000021946
cyprinodon_variegatus ENSCVAG00000010256
xiphophorus_maculatus ENSXMAG00000007398
gambusia_affinis ENSGAFG00000009603
poecilia_latipinna ENSPLAG00000018963
poecilia_mexicana ENSPMEG00000016840
poecilia_formosa ENSPFOG00000002470
xiphophorus_couchianus ENSXCOG00000014652
poecilia_reticulata ENSPREG00000018807
oryzias_melastigma ENSOMEG00000018202
maylandia_zebra ENSMZEG00005002223
astatotilapia_calliptera ENSACLG00000010249
haplochromis_burtoni ENSHBUG00000003736
maylandia_zebra ENSMZEG00005028229
maylandia_zebra ENSMZEG00005024155
haplochromis_burtoni ENSHBUG00000003744
oreochromis_niloticus ENSONIG00000004267
astatotilapia_calliptera ENSACLG00000010256
neolamprologus_brichardi ENSNBRG00000022170
amphilophus_citrinellus ENSACIG00000019150
takifugu_rubripes ENSTRUG00000017603
tetraodon_nigroviridis ENSTNIG00000005055
mola_mola ENSMMOG00000019178
labrus_bergylta ENSLBEG00000013199
periophthalmus_magnuspinnatus ENSPMGG00000012306
gasterosteus_aculeatus ENSGACG00000001431
hippocampus_comes ENSHCOG00000018101
monopterus_albus ENSMALG00000007935
mastacembelus_armatus ENSMAMG00000007088
anabas_testudineus ENSATEG00000004992
scophthalmus_maximus ENSSMAG00000016902
cynoglossus_semilaevis ENSCSEG00000020690
seriola_lalandi_dorsalis ENSSLDG00000002599
seriola_dumerili ENSSDUG00000000592
amphiprion_ocellaris ENSAOCG00000022978
amphiprion_percula ENSAPEG00000023720
acanthochromis_polyacanthus ENSAPOG00000001331
stegastes_partitus ENSSPAG00000005348
esox_lucius ENSELUG00000001223
pygocentrus_nattereri ENSPNAG00000002279
astyanax_mexicanus ENSAMXG00000005706
ictalurus_punctatus ENSIPUG00000004590
