rhinopithecus_bieti ENSRBIG00000006154
rhinopithecus_roxellana ENSRROG00000039474
colobus_angolensis_palliatus ENSCANG00000042816
macaca_nemestrina ENSMNEG00000039714
macaca_mulatta ENSMMUG00000038353
macaca_fascicularis ENSMFAG00000030583
theropithecus_gelada ENSTGEG00000025003
papio_anubis ENSPANG00000032412
cercocebus_atys ENSCATG00000037945
mandrillus_leucophaeus ENSMLEG00000025366
pan_troglodytes ENSPTRG00000044284
pan_paniscus ENSPPAG00000034339
gorilla_gorilla ENSGGOG00000042134
nomascus_leucogenys ENSNLEG00000030097
