calidris_pugnax ENSCPUG00000015429
calidris_pygmaea ENSCPGG00000002899
lonchura_striata_domestica ENSLSDG00000008436
lepidothrix_coronata ENSLCOG00000002416
junco_hyemalis ENSJHYG00000005439
ficedula_albicollis ENSFALG00000008292
taeniopygia_guttata ENSTGUG00000014007
lonchura_striata_domestica ENSLSDG00000001138
parus_major ENSPMJG00000001224
anser_brachyrhynchus ENSABRG00000003196
anas_platyrhynchos_platyrhynchos ENSAPLG00000000916
gallus_gallus ENSGALG00000026563
meleagris_gallopavo ENSMGAG00000004362
coturnix_japonica ENSCJPG00005011167
numida_meleagris ENSNMEG00000003493
apteryx_owenii ENSAOWG00000003741
apteryx_haastii ENSAHAG00000010982
apteryx_rowi ENSARWG00000015654
dromaius_novaehollandiae ENSDNVG00000000970
nothoprocta_perdicaria ENSNPEG00000002246
crocodylus_porosus ENSCPRG00005015677
pogona_vitticeps ENSPVIG00000000448
anolis_carolinensis ENSACAG00000017775
notechis_scutatus ENSNSUG00000017180
salvator_merianae ENSSMRG00000000158
sphenodon_punctatus ENSSPUG00000007909
gopherus_agassizii ENSGAGG00000022767
chelonoidis_abingdonii ENSCABG00000004875
chrysemys_picta_bellii ENSCPBG00000012460
pelodiscus_sinensis ENSPSIG00000017388
phascolarctos_cinereus ENSPCIG00000024218
notamacropus_eugenii ENSMEUG00000016535
monodelphis_domestica ENSMODG00000007055
sarcophilus_harrisii ENSSHAG00000012102
loxodonta_africana ENSLAFG00000031107
procavia_capensis ENSPCAG00000014625
echinops_telfairi ENSETEG00000001979
capra_hircus ENSCHIG00000017398
ovis_aries ENSOARG00000008812
bos_taurus ENSBTAG00000001765
bos_mutus ENSBMUG00000014766
bison_bison_bison ENSBBBG00000015855
tursiops_truncatus ENSTTRG00000009848
sus_scrofa ENSSSCG00000034887
equus_caballus ENSECAG00000020045
equus_asinus_asinus ENSEASG00005006590
ursus_americanus ENSUAMG00000000008
ailuropoda_melanoleuca ENSAMEG00000011794
mustela_putorius_furo ENSMPUG00000015424
neovison_vison ENSNVIG00000020713
canis_lupus_dingo ENSCAFG00020012500
canis_lupus_familiaris ENSCAFG00000023570
vulpes_vulpes ENSVVUG00000007594
panthera_tigris_altaica ENSPTIG00000013017
panthera_pardus ENSPPRG00000001581
felis_catus ENSFCAG00000022898
pteropus_vampyrus ENSPVAG00000017448
myotis_lucifugus ENSMLUG00000017358
sorex_araneus ENSSARG00000014106
castor_canadensis ENSCCNG00000015066
dipodomys_ordii ENSDORG00000004912
chinchilla_lanigera ENSCLAG00000003955
octodon_degus ENSODEG00000011689
cavia_porcellus ENSCPOG00000023683
heterocephalus_glaber_female ENSHGLG00000003896
heterocephalus_glaber_male ENSHGLG00100005675
mus_spicilegus ENSMSIG00000032039
mus_musculus ENSMUSG00000007594
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032246
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031128
mus_pahari MGP_PahariEiJ_G0021593
rattus_norvegicus ENSRNOG00000049949
meriones_unguiculatus ENSMUGG00000013191
peromyscus_maniculatus_bairdii ENSPEMG00000029211
microtus_ochrogaster ENSMOCG00000000353
cricetulus_griseus_crigri-picr ENSCGRG00015025867
cricetulus_griseus_chok1gshd ENSCGRG00001018509
cricetulus_griseus_crigri ENSCGRG00000018380
mesocricetus_auratus ENSMAUG00000011983
nannospalax_galili ENSNGAG00000014554
jaculus_jaculus ENSJJAG00000016332
urocitellus_parryii ENSUPAG00010018121
ictidomys_tridecemlineatus ENSSTOG00000007240
marmota_marmota_marmota ENSMMMG00000003386
ochotona_princeps ENSOPRG00000004236
propithecus_coquereli ENSPCOG00000023645
prolemur_simus ENSPSMG00000002199
microcebus_murinus ENSMICG00000032572
otolemur_garnettii ENSOGAG00000009972
pan_paniscus ENSPPAG00000013291
pan_troglodytes ENSPTRG00000033676
homo_sapiens ENSG00000187664
gorilla_gorilla ENSGGOG00000002981
pongo_abelii ENSPPYG00000009764
nomascus_leucogenys ENSNLEG00000006225
theropithecus_gelada ENSTGEG00000015932
papio_anubis ENSPANG00000004385
mandrillus_leucophaeus ENSMLEG00000043866
cercocebus_atys ENSCATG00000033215
macaca_fascicularis ENSMFAG00000029816
macaca_nemestrina ENSMNEG00000034804
macaca_mulatta ENSMMUG00000008578
chlorocebus_sabaeus ENSCSAG00000005162
rhinopithecus_bieti ENSRBIG00000028696
rhinopithecus_roxellana ENSRROG00000029649
colobus_angolensis_palliatus ENSCANG00000033093
piliocolobus_tephrosceles ENSPTEG00000028043
saimiri_boliviensis_boliviensis ENSSBOG00000028603
cebus_capucinus ENSCCAG00000030280
callithrix_jacchus ENSCJAG00000039656
aotus_nancymaae ENSANAG00000024057
ornithorhynchus_anatinus ENSOANG00000029891
