ochotona_princeps ENSOPRG00000005172
otolemur_garnettii ENSOGAG00000008954
sorex_araneus ENSSARG00000008086
erinaceus_europaeus ENSEEUG00000002387
cricetulus_griseus ENSCGRG00001007694
cricetulus_griseus ENSCGRG00000011137
cricetulus_griseus ENSCGRG00015027457
mesocricetus_auratus ENSMAUG00000006325
microtus_ochrogaster ENSMOCG00000003861
peromyscus_maniculatus ENSPEMG00000010761
mus_spicilegus ENSMSIG00000008892
mus_spretus MGP_SPRETEiJ_G0025842
mus_musculus ENSMUSG00000037652
mus_caroli MGP_CAROLIEiJ_G0024908
mus_pahari MGP_PahariEiJ_G0026353
rattus_norvegicus ENSRNOG00000009491
meriones_unguiculatus ENSMUGG00000007153
nannospalax_galili ENSNGAG00000016784
jaculus_jaculus ENSJJAG00000011053
oryctolagus_cuniculus ENSOCUG00000013120
tupaia_belangeri ENSTBEG00000008448
pan_troglodytes ENSPTRG00000015614
pan_paniscus ENSPPAG00000026708
gorilla_gorilla ENSGGOG00000001986
homo_sapiens ENSG00000173889
pongo_abelii ENSPPYG00000014288
nomascus_leucogenys ENSNLEG00000005181
mandrillus_leucophaeus ENSMLEG00000031365
papio_anubis ENSPANG00000005608
macaca_fascicularis ENSMFAG00000034130
macaca_mulatta ENSMMUG00000022199
macaca_nemestrina ENSMNEG00000041687
theropithecus_gelada ENSTGEG00000027774
cercocebus_atys ENSCATG00000032508
chlorocebus_sabaeus ENSCSAG00000012680
colobus_angolensis ENSCANG00000003578
piliocolobus_tephrosceles ENSPTEG00000033046
rhinopithecus_bieti ENSRBIG00000027077
rhinopithecus_roxellana ENSRROG00000041529
cebus_capucinus ENSCCAG00000026681
saimiri_boliviensis ENSSBOG00000012175
callithrix_jacchus ENSCJAG00000002517
aotus_nancymaae ENSANAG00000024638
carlito_syrichta ENSTSYG00000014477
microcebus_murinus ENSMICG00000049074
prolemur_simus ENSPSMG00000024064
propithecus_coquereli ENSPCOG00000028442
chinchilla_lanigera ENSCLAG00000012350
octodon_degus ENSODEG00000007882
cavia_porcellus ENSCPOG00000005870
cavia_aperea ENSCAPG00000013916
heterocephalus_glaber ENSHGLG00100001482
heterocephalus_glaber ENSHGLG00100011972
heterocephalus_glaber ENSHGLG00000014756
fukomys_damarensis ENSFDAG00000021221
dipodomys_ordii ENSDORG00000008567
spermophilus_dauricus ENSSDAG00000004685
urocitellus_parryii ENSUPAG00010020799
ictidomys_tridecemlineatus ENSSTOG00000002796
marmota_marmota ENSMMMG00000006935
castor_canadensis ENSCCNG00000028759
carlito_syrichta ENSTSYG00000029602
pteropus_vampyrus ENSPVAG00000014371
myotis_lucifugus ENSMLUG00000002575
equus_asinus ENSEASG00005017223
equus_caballus ENSECAG00000006043
ursus_maritimus ENSUMAG00000011494
ursus_americanus ENSUAMG00000024516
ailuropoda_melanoleuca ENSAMEG00000004625
neovison_vison ENSNVIG00000013173
mustela_putorius ENSMPUG00000017107
canis_lupus ENSCAFG00020000759
canis_lupus ENSCAFG00000014786
vulpes_vulpes ENSVVUG00000000912
panthera_pardus ENSPPRG00000005562
panthera_tigris ENSPTIG00000016643
felis_catus ENSFCAG00000025428
bos_indicus ENSBIXG00000003772
bos_indicus ENSBIXG00005014971
bos_taurus ENSBTAG00000013938
bos_mutus ENSBMUG00000000342
bison_bison ENSBBBG00000009906
capra_hircus ENSCHIG00000013975
ovis_aries ENSOARG00000000418
tursiops_truncatus ENSTTRG00000001920
sus_scrofa ENSSSCG00000030467
vicugna_pacos ENSVPAG00000007988
dasypus_novemcinctus ENSDNOG00000042270
choloepus_hoffmanni ENSCHOG00000013364
loxodonta_africana ENSLAFG00000013315
echinops_telfairi ENSETEG00000004455
procavia_capensis ENSPCAG00000007281
phascolarctos_cinereus ENSPCIG00000025948
vombatus_ursinus ENSVURG00010013194
notamacropus_eugenii ENSMEUG00000002325
sarcophilus_harrisii ENSSHAG00000015302
monodelphis_domestica ENSMODG00000016086
ornithorhynchus_anatinus ENSOANG00000030499
ornithorhynchus_anatinus ENSOANG00000004735
sphenodon_punctatus ENSSPUG00000014255
sphenodon_punctatus ENSSPUG00000014228
anolis_carolinensis ENSACAG00000015825
pogona_vitticeps ENSPVIG00000019970
notechis_scutatus ENSNSUG00000002564
salvator_merianae ENSSMRG00000023654
calidris_pygmaea ENSCPGG00000007543
calidris_pugnax ENSCPUG00000009540
taeniopygia_guttata ENSTGUG00000010973
taeniopygia_guttata ENSTGUG00000010972
lonchura_striata ENSLSDG00000003006
serinus_canaria ENSSCAG00000010008
junco_hyemalis ENSJHYG00000004792
zonotrichia_albicollis ENSZALG00000005757
ficedula_albicollis ENSFALG00000008610
parus_major ENSPMJG00000004823
cyanistes_caeruleus ENSCCEG00000006596
lepidothrix_coronata ENSLCOG00000006790
manacus_vitellinus ENSMVIG00005017413
melopsittacus_undulatus ENSMUNG00000007615
anser_brachyrhynchus ENSABRG00000010727
anas_platyrhynchos ENSAPLG00000008376
gallus_gallus ENSGALG00000009372
meleagris_gallopavo ENSMGAG00000010235
coturnix_japonica ENSCJPG00005017907
numida_meleagris ENSNMEG00000016663
apteryx_rowi ENSARWG00000017297
apteryx_owenii ENSAOWG00000015992
apteryx_haastii ENSAHAG00000014189
