carlito_syrichta ENSTSYG00000003061
tupaia_belangeri ENSTBEG00000016089
ursus_maritimus ENSUMAG00000009416
ursus_americanus ENSUAMG00000007568
ailuropoda_melanoleuca ENSAMEG00000004723
mustela_putorius_furo ENSMPUG00000018165
neovison_vison ENSNVIG00000022280
canis_lupus_dingo ENSCAFG00020024270
canis_lupus_familiaris ENSCAFG00000003334
vulpes_vulpes ENSVVUG00000010111
panthera_tigris_altaica ENSPTIG00000005945
pteropus_vampyrus ENSPVAG00000000085
loxodonta_africana ENSLAFG00000014111
dasypus_novemcinctus ENSDNOG00000043803
sarcophilus_harrisii ENSSHAG00000002031
taeniopygia_guttata ENSTGUG00000007869
latimeria_chalumnae ENSLACG00000006793
