colobus_angolensis_palliatus ENSCANG00000041483
rhinopithecus_bieti ENSRBIG00000040623
mandrillus_leucophaeus ENSMLEG00000035202
macaca_fascicularis ENSMFAG00000031183
cavia_aperea ENSCAPG00000017622
monodelphis_domestica ENSMODG00000012252
ornithorhynchus_anatinus ENSOANG00000000617
taeniopygia_guttata ENSTGUG00000015160
anabas_testudineus ENSATEG00000022298
mastacembelus_armatus ENSMAMG00000006865
seriola_lalandi_dorsalis ENSSLDG00000005092
seriola_dumerili ENSSDUG00000013194
scophthalmus_maximus ENSSMAG00000003933
labrus_bergylta ENSLBEG00000011930
gasterosteus_aculeatus ENSGACG00000009161
tetraodon_nigroviridis ENSTNIG00000015061
takifugu_rubripes ENSTRUG00000010066
mola_mola ENSMMOG00000009153
periophthalmus_magnuspinnatus ENSPMGG00000015478
monopterus_albus ENSMALG00000014849
cyprinodon_variegatus ENSCVAG00000013702
fundulus_heteroclitus ENSFHEG00000023393
xiphophorus_maculatus ENSXMAG00000011204
xiphophorus_couchianus ENSXCOG00000006924
gambusia_affinis ENSGAFG00000009909
poecilia_formosa ENSPFOG00000005726
poecilia_latipinna ENSPLAG00000022708
poecilia_mexicana ENSPMEG00000012276
kryptolebias_marmoratus ENSKMAG00000021457
oryzias_latipes_asm223469v1 ENSORLG00015022762
oryzias_latipes ENSORLG00020007299
oryzias_latipes ENSORLG00000007696
oryzias_melastigma ENSOMEG00000017005
pundamilia_nyererei ENSPNYG00000018021
haplochromis_burtoni ENSHBUG00000004705
maylandia_zebra ENSMZEG00005027201
astatotilapia_calliptera ENSACLG00000006125
neolamprologus_brichardi ENSNBRG00000016877
oreochromis_niloticus ENSONIG00000012156
amphilophus_citrinellus ENSACIG00000016529
amphiprion_ocellaris ENSAOCG00000013055
amphiprion_percula ENSAPEG00000002891
acanthochromis_polyacanthus ENSAPOG00000014862
stegastes_partitus ENSSPAG00000016407
hippocampus_comes ENSHCOG00000003195
cynoglossus_semilaevis ENSCSEG00000007254
gadus_morhua ENSGMOG00000004930
esox_lucius ENSELUG00000008254
ictalurus_punctatus ENSIPUG00000019716
pygocentrus_nattereri ENSPNAG00000020217
danio_rerio ENSDARG00000070657
petromyzon_marinus ENSPMAG00000000815
eptatretus_burgeri ENSEBUG00000010806
ciona_intestinalis ENSCING00000004262
