sarcophilus_harrisii ENSSHAG00000013471
monodelphis_domestica ENSMODG00000013496
phascolarctos_cinereus ENSPCIG00000021350
notamacropus_eugenii ENSMEUG00000000999
sorex_araneus ENSSARG00000010231
erinaceus_europaeus ENSEEUG00000006589
ochotona_princeps ENSOPRG00000006065
oryctolagus_cuniculus ENSOCUG00000007049
pteropus_vampyrus ENSPVAG00000014628
myotis_lucifugus ENSMLUG00000002303
equus_caballus ENSECAG00000024122
equus_asinus_asinus ENSEASG00005021359
neovison_vison ENSNVIG00000013850
mustela_putorius_furo ENSMPUG00000014159
ursus_maritimus ENSUMAG00000009943
canis_lupus_familiaris ENSCAFG00000001432
canis_lupus_dingo ENSCAFG00020007329
vulpes_vulpes ENSVVUG00000026386
panthera_tigris_altaica ENSPTIG00000014042
panthera_pardus ENSPPRG00000006233
felis_catus ENSFCAG00000001091
bos_mutus ENSBMUG00000020656
bos_taurus ENSBTAG00000002393
bison_bison_bison ENSBBBG00000002659
ovis_aries ENSOARG00000014088
capra_hircus ENSCHIG00000024049
tursiops_truncatus ENSTTRG00000002299
sus_scrofa ENSSSCG00000035341
vicugna_pacos ENSVPAG00000012449
piliocolobus_tephrosceles ENSPTEG00000032949
colobus_angolensis_palliatus ENSCANG00000023267
rhinopithecus_roxellana ENSRROG00000041913
rhinopithecus_bieti ENSRBIG00000032494
macaca_mulatta ENSMMUG00000005004
macaca_fascicularis ENSMFAG00000042966
macaca_nemestrina ENSMNEG00000029104
cercocebus_atys ENSCATG00000043881
mandrillus_leucophaeus ENSMLEG00000033365
theropithecus_gelada ENSTGEG00000029547
papio_anubis ENSPANG00000009718
chlorocebus_sabaeus ENSCSAG00000010357
pan_paniscus ENSPPAG00000042318
pan_troglodytes ENSPTRG00000024272
gorilla_gorilla ENSGGOG00000013941
homo_sapiens ENSG00000198663
pongo_abelii ENSPPYG00000016555
nomascus_leucogenys ENSNLEG00000010796
saimiri_boliviensis_boliviensis ENSSBOG00000032887
saimiri_boliviensis_boliviensis ENSSBOG00000036135
cebus_capucinus ENSCCAG00000022020
callithrix_jacchus ENSCJAG00000009979
aotus_nancymaae ENSANAG00000021310
carlito_syrichta ENSTSYG00000013132
propithecus_coquereli ENSPCOG00000021297
prolemur_simus ENSPSMG00000011646
microcebus_murinus ENSMICG00000010562
otolemur_garnettii ENSOGAG00000011278
tupaia_belangeri ENSTBEG00000008069
castor_canadensis ENSCCNG00000003797
dipodomys_ordii ENSDORG00000007836
heterocephalus_glaber_male ENSHGLG00100013699
heterocephalus_glaber_female ENSHGLG00000019450
fukomys_damarensis ENSFDAG00000012652
cavia_aperea ENSCAPG00000017528
cavia_porcellus ENSCPOG00000033697
chinchilla_lanigera ENSCLAG00000007874
mus_musculus ENSMUSG00000052712
