bos_mutus ENSBMUG00000010406
pteropus_vampyrus ENSPVAG00000016033
equus_asinus ENSEASG00005008861
equus_caballus ENSECAG00000035882
erinaceus_europaeus ENSEEUG00000012324
ursus_americanus ENSUAMG00000022451
ursus_maritimus ENSUMAG00000023933
ailuropoda_melanoleuca ENSAMEG00000020115
mustela_putorius ENSMPUG00000019058
neovison_vison ENSNVIG00000014273
canis_lupus ENSCAFG00000017450
canis_lupus ENSCAFG00020008484
vulpes_vulpes ENSVVUG00000013157
panthera_pardus ENSPPRG00000010746
panthera_tigris ENSPTIG00000001415
felis_catus ENSFCAG00000004582
urocitellus_parryii ENSUPAG00010001125
spermophilus_dauricus ENSSDAG00000020778
marmota_marmota ENSMMMG00000011774
mus_spicilegus ENSMSIG00000001971
mus_caroli MGP_CAROLIEiJ_G0033366
mus_musculus ENSMUSG00000100133
mus_musculus ENSMUSG00000100194
mus_pahari MGP_PahariEiJ_G0031907
rattus_norvegicus ENSRNOG00000029850
meriones_unguiculatus ENSMUGG00000009234
peromyscus_maniculatus ENSPEMG00000024456
oryctolagus_cuniculus ENSOCUG00000027741
prolemur_simus ENSPSMG00000015769
propithecus_coquereli ENSPCOG00000007510
pan_troglodytes ENSPTRG00000022077
homo_sapiens ENSG00000153779
pongo_abelii ENSPPYG00000020525
theropithecus_gelada ENSTGEG00000025764
chlorocebus_sabaeus ENSCSAG00000000068
macaca_mulatta ENSMMUG00000009258
rhinopithecus_bieti ENSRBIG00000030830
rhinopithecus_roxellana ENSRROG00000042029
piliocolobus_tephrosceles ENSPTEG00000012973
papio_anubis ENSPANG00000035134
cercocebus_atys ENSCATG00000003552
mandrillus_leucophaeus ENSMLEG00000032580
macaca_fascicularis ENSMFAG00000036400
macaca_nemestrina ENSMNEG00000011902
homo_sapiens ENSG00000176679
saimiri_boliviensis ENSSBOG00000021446
loxodonta_africana ENSLAFG00000003848
