pundamilia_nyererei ENSPNYG00000004196
haplochromis_burtoni ENSHBUG00000015096
astatotilapia_calliptera ENSACLG00000007823
maylandia_zebra ENSMZEG00005013334
neolamprologus_brichardi ENSNBRG00000021688
oreochromis_niloticus ENSONIG00000000670
amphilophus_citrinellus ENSACIG00000015724
amphiprion_ocellaris ENSAOCG00000010209
amphiprion_percula ENSAPEG00000006277
acanthochromis_polyacanthus ENSAPOG00000003597
stegastes_partitus ENSSPAG00000022831
anabas_testudineus ENSATEG00000002540
monopterus_albus ENSMALG00000021535
seriola_lalandi_dorsalis ENSSLDG00000025489
seriola_dumerili ENSSDUG00000011098
takifugu_rubripes ENSTRUG00000024112
tetraodon_nigroviridis ENSTNIG00000010940
labrus_bergylta ENSLBEG00000007719
oryzias_latipes_asm223469v1 ENSORLG00015020870
oryzias_latipes ENSORLG00000025808
oryzias_latipes ENSORLG00020002360
oryzias_melastigma ENSOMEG00000018833
gambusia_affinis ENSGAFG00000005511
scophthalmus_maximus ENSSMAG00000008910
hippocampus_comes ENSHCOG00000017716
hippocampus_comes ENSHCOG00000003028
periophthalmus_magnuspinnatus ENSPMGG00000010484
