urocitellus_parryii ENSUPAG00010007978
ictidomys_tridecemlineatus ENSSTOG00000023424
spermophilus_dauricus ENSSDAG00000009594
marmota_marmota_marmota ENSMMMG00000000955
oryctolagus_cuniculus ENSOCUG00000017311
tupaia_belangeri ENSTBEG00000007621
pan_paniscus ENSPPAG00000029597
pan_troglodytes ENSPTRG00000006098
homo_sapiens ENSG00000188655
gorilla_gorilla ENSGGOG00000003208
pongo_abelii ENSPPYG00000005570
nomascus_leucogenys ENSNLEG00000028103
rhinopithecus_roxellana ENSRROG00000041668
rhinopithecus_bieti ENSRBIG00000037981
piliocolobus_tephrosceles ENSPTEG00000015063
macaca_mulatta ENSMMUG00000045832
macaca_mulatta ENSMMUG00000045916
macaca_fascicularis ENSMFAG00000001419
macaca_nemestrina ENSMNEG00000042782
chlorocebus_sabaeus ENSCSAG00000000352
cercocebus_atys ENSCATG00000039688
theropithecus_gelada ENSTGEG00000014842
mandrillus_leucophaeus ENSMLEG00000030637
cebus_capucinus ENSCCAG00000032192
saimiri_boliviensis_boliviensis ENSSBOG00000021047
equus_caballus ENSECAG00000001538
myotis_lucifugus ENSMLUG00000000716
canis_lupus_dingo ENSCAFG00020014395
canis_lupus_familiaris ENSCAFG00000005422
vulpes_vulpes ENSVVUG00000009029
ursus_maritimus ENSUMAG00000009193
ursus_americanus ENSUAMG00000021834
ailuropoda_melanoleuca ENSAMEG00000005369
felis_catus ENSFCAG00000013159
capra_hircus ENSCHIG00000023031
ovis_aries ENSOARG00000019730
bison_bison_bison ENSBBBG00000010865
bos_mutus ENSBMUG00000012165
bos_taurus ENSBTAG00000003006
bos_taurus ENSBTAG00000052633
sus_scrofa ENSSSCG00000039240
cricetulus_griseus_crigri-picr ENSCGRG00015002988
microtus_ochrogaster ENSMOCG00000020232
peromyscus_maniculatus_bairdii ENSPEMG00000024580
mus_spicilegus ENSMSIG00000019600
mus_musculus ENSMUSG00000052382
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020105
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019213
mus_pahari MGP_PahariEiJ_G0030236
rattus_norvegicus ENSRNOG00000029516
meriones_unguiculatus ENSMUGG00000015948
castor_canadensis ENSCCNG00000016222
heterocephalus_glaber_male ENSHGLG00100019934
heterocephalus_glaber_female ENSHGLG00000020170
fukomys_damarensis ENSFDAG00000006500
prolemur_simus ENSPSMG00000002847
prolemur_simus ENSPSMG00000002845
prolemur_simus ENSPSMG00000000290
dasypus_novemcinctus ENSDNOG00000031161
loxodonta_africana ENSLAFG00000030791
