ovis_aries ENSOARG00000004928
capra_hircus ENSCHIG00000009672
bos_taurus ENSBTAG00000013871
bos_indicus ENSBIXG00000010377
sus_scrofa ENSSSCG00000039443
myotis_lucifugus ENSMLUG00000025489
equus_caballus ENSECAG00000037347
ursus_maritimus ENSUMAG00000003482
ursus_americanus ENSUAMG00000011510
ailuropoda_melanoleuca ENSAMEG00000017182
mustela_putorius ENSMPUG00000016457
canis_lupus ENSCAFG00000028993
vulpes_vulpes ENSVVUG00000014874
felis_catus ENSFCAG00000050208
peromyscus_maniculatus ENSPEMG00000020998
microtus_ochrogaster ENSMOCG00000013696
cricetulus_griseus ENSCGRG00001023476
cricetulus_griseus ENSCGRG00015010153
cricetulus_griseus ENSCGRG00000002558
mesocricetus_auratus ENSMAUG00000000151
mus_spretus MGP_SPRETEiJ_G0023297
mus_musculus ENSMUSG00000024512
mus_spicilegus ENSMSIG00000030873
mus_caroli MGP_CAROLIEiJ_G0022385
mus_pahari MGP_PahariEiJ_G0019113
rattus_norvegicus ENSRNOG00000028712
meriones_unguiculatus ENSMUGG00000020897
nannospalax_galili ENSNGAG00000021909
jaculus_jaculus ENSJJAG00000011504
chinchilla_lanigera ENSCLAG00000007044
fukomys_damarensis ENSFDAG00000012605
marmota_marmota ENSMMMG00000005165
castor_canadensis ENSCCNG00000012675
oryctolagus_cuniculus ENSOCUG00000030546
loxodonta_africana ENSLAFG00000029901
dasypus_novemcinctus ENSDNOG00000035752
