procavia_capensis ENSPCAG00000009624
loxodonta_africana ENSLAFG00000009664
bos_indicus ENSBIXG00005007987
bos_mutus ENSBMUG00000004471
bison_bison ENSBBBG00000008526
bos_taurus ENSBTAG00000006273
capra_hircus ENSCHIG00000019454
ovis_aries ENSOARG00000019215
tursiops_truncatus ENSTTRG00000015312
sus_scrofa ENSSSCG00000000026
canis_lupus ENSCAFG00020009618
ursus_americanus ENSUAMG00000028168
panthera_pardus ENSPPRG00000010888
panthera_tigris ENSPTIG00000005524
felis_catus ENSFCAG00000007340
canis_lupus ENSCAFG00000000899
vulpes_vulpes ENSVVUG00000000168
bos_indicus ENSBIXG00000011667
equus_asinus ENSEASG00005021874
equus_caballus ENSECAG00000032875
prolemur_simus ENSPSMG00000011556
propithecus_coquereli ENSPCOG00000004064
microcebus_murinus ENSMICG00000009212
otolemur_garnettii ENSOGAG00000005926
homo_sapiens ENSG00000130540
pan_troglodytes ENSPTRG00000014477
nomascus_leucogenys ENSNLEG00000015626
macaca_nemestrina ENSMNEG00000020683
macaca_mulatta ENSMMUG00000005252
macaca_fascicularis ENSMFAG00000037741
cercocebus_atys ENSCATG00000029864
papio_anubis ENSPANG00000017906
theropithecus_gelada ENSTGEG00000005500
chlorocebus_sabaeus ENSCSAG00000005518
piliocolobus_tephrosceles ENSPTEG00000035278
rhinopithecus_roxellana ENSRROG00000044701
callithrix_jacchus ENSCJAG00000015192
cebus_capucinus ENSCCAG00000037619
aotus_nancymaae ENSANAG00000030874
pan_paniscus ENSPPAG00000011850
gorilla_gorilla ENSGGOG00000007339
pongo_abelii ENSPPYG00000011916
rhinopithecus_bieti ENSRBIG00000043637
colobus_angolensis ENSCANG00000040973
mandrillus_leucophaeus ENSMLEG00000038647
saimiri_boliviensis ENSSBOG00000021584
carlito_syrichta ENSTSYG00000005268
erinaceus_europaeus ENSEEUG00000001252
ictidomys_tridecemlineatus ENSSTOG00000023129
urocitellus_parryii ENSUPAG00010001963
dipodomys_ordii ENSDORG00000006724
cavia_porcellus ENSCPOG00000012199
mus_spretus MGP_SPRETEiJ_G0021004
mus_musculus ENSMUSG00000018865
mus_spicilegus ENSMSIG00000018043
mus_caroli MGP_CAROLIEiJ_G0020107
mus_pahari MGP_PahariEiJ_G0020113
rattus_norvegicus ENSRNOG00000046975
meriones_unguiculatus ENSMUGG00000025039
cricetulus_griseus ENSCGRG00015021389
cricetulus_griseus ENSCGRG00001022132
cricetulus_griseus ENSCGRG00000002100
mesocricetus_auratus ENSMAUG00000020511
microtus_ochrogaster ENSMOCG00000021180
peromyscus_maniculatus ENSPEMG00000022556
peromyscus_maniculatus ENSPEMG00000027411
nannospalax_galili ENSNGAG00000018152
castor_canadensis ENSCCNG00000010566
chinchilla_lanigera ENSCLAG00000017221
octodon_degus ENSODEG00000014672
heterocephalus_glaber ENSHGLG00000005968
oryctolagus_cuniculus ENSOCUG00000022561
ochotona_princeps ENSOPRG00000011543
myotis_lucifugus ENSMLUG00000002497
pteropus_vampyrus ENSPVAG00000007967
ailuropoda_melanoleuca ENSAMEG00000006747
ursus_maritimus ENSUMAG00000019995
neovison_vison ENSNVIG00000021750
mustela_putorius ENSMPUG00000016283
heterocephalus_glaber ENSHGLG00100000542
fukomys_damarensis ENSFDAG00000010162
cavia_aperea ENSCAPG00000017431
jaculus_jaculus ENSJJAG00000019977
spermophilus_dauricus ENSSDAG00000024522
spermophilus_dauricus ENSSDAG00000022864
spermophilus_dauricus ENSSDAG00000007751
marmota_marmota ENSMMMG00000002358
dasypus_novemcinctus ENSDNOG00000032708
vombatus_ursinus ENSVURG00010006983
