marmota_marmota_marmota ENSMMMG00000013893
spermophilus_dauricus ENSSDAG00000024197
castor_canadensis ENSCCNG00000008636
pan_troglodytes ENSPTRG00000043039
pan_paniscus ENSPPAG00000038682
gorilla_gorilla ENSGGOG00000042929
nomascus_leucogenys ENSNLEG00000031815
colobus_angolensis_palliatus ENSCANG00000033441
piliocolobus_tephrosceles ENSPTEG00000008126
rhinopithecus_roxellana ENSRROG00000045191
rhinopithecus_bieti ENSRBIG00000038123
macaca_fascicularis ENSMFAG00000043340
macaca_mulatta ENSMMUG00000049042
macaca_nemestrina ENSMNEG00000029568
mandrillus_leucophaeus ENSMLEG00000032562
theropithecus_gelada ENSTGEG00000010173
papio_anubis ENSPANG00000032081
cercocebus_atys ENSCATG00000019840
cebus_capucinus ENSCCAG00000032761
callithrix_jacchus ENSCJAG00000047178
aotus_nancymaae ENSANAG00000025625
panthera_tigris_altaica ENSPTIG00000011786
neovison_vison ENSNVIG00000007535
