mus_spicilegus ENSMSIG00000013650
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033319
mus_musculus ENSMUSG00000039542
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032180
mus_pahari MGP_PahariEiJ_G0015048
rattus_norvegicus ENSRNOG00000031890
meriones_unguiculatus ENSMUGG00000003024
meriones_unguiculatus ENSMUGG00000002361
cricetulus_griseus_chok1gshd ENSCGRG00001008468
cricetulus_griseus_crigri-picr ENSCGRG00015021369
cricetulus_griseus_crigri ENSCGRG00000001998
mesocricetus_auratus ENSMAUG00000021119
microtus_ochrogaster ENSMOCG00000020055
peromyscus_maniculatus_bairdii ENSPEMG00000005268
nannospalax_galili ENSNGAG00000018534
jaculus_jaculus ENSJJAG00000020370
castor_canadensis ENSCCNG00000006373
dipodomys_ordii ENSDORG00000015038
cavia_porcellus ENSCPOG00000004681
cavia_aperea ENSCAPG00000006125
chinchilla_lanigera ENSCLAG00000013591
octodon_degus ENSODEG00000000397
heterocephalus_glaber_female ENSHGLG00000017648
heterocephalus_glaber_male ENSHGLG00100010326
fukomys_damarensis ENSFDAG00000011874
urocitellus_parryii ENSUPAG00010020818
ictidomys_tridecemlineatus ENSSTOG00000003495
spermophilus_dauricus ENSSDAG00000023119
marmota_marmota_marmota ENSMMMG00000023398
sorex_araneus ENSSARG00000006760
pan_troglodytes ENSPTRG00000004291
pan_paniscus ENSPPAG00000036886
homo_sapiens ENSG00000149294
gorilla_gorilla ENSGGOG00000013097
nomascus_leucogenys ENSNLEG00000007301
pongo_abelii ENSPPYG00000003883
macaca_nemestrina ENSMNEG00000037984
macaca_fascicularis ENSMFAG00000044864
macaca_mulatta ENSMMUG00000004688
chlorocebus_sabaeus ENSCSAG00000002814
cercocebus_atys ENSCATG00000032945
mandrillus_leucophaeus ENSMLEG00000028968
papio_anubis ENSPANG00000016065
theropithecus_gelada ENSTGEG00000019376
rhinopithecus_roxellana ENSRROG00000043461
rhinopithecus_bieti ENSRBIG00000013766
piliocolobus_tephrosceles ENSPTEG00000026293
colobus_angolensis_palliatus ENSCANG00000043881
saimiri_boliviensis_boliviensis ENSSBOG00000024448
callithrix_jacchus ENSCJAG00000012342
cebus_capucinus ENSCCAG00000035823
aotus_nancymaae ENSANAG00000029943
carlito_syrichta ENSTSYG00000009955
prolemur_simus ENSPSMG00000021739
propithecus_coquereli ENSPCOG00000022925
microcebus_murinus ENSMICG00000003994
otolemur_garnettii ENSOGAG00000006401
oryctolagus_cuniculus ENSOCUG00000006190
ochotona_princeps ENSOPRG00000014977
erinaceus_europaeus ENSEEUG00000000446
pteropus_vampyrus ENSPVAG00000007824
myotis_lucifugus ENSMLUG00000011838
equus_caballus ENSECAG00000019193
equus_asinus_asinus ENSEASG00005006756
ursus_maritimus ENSUMAG00000004545
ursus_americanus ENSUAMG00000018156
ailuropoda_melanoleuca ENSAMEG00000016517
mustela_putorius_furo ENSMPUG00000003803
neovison_vison ENSNVIG00000007193
canis_lupus_familiaris ENSCAFG00000013844
canis_lupus_dingo ENSCAFG00020005853
vulpes_vulpes ENSVVUG00000016037
panthera_tigris_altaica ENSPTIG00000019502
panthera_pardus ENSPPRG00000021537
felis_catus ENSFCAG00000013891
bos_mutus ENSBMUG00000012035
bos_taurus ENSBTAG00000005710
bison_bison_bison ENSBBBG00000011422
ovis_aries ENSOARG00000016809
capra_hircus ENSCHIG00000013038
tursiops_truncatus ENSTTRG00000000675
sus_scrofa ENSSSCG00000015045
vicugna_pacos ENSVPAG00000007274
