ictidomys_tridecemlineatus ENSSTOG00000031548
spermophilus_dauricus ENSSDAG00000010837
marmota_marmota ENSMMMG00000019722
urocitellus_parryii ENSUPAG00010000300
castor_canadensis ENSCCNG00000001416
cricetulus_griseus ENSCGRG00001019460
cricetulus_griseus ENSCGRG00000011561
cricetulus_griseus ENSCGRG00015011808
microtus_ochrogaster ENSMOCG00000008968
peromyscus_maniculatus ENSPEMG00000019828
mus_musculus ENSMUSG00000067604
mus_spicilegus ENSMSIG00000022133
mus_spretus MGP_SPRETEiJ_G0014870
mus_caroli MGP_CAROLIEiJ_G0014066
mus_pahari MGP_PahariEiJ_G0027313
rattus_norvegicus ENSRNOG00000038979
meriones_unguiculatus ENSMUGG00000013971
nannospalax_galili ENSNGAG00000012529
jaculus_jaculus ENSJJAG00000004537
cavia_aperea ENSCAPG00000007149
cavia_porcellus ENSCPOG00000004100
octodon_degus ENSODEG00000007962
chinchilla_lanigera ENSCLAG00000004166
heterocephalus_glaber ENSHGLG00100009063
heterocephalus_glaber ENSHGLG00000008615
fukomys_damarensis ENSFDAG00000017455
oryctolagus_cuniculus ENSOCUG00000001463
tupaia_belangeri ENSTBEG00000006073
pan_troglodytes ENSPTRG00000030401
pan_paniscus ENSPPAG00000037891
homo_sapiens ENSG00000204640
gorilla_gorilla ENSGGOG00000022806
pongo_abelii ENSPPYG00000012099
nomascus_leucogenys ENSNLEG00000014380
rhinopithecus_roxellana ENSRROG00000036442
rhinopithecus_bieti ENSRBIG00000037420
colobus_angolensis ENSCANG00000039535
piliocolobus_tephrosceles ENSPTEG00000021857
papio_anubis ENSPANG00000024717
theropithecus_gelada ENSTGEG00000007032
macaca_mulatta ENSMMUG00000030707
macaca_fascicularis ENSMFAG00000035510
macaca_nemestrina ENSMNEG00000038064
mandrillus_leucophaeus ENSMLEG00000043331
cercocebus_atys ENSCATG00000029654
saimiri_boliviensis ENSSBOG00000028746
cebus_capucinus ENSCCAG00000033337
callithrix_jacchus ENSCJAG00000010158
aotus_nancymaae ENSANAG00000022007
carlito_syrichta ENSTSYG00000013935
microcebus_murinus ENSMICG00000000057
propithecus_coquereli ENSPCOG00000028498
prolemur_simus ENSPSMG00000019197
otolemur_garnettii ENSOGAG00000015135
pteropus_vampyrus ENSPVAG00000007901
myotis_lucifugus ENSMLUG00000003896
ursus_americanus ENSUAMG00000006611
ursus_maritimus ENSUMAG00000007736
ailuropoda_melanoleuca ENSAMEG00000015660
mustela_putorius ENSMPUG00000012109
canis_lupus ENSCAFG00000023251
panthera_pardus ENSPPRG00000015783
panthera_tigris ENSPTIG00000017606
felis_catus ENSFCAG00000042561
capra_hircus ENSCHIG00000009642
ovis_aries ENSOARG00000013307
bison_bison ENSBBBG00000022959
bos_taurus ENSBTAG00000034184
bos_mutus ENSBMUG00000022438
tursiops_truncatus ENSTTRG00000006235
vicugna_pacos ENSVPAG00000003747
equus_caballus ENSECAG00000017654
choloepus_hoffmanni ENSCHOG00000013415
loxodonta_africana ENSLAFG00000029888
procavia_capensis ENSPCAG00000009639
echinops_telfairi ENSETEG00000012319
gallus_gallus ENSGALG00000050027
coturnix_japonica ENSCJPG00005001260
numida_meleagris ENSNMEG00000017620
calidris_pugnax ENSCPUG00000004541
junco_hyemalis ENSJHYG00000018287
salvator_merianae ENSSMRG00000021515
crocodylus_porosus ENSCPRG00005012288
pygocentrus_nattereri ENSPNAG00000019552
astyanax_mexicanus ENSAMXG00000012785
ictalurus_punctatus ENSIPUG00000015902
