bison_bison_bison ENSBBBG00000008910
capra_hircus ENSCHIG00000015963
sus_scrofa ENSSSCG00000035512
mustela_putorius_furo ENSMPUG00000012685
neovison_vison ENSNVIG00000021820
canis_lupus_dingo ENSCAFG00020011376
felis_catus ENSFCAG00000041207
equus_caballus ENSECAG00000015624
equus_asinus_asinus ENSEASG00005011955
fukomys_damarensis ENSFDAG00000012831
castor_canadensis ENSCCNG00000025674
urocitellus_parryii ENSUPAG00010015012
cricetulus_griseus_chok1gshd ENSCGRG00001017897
cricetulus_griseus_crigri-picr ENSCGRG00015019934
cricetulus_griseus_crigri ENSCGRG00000017532
mesocricetus_auratus ENSMAUG00000011483
peromyscus_maniculatus_bairdii ENSPEMG00000016302
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017017
mus_musculus ENSMUSG00000020299
mus_spicilegus ENSMSIG00000024432
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016173
mus_pahari MGP_PahariEiJ_G0017308
rattus_norvegicus ENSRNOG00000027852
nannospalax_galili ENSNGAG00000012324
ochotona_princeps ENSOPRG00000012772
prolemur_simus ENSPSMG00000014112
microcebus_murinus ENSMICG00000047468
pan_paniscus ENSPPAG00000018189
pan_troglodytes ENSPTRG00000017546
gorilla_gorilla ENSGGOG00000013448
homo_sapiens ENSG00000185056
pongo_abelii ENSPPYG00000016059
nomascus_leucogenys ENSNLEG00000027778
papio_anubis ENSPANG00000024858
theropithecus_gelada ENSTGEG00000013369
cercocebus_atys ENSCATG00000012564
macaca_nemestrina ENSMNEG00000036162
chlorocebus_sabaeus ENSCSAG00000009504
colobus_angolensis_palliatus ENSCANG00000039774
rhinopithecus_roxellana ENSRROG00000008119
cebus_capucinus ENSCCAG00000038085
callithrix_jacchus ENSCJAG00000019160
saimiri_boliviensis_boliviensis ENSSBOG00000011758
aotus_nancymaae ENSANAG00000026045
dasypus_novemcinctus ENSDNOG00000045340
procavia_capensis ENSPCAG00000010073
