cricetulus_griseus_chok1gshd ENSCGRG00001004958
cricetulus_griseus_crigri-picr ENSCGRG00015016258
cricetulus_griseus_crigri ENSCGRG00000014922
mesocricetus_auratus ENSMAUG00000008528
peromyscus_maniculatus_bairdii ENSPEMG00000027458
microtus_ochrogaster ENSMOCG00000014935
mus_spicilegus ENSMSIG00000019198
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019628
mus_musculus ENSMUSG00000035834
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018745
mus_pahari MGP_PahariEiJ_G0015824
rattus_norvegicus ENSRNOG00000016260
meriones_unguiculatus ENSMUGG00000024871
nannospalax_galili ENSNGAG00000010745
marmota_marmota_marmota ENSMMMG00000004677
urocitellus_parryii ENSUPAG00010016512
spermophilus_dauricus ENSSDAG00000014191
castor_canadensis ENSCCNG00000023214
