pteropus_vampyrus ENSPVAG00000012145
myotis_lucifugus ENSMLUG00000003336
bos_taurus ENSBTAG00000053818
bos_mutus ENSBMUG00000023066
ovis_aries ENSOARG00000009218
sus_scrofa ENSSSCG00000009697
ursus_maritimus ENSUMAG00000021750
ursus_americanus ENSUAMG00000015065
ailuropoda_melanoleuca ENSAMEG00000019464
mustela_putorius_furo ENSMPUG00000001832
neovison_vison ENSNVIG00000024533
canis_lupus_familiaris ENSCAFG00000024726
canis_lupus_dingo ENSCAFG00020011928
vulpes_vulpes ENSVVUG00000016674
panthera_tigris_altaica ENSPTIG00000000511
panthera_pardus ENSPPRG00000021979
felis_catus ENSFCAG00000043968
equus_caballus ENSECAG00000002189
equus_asinus_asinus ENSEASG00005016450
cricetulus_griseus_chok1gshd ENSCGRG00001014076
cricetulus_griseus_crigri ENSCGRG00000010901
cricetulus_griseus_crigri-picr ENSCGRG00015006513
peromyscus_maniculatus_bairdii ENSPEMG00000013490
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032174
mus_spicilegus ENSMSIG00000003417
mus_musculus ENSMUSG00000046258
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031059
mus_pahari MGP_PahariEiJ_G0021525
castor_canadensis ENSCCNG00000004599
octodon_degus ENSODEG00000011881
chinchilla_lanigera ENSCLAG00000017816
urocitellus_parryii ENSUPAG00010015545
ictidomys_tridecemlineatus ENSSTOG00000025632
spermophilus_dauricus ENSSDAG00000014023
marmota_marmota_marmota ENSMMMG00000013127
oryctolagus_cuniculus ENSOCUG00000007714
oryctolagus_cuniculus ENSOCUG00000013889
microcebus_murinus ENSMICG00000032176
prolemur_simus ENSPSMG00000020126
otolemur_garnettii ENSOGAG00000015487
pan_paniscus ENSPPAG00000014578
pan_troglodytes ENSPTRG00000016608
homo_sapiens ENSG00000168594
gorilla_gorilla ENSGGOG00000011350
pongo_abelii ENSPPYG00000015277
nomascus_leucogenys ENSNLEG00000006715
theropithecus_gelada ENSTGEG00000022390
papio_anubis ENSPANG00000015055
chlorocebus_sabaeus ENSCSAG00000003088
macaca_mulatta ENSMMUG00000038473
rhinopithecus_bieti ENSRBIG00000023981
piliocolobus_tephrosceles ENSPTEG00000006862
callithrix_jacchus ENSCJAG00000005263
saimiri_boliviensis_boliviensis ENSSBOG00000031942
spermophilus_dauricus ENSSDAG00000014013
loxodonta_africana ENSLAFG00000026574
echinops_telfairi ENSETEG00000019301
dasypus_novemcinctus ENSDNOG00000047827
