heterocephalus_glaber_male ENSHGLG00100004175
heterocephalus_glaber_female ENSHGLG00000008139
fukomys_damarensis ENSFDAG00000010574
octodon_degus ENSODEG00000008652
octodon_degus ENSODEG00000002486
chinchilla_lanigera ENSCLAG00000006589
cavia_porcellus ENSCPOG00000032437
castor_canadensis ENSCCNG00000017907
peromyscus_maniculatus_bairdii ENSPEMG00000030241
microtus_ochrogaster ENSMOCG00000002767
cricetulus_griseus_crigri-picr ENSCGRG00015027008
cricetulus_griseus_chok1gshd ENSCGRG00001016141
cricetulus_griseus_crigri ENSCGRG00000006971
mesocricetus_auratus ENSMAUG00000013379
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026425
mus_spicilegus ENSMSIG00000005828
mus_musculus ENSMUSG00000068798
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025476
mus_pahari MGP_PahariEiJ_G0026921
rattus_norvegicus ENSRNOG00000032463
nannospalax_galili ENSNGAG00000022775
jaculus_jaculus ENSJJAG00000013293
spermophilus_dauricus ENSSDAG00000018119
urocitellus_parryii ENSUPAG00010022075
ictidomys_tridecemlineatus ENSSTOG00000027847
marmota_marmota_marmota ENSMMMG00000012006
oryctolagus_cuniculus ENSOCUG00000029303
microcebus_murinus ENSMICG00000011501
microcebus_murinus ENSMICG00000031591
propithecus_coquereli ENSPCOG00000007162
prolemur_simus ENSPSMG00000010516
otolemur_garnettii ENSOGAG00000030644
carlito_syrichta ENSTSYG00000004521
carlito_syrichta ENSTSYG00000031284
ursus_americanus ENSUAMG00000014276
ursus_maritimus ENSUMAG00000013890
ailuropoda_melanoleuca ENSAMEG00000005384
mustela_putorius_furo ENSMPUG00000004842
neovison_vison ENSNVIG00000001103
panthera_pardus ENSPPRG00000000474
panthera_tigris_altaica ENSPTIG00000022040
felis_catus ENSFCAG00000030756
myotis_lucifugus ENSMLUG00000010571
canis_lupus_dingo ENSCAFG00020008027
vulpes_vulpes ENSVVUG00000016250
pteropus_vampyrus ENSPVAG00000000180
vicugna_pacos ENSVPAG00000010033
sus_scrofa ENSSSCG00000006785
tursiops_truncatus ENSTTRG00000005090
ovis_aries ENSOARG00000019632
capra_hircus ENSCHIG00000017703
bos_taurus ENSBTAG00000050904
bos_mutus ENSBMUG00000009484
bison_bison_bison ENSBBBG00000009983
equus_caballus ENSECAG00000016434
equus_caballus ENSECAG00000006203
equus_asinus_asinus ENSEASG00005005448
sorex_araneus ENSSARG00000008857
erinaceus_europaeus ENSEEUG00000010446
cricetulus_griseus_crigri ENSCGRG00000012709
cricetulus_griseus_chok1gshd ENSCGRG00001002989
meriones_unguiculatus ENSMUGG00000008825
dipodomys_ordii ENSDORG00000011656
ochotona_princeps ENSOPRG00000003999
loxodonta_africana ENSLAFG00000000086
echinops_telfairi ENSETEG00000016893
dasypus_novemcinctus ENSDNOG00000007809
choloepus_hoffmanni ENSCHOG00000008506
saimiri_boliviensis_boliviensis ENSSBOG00000019474
callithrix_jacchus ENSCJAG00000013392
cebus_capucinus ENSCCAG00000034175
aotus_nancymaae ENSANAG00000032359
saimiri_boliviensis_boliviensis ENSSBOG00000023711
cercocebus_atys ENSCATG00000044910
chlorocebus_sabaeus ENSCSAG00000001580
theropithecus_gelada ENSTGEG00000003738
mandrillus_leucophaeus ENSMLEG00000028596
macaca_nemestrina ENSMNEG00000031184
macaca_mulatta ENSMMUG00000014486
macaca_fascicularis ENSMFAG00000034202
rhinopithecus_roxellana ENSRROG00000043025
rhinopithecus_bieti ENSRBIG00000016227
colobus_angolensis_palliatus ENSCANG00000035997
pan_paniscus ENSPPAG00000040050
pan_troglodytes ENSPTRG00000001102
homo_sapiens ENSG00000116473
pongo_abelii ENSPPYG00000001028
nomascus_leucogenys ENSNLEG00000004018
pan_troglodytes ENSPTRG00000045441
pan_paniscus ENSPPAG00000040331
gorilla_gorilla ENSGGOG00000036134
nomascus_leucogenys ENSNLEG00000032793
cebus_capucinus ENSCCAG00000036597
saimiri_boliviensis_boliviensis ENSSBOG00000028294
aotus_nancymaae ENSANAG00000021950
monodelphis_domestica ENSMODG00000025320
phascolarctos_cinereus ENSPCIG00000027723
notamacropus_eugenii ENSMEUG00000004868
sarcophilus_harrisii ENSSHAG00000014117
monodelphis_domestica ENSMODG00000001323
monodelphis_domestica ENSMODG00000018937
ornithorhynchus_anatinus ENSOANG00000010448
pogona_vitticeps ENSPVIG00000002430
notechis_scutatus ENSNSUG00000013942
salvator_merianae ENSSMRG00000004415
sphenodon_punctatus ENSSPUG00000005625
parus_major ENSPMJG00000017575
meleagris_gallopavo ENSMGAG00000004577
nothoprocta_perdicaria ENSNPEG00000007837
chrysemys_picta_bellii ENSCPBG00000021259
gopherus_agassizii ENSGAGG00000000168
pelodiscus_sinensis ENSPSIG00000003633
