zonotrichia_albicollis ENSZALG00000000466
junco_hyemalis ENSJHYG00000016506
serinus_canaria ENSSCAG00000013767
taeniopygia_guttata ENSTGUG00000012345
lonchura_striata_domestica ENSLSDG00000007744
cyanistes_caeruleus ENSCCEG00000009416
parus_major ENSPMJG00000014894
ficedula_albicollis ENSFALG00000008145
manacus_vitellinus ENSMVIG00005007382
lepidothrix_coronata ENSLCOG00000006758
melopsittacus_undulatus ENSMUNG00000013044
calidris_pygmaea ENSCPGG00000010750
calidris_pugnax ENSCPUG00000012860
anser_brachyrhynchus ENSABRG00000004172
anas_platyrhynchos_platyrhynchos ENSAPLG00000020430
gallus_gallus ENSGALG00000016971
coturnix_japonica ENSCJPG00005019724
numida_meleagris ENSNMEG00000006887
dromaius_novaehollandiae ENSDNVG00000013232
nothoprocta_perdicaria ENSNPEG00000006665
apteryx_haastii ENSAHAG00000014366
apteryx_owenii ENSAOWG00000018205
apteryx_rowi ENSARWG00000010983
crocodylus_porosus ENSCPRG00005001575
gopherus_agassizii ENSGAGG00000007965
chelonoidis_abingdonii ENSCABG00000019573
chrysemys_picta_bellii ENSCPBG00000008064
pelodiscus_sinensis ENSPSIG00000001094
pogona_vitticeps ENSPVIG00000008377
anolis_carolinensis ENSACAG00000006426
salvator_merianae ENSSMRG00000022801
octodon_degus ENSODEG00000005705
panthera_tigris_altaica ENSPTIG00000019134
xenopus_tropicalis ENSXETG00000033932
latimeria_chalumnae ENSLACG00000008112
