ailuropoda_melanoleuca ENSAMEG00000019479
canis_lupus ENSCAFG00020014507
felis_catus ENSFCAG00000046511
panthera_pardus ENSPPRG00000012774
equus_caballus ENSECAG00000034045
equus_asinus ENSEASG00005007796
bos_indicus ENSBIXG00005012567
bos_indicus ENSBIXG00000026131
bos_taurus ENSBTAG00000051575
capra_hircus ENSCHIG00000005171
sus_scrofa ENSSSCG00000003884
theropithecus_gelada ENSTGEG00000002535
papio_anubis ENSPANG00000011983
macaca_mulatta ENSMMUG00000064635
macaca_nemestrina ENSMNEG00000009558
cercocebus_atys ENSCATG00000043314
chlorocebus_sabaeus ENSCSAG00000000143
piliocolobus_tephrosceles ENSPTEG00000038182
pan_troglodytes ENSPTRG00000030618
homo_sapiens ENSG00000186790
cebus_capucinus ENSCCAG00000018685
callithrix_jacchus ENSCJAG00000038878
aotus_nancymaae ENSANAG00000019840
prolemur_simus ENSPSMG00000012832
propithecus_coquereli ENSPCOG00000005648
microcebus_murinus ENSMICG00000029422
mus_spretus MGP_SPRETEiJ_G0027273
mus_spicilegus ENSMSIG00000032117
mus_musculus ENSMUSG00000044518
mus_caroli MGP_CAROLIEiJ_G0026301
mus_pahari MGP_PahariEiJ_G0028635
rattus_norvegicus ENSRNOG00000007770
meriones_unguiculatus ENSMUGG00000016649
peromyscus_maniculatus ENSPEMG00000025577
microtus_ochrogaster ENSMOCG00000008738
cricetulus_griseus ENSCGRG00001005301
cricetulus_griseus ENSCGRG00015023304
mesocricetus_auratus ENSMAUG00000010093
nannospalax_galili ENSNGAG00000016532
castor_canadensis ENSCCNG00000021960
urocitellus_parryii ENSUPAG00010016452
ictidomys_tridecemlineatus ENSSTOG00000033171
