piliocolobus_tephrosceles ENSPTEG00000024099
theropithecus_gelada ENSTGEG00000009401
pongo_abelii ENSPPYG00000017734
pongo_abelii ENSPPYG00000008676
theropithecus_gelada ENSTGEG00000014285
theropithecus_gelada ENSTGEG00000026646
macaca_fascicularis ENSMFAG00000005305
macaca_nemestrina ENSMNEG00000010032
cercocebus_atys ENSCATG00000003610
papio_anubis ENSPANG00000029546
mandrillus_leucophaeus ENSMLEG00000000917
theropithecus_gelada ENSTGEG00000011387
pongo_abelii ENSPPYG00000020271
prolemur_simus ENSPSMG00000014302
