panthera_pardus ENSPPRG00000006086
panthera_tigris_altaica ENSPTIG00000011270
felis_catus ENSFCAG00000034732
vulpes_vulpes ENSVVUG00000019004
canis_lupus_dingo ENSCAFG00020017644
equus_caballus ENSECAG00000038016
equus_asinus_asinus ENSEASG00005001057
ursus_maritimus ENSUMAG00000018699
ursus_americanus ENSUAMG00000026784
neovison_vison ENSNVIG00000017176
bos_taurus ENSBTAG00000050625
bos_mutus ENSBMUG00000025872
bison_bison_bison ENSBBBG00000018024
capra_hircus ENSCHIG00000011815
sus_scrofa ENSSSCG00000034073
theropithecus_gelada ENSTGEG00000021803
piliocolobus_tephrosceles ENSPTEG00000010127
castor_canadensis ENSCCNG00000021251
prolemur_simus ENSPSMG00000013920
mesocricetus_auratus ENSMAUG00000009612
microtus_ochrogaster ENSMOCG00000018883
rattus_norvegicus ENSRNOG00000059973
peromyscus_maniculatus_bairdii ENSPEMG00000024822
meriones_unguiculatus ENSMUGG00000026842
spermophilus_dauricus ENSSDAG00000008405
urocitellus_parryii ENSUPAG00010010844
marmota_marmota_marmota ENSMMMG00000004137
sphenodon_punctatus ENSSPUG00000003659
pogona_vitticeps ENSPVIG00000008192
gopherus_agassizii ENSGAGG00000003200
chrysemys_picta_bellii ENSCPBG00000006829
calidris_pygmaea ENSCPGG00000000329
calidris_pugnax ENSCPUG00000016805
melopsittacus_undulatus ENSMUNG00000005701
anser_brachyrhynchus ENSABRG00000006968
anas_platyrhynchos_platyrhynchos ENSAPLG00000020440
dromaius_novaehollandiae ENSDNVG00000009741
