pundamilia_nyererei ENSPNYG00000015833
haplochromis_burtoni ENSHBUG00000001169
neolamprologus_brichardi ENSNBRG00000001104
amphiprion_ocellaris ENSAOCG00000015705
stegastes_partitus ENSSPAG00000004132
xiphophorus_maculatus ENSXMAG00000030009
poecilia_reticulata ENSPREG00000002096
gambusia_affinis ENSGAFG00000007617
kryptolebias_marmoratus ENSKMAG00000007889
xiphophorus_couchianus ENSXCOG00000006564
poecilia_reticulata ENSPREG00000007426
fundulus_heteroclitus ENSFHEG00000002704
cyprinodon_variegatus ENSCVAG00000009567
oryzias_latipes ENSORLG00000027965
oryzias_latipes ENSORLG00000027459
oryzias_latipes ENSORLG00015018114
oryzias_latipes ENSORLG00000024960
oryzias_latipes ENSORLG00000025718
oryzias_melastigma ENSOMEG00000017693
oryzias_melastigma ENSOMEG00000012584
oryzias_melastigma ENSOMEG00000000320
oryzias_melastigma ENSOMEG00000017677
oryzias_melastigma ENSOMEG00000017716
oryzias_melastigma ENSOMEG00000017822
oryzias_melastigma ENSOMEG00000017659
mastacembelus_armatus ENSMAMG00000013694
mastacembelus_armatus ENSMAMG00000013745
anabas_testudineus ENSATEG00000003715
seriola_lalandi ENSSLDG00000022875
labrus_bergylta ENSLBEG00000023761
labrus_bergylta ENSLBEG00000006275
labrus_bergylta ENSLBEG00000003572
labrus_bergylta ENSLBEG00000023785
labrus_bergylta ENSLBEG00000016958
