anas_platyrhynchos_platyrhynchos ENSAPLG00000019819
gallus_gallus ENSGALG00000054080
calidris_pygmaea ENSCPGG00000012505
ficedula_albicollis ENSFALG00000005223
parus_major ENSPMJG00000009522
taeniopygia_guttata ENSTGUG00000016362
manacus_vitellinus ENSMVIG00005015240
lepidothrix_coronata ENSLCOG00000013606
apteryx_owenii ENSAOWG00000018180
apteryx_haastii ENSAHAG00000009345
apteryx_rowi ENSARWG00000013108
dromaius_novaehollandiae ENSDNVG00000009785
gopherus_agassizii ENSGAGG00000018845
theropithecus_gelada ENSTGEG00000015930
theropithecus_gelada ENSTGEG00000004031
otolemur_garnettii ENSOGAG00000006538
tupaia_belangeri ENSTBEG00000001287
mus_musculus ENSMUSG00000022941
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021894
mus_spicilegus ENSMSIG00000009954
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020988
mus_pahari MGP_PahariEiJ_G0016693
rattus_norvegicus ENSRNOG00000001684
meriones_unguiculatus ENSMUGG00000012926
cricetulus_griseus_crigri ENSCGRG00000006605
cricetulus_griseus_chok1gshd ENSCGRG00001015129
cricetulus_griseus_crigri-picr ENSCGRG00015015165
mesocricetus_auratus ENSMAUG00000017474
peromyscus_maniculatus_bairdii ENSPEMG00000013694
microtus_ochrogaster ENSMOCG00000018664
nannospalax_galili ENSNGAG00000020273
jaculus_jaculus ENSJJAG00000014562
castor_canadensis ENSCCNG00000028553
dipodomys_ordii ENSDORG00000006654
chinchilla_lanigera ENSCLAG00000006237
spermophilus_dauricus ENSSDAG00000020417
ictidomys_tridecemlineatus ENSSTOG00000031463
marmota_marmota_marmota ENSMMMG00000002971
ursus_americanus ENSUAMG00000006445
ursus_maritimus ENSUMAG00000000142
ailuropoda_melanoleuca ENSAMEG00000019773
canis_lupus_dingo ENSCAFG00020024407
canis_lupus_familiaris ENSCAFG00000009694
neovison_vison ENSNVIG00000016055
mustela_putorius_furo ENSMPUG00000008305
panthera_pardus ENSPPRG00000008392
panthera_tigris_altaica ENSPTIG00000012747
felis_catus ENSFCAG00000043170
bison_bison_bison ENSBBBG00000017085
bos_mutus ENSBMUG00000022813
ovis_aries ENSOARG00000014165
capra_hircus ENSCHIG00000004217
bos_taurus ENSBTAG00000051916
tursiops_truncatus ENSTTRG00000007704
sus_scrofa ENSSSCG00000012060
prolemur_simus ENSPSMG00000010945
microcebus_murinus ENSMICG00000031167
propithecus_coquereli ENSPCOG00000018211
pan_troglodytes ENSPTRG00000013896
pan_paniscus ENSPPAG00000034300
homo_sapiens ENSG00000183145
gorilla_gorilla ENSGGOG00000038116
pongo_abelii ENSPPYG00000011408
nomascus_leucogenys ENSNLEG00000004521
rhinopithecus_bieti ENSRBIG00000033745
rhinopithecus_roxellana ENSRROG00000038710
piliocolobus_tephrosceles ENSPTEG00000003315
colobus_angolensis_palliatus ENSCANG00000001791
papio_anubis ENSPANG00000033880
mandrillus_leucophaeus ENSMLEG00000043038
cercocebus_atys ENSCATG00000045245
macaca_nemestrina ENSMNEG00000039675
macaca_fascicularis ENSMFAG00000045381
macaca_mulatta ENSMMUG00000043090
theropithecus_gelada ENSTGEG00000024839
aotus_nancymaae ENSANAG00000029570
cebus_capucinus ENSCCAG00000034670
oryctolagus_cuniculus ENSOCUG00000021051
ochotona_princeps ENSOPRG00000013023
procavia_capensis ENSPCAG00000013551
vicugna_pacos ENSVPAG00000009023
equus_caballus ENSECAG00000018917
pteropus_vampyrus ENSPVAG00000000856
choloepus_hoffmanni ENSCHOG00000000626
echinops_telfairi ENSETEG00000004111
dasypus_novemcinctus ENSDNOG00000040094
ornithorhynchus_anatinus ENSOANG00000006405
xenopus_tropicalis ENSXETG00000013030
latimeria_chalumnae ENSLACG00000014752
pygocentrus_nattereri ENSPNAG00000018235
astyanax_mexicanus ENSAMXG00000029707
ictalurus_punctatus ENSIPUG00000008071
danio_rerio ENSDARG00000036974
esox_lucius ENSELUG00000013761
paramormyrops_kingsleyae ENSPKIG00000014381
lepisosteus_oculatus ENSLOCG00000005009
