urocitellus_parryii ENSUPAG00010022888
ictidomys_tridecemlineatus ENSSTOG00000001628
marmota_marmota_marmota ENSMMMG00000006256
cavia_porcellus ENSCPOG00000022398
cavia_aperea ENSCAPG00000011714
chinchilla_lanigera ENSCLAG00000002189
octodon_degus ENSODEG00000014852
heterocephalus_glaber_female ENSHGLG00000006702
heterocephalus_glaber_male ENSHGLG00100016398
fukomys_damarensis ENSFDAG00000011152
castor_canadensis ENSCCNG00000011083
dipodomys_ordii ENSDORG00000016743
mus_spicilegus ENSMSIG00000027324
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031798
mus_musculus ENSMUSG00000025497
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030687
mus_pahari MGP_PahariEiJ_G0013886
rattus_norvegicus ENSRNOG00000017762
meriones_unguiculatus ENSMUGG00000012344
peromyscus_maniculatus_bairdii ENSPEMG00000017680
microtus_ochrogaster ENSMOCG00000014919
cricetulus_griseus_chok1gshd ENSCGRG00001021793
cricetulus_griseus_crigri-picr ENSCGRG00015027233
cricetulus_griseus_crigri ENSCGRG00000009471
mesocricetus_auratus ENSMAUG00000020859
nannospalax_galili ENSNGAG00000022955
jaculus_jaculus ENSJJAG00000010114
ochotona_princeps ENSOPRG00000005552
otolemur_garnettii ENSOGAG00000004990
microcebus_murinus ENSMICG00000031611
colobus_angolensis_palliatus ENSCANG00000014907
piliocolobus_tephrosceles ENSPTEG00000019466
rhinopithecus_roxellana ENSRROG00000036374
rhinopithecus_bieti ENSRBIG00000036900
cercocebus_atys ENSCATG00000030528
mandrillus_leucophaeus ENSMLEG00000036446
papio_anubis ENSPANG00000019483
theropithecus_gelada ENSTGEG00000023537
macaca_fascicularis ENSMFAG00000028350
macaca_mulatta ENSMMUG00000004024
macaca_nemestrina ENSMNEG00000044830
chlorocebus_sabaeus ENSCSAG00000010823
pan_troglodytes ENSPTRG00000051030
pan_paniscus ENSPPAG00000032840
homo_sapiens ENSG00000099834
gorilla_gorilla ENSGGOG00000008347
pongo_abelii ENSPPYG00000002873
nomascus_leucogenys ENSNLEG00000027183
cebus_capucinus ENSCCAG00000029145
saimiri_boliviensis_boliviensis ENSSBOG00000019815
aotus_nancymaae ENSANAG00000027790
ursus_americanus ENSUAMG00000022177
ursus_maritimus ENSUMAG00000005674
ailuropoda_melanoleuca ENSAMEG00000010632
mustela_putorius_furo ENSMPUG00000008898
neovison_vison ENSNVIG00000005803
panthera_tigris_altaica ENSPTIG00000014369
panthera_pardus ENSPPRG00000005170
felis_catus ENSFCAG00000018455
equus_asinus_asinus ENSEASG00005007256
equus_caballus ENSECAG00000009824
capra_hircus ENSCHIG00000022205
ovis_aries ENSOARG00000006446
bos_taurus ENSBTAG00000047914
bos_mutus ENSBMUG00000006011
bison_bison_bison ENSBBBG00000015235
tursiops_truncatus ENSTTRG00000011150
sus_scrofa ENSSSCG00000012852
pteropus_vampyrus ENSPVAG00000006877
procavia_capensis ENSPCAG00000010469
loxodonta_africana ENSLAFG00000011975
phascolarctos_cinereus ENSPCIG00000008306
notamacropus_eugenii ENSMEUG00000002248
sarcophilus_harrisii ENSSHAG00000003935
ornithorhynchus_anatinus ENSOANG00000029894
lepidothrix_coronata ENSLCOG00000001117
manacus_vitellinus ENSMVIG00005017762
anas_platyrhynchos_platyrhynchos ENSAPLG00000030107
xenopus_tropicalis ENSXETG00000033148
latimeria_chalumnae ENSLACG00000016256
esox_lucius ENSELUG00000000195
paramormyrops_kingsleyae ENSPKIG00000002707
scophthalmus_maximus ENSSMAG00000001551
cynoglossus_semilaevis ENSCSEG00000018856
hippocampus_comes ENSHCOG00000010914
