seriola_lalandi_dorsalis ENSSLDG00000013441
seriola_dumerili ENSSDUG00000021987
scophthalmus_maximus ENSSMAG00000012032
amphiprion_percula ENSAPEG00000000834
amphiprion_ocellaris ENSAOCG00000011970
acanthochromis_polyacanthus ENSAPOG00000024158
stegastes_partitus ENSSPAG00000016329
mola_mola ENSMMOG00000001650
tetraodon_nigroviridis ENSTNIG00000008810
labrus_bergylta ENSLBEG00000026699
astatotilapia_calliptera ENSACLG00000010990
maylandia_zebra ENSMZEG00005016397
pundamilia_nyererei ENSPNYG00000019791
haplochromis_burtoni ENSHBUG00000012869
neolamprologus_brichardi ENSNBRG00000017806
amphilophus_citrinellus ENSACIG00000004732
cyprinodon_variegatus ENSCVAG00000010567
fundulus_heteroclitus ENSFHEG00000009703
poecilia_latipinna ENSPLAG00000021076
poecilia_reticulata ENSPREG00000001295
xiphophorus_maculatus ENSXMAG00000022876
kryptolebias_marmoratus ENSKMAG00000021564
oryzias_latipes ENSORLG00020011840
oryzias_latipes ENSORLG00000015730
oryzias_latipes_asm223469v1 ENSORLG00015002241
oryzias_melastigma ENSOMEG00000020796
periophthalmus_magnuspinnatus ENSPMGG00000017030
mastacembelus_armatus ENSMAMG00000017442
monopterus_albus ENSMALG00000021252
anabas_testudineus ENSATEG00000016120
hippocampus_comes ENSHCOG00000012927
