periophthalmus_magnuspinnatus ENSPMGG00000009688
amphilophus_citrinellus ENSACIG00000001914
seriola_lalandi_dorsalis ENSSLDG00000006589
seriola_lalandi_dorsalis ENSSLDG00000018003
oryzias_melastigma ENSOMEG00000015167
hippocampus_comes ENSHCOG00000005871
scleropages_formosus ENSSFOG00015002200
taeniopygia_guttata ENSTGUG00000000762
serinus_canaria ENSSCAG00000017229
junco_hyemalis ENSJHYG00000013789
zonotrichia_albicollis ENSZALG00000005555
lepidothrix_coronata ENSLCOG00000004731
calidris_pygmaea ENSCPGG00000011886
apteryx_rowi ENSARWG00000000019
eptatretus_burgeri ENSEBUG00000000562
