vombatus_ursinus ENSVURG00010023409
phascolarctos_cinereus ENSPCIG00000023434
notamacropus_eugenii ENSMEUG00000011325
sarcophilus_harrisii ENSSHAG00000011724
monodelphis_domestica ENSMODG00000049911
equus_asinus ENSEASG00005008730
equus_caballus ENSECAG00000014554
vicugna_pacos ENSVPAG00000010460
dasypus_novemcinctus ENSDNOG00000004804
pteropus_vampyrus ENSPVAG00000011667
myotis_lucifugus ENSMLUG00000004467
bos_indicus ENSBIXG00000023901
bos_indicus ENSBIXG00005029441
bos_taurus ENSBTAG00000018299
bos_mutus ENSBMUG00000012538
bison_bison ENSBBBG00000023681
capra_hircus ENSCHIG00000019126
ovis_aries ENSOARG00000021169
echinops_telfairi ENSETEG00000008623
oryctolagus_cuniculus ENSOCUG00000000583
ochotona_princeps ENSOPRG00000015244
macaca_mulatta ENSMMUG00000021327
sus_scrofa ENSSSCG00000039351
procavia_capensis ENSPCAG00000007978
tursiops_truncatus ENSTTRG00000015835
sorex_araneus ENSSARG00000001215
rhinopithecus_roxellana ENSRROG00000044402
rhinopithecus_bieti ENSRBIG00000044159
colobus_angolensis ENSCANG00000039829
piliocolobus_tephrosceles ENSPTEG00000034749
macaca_fascicularis ENSMFAG00000034082
macaca_nemestrina ENSMNEG00000033527
mandrillus_leucophaeus ENSMLEG00000034541
cercocebus_atys ENSCATG00000021954
papio_anubis ENSPANG00000009282
theropithecus_gelada ENSTGEG00000018468
pan_troglodytes ENSPTRG00000006466
gorilla_gorilla ENSGGOG00000042348
gorilla_gorilla ENSGGOG00000001507
pan_paniscus ENSPPAG00000039461
homo_sapiens ENSG00000100564
pongo_abelii ENSPPYG00000005925
nomascus_leucogenys ENSNLEG00000000739
cebus_capucinus ENSCCAG00000035097
saimiri_boliviensis ENSSBOG00000013849
callithrix_jacchus ENSCJAG00000039073
aotus_nancymaae ENSANAG00000034424
carlito_syrichta ENSTSYG00000030079
carlito_syrichta ENSTSYG00000008465
propithecus_coquereli ENSPCOG00000024082
microcebus_murinus ENSMICG00000010835
prolemur_simus ENSPSMG00000011846
otolemur_garnettii ENSOGAG00000015789
castor_canadensis ENSCCNG00000008966
dipodomys_ordii ENSDORG00000007978
cricetulus_griseus ENSCGRG00015027986
cricetulus_griseus ENSCGRG00000009263
cricetulus_griseus ENSCGRG00001016093
mesocricetus_auratus ENSMAUG00000001113
microtus_ochrogaster ENSMOCG00000017829
peromyscus_maniculatus ENSPEMG00000010060
mus_spretus MGP_SPRETEiJ_G0018731
mus_caroli MGP_CAROLIEiJ_G0017886
mus_spicilegus ENSMSIG00000015210
mus_musculus ENSMUSG00000021120
mus_pahari MGP_PahariEiJ_G0029642
rattus_norvegicus ENSRNOG00000010914
meriones_unguiculatus ENSMUGG00000007819
nannospalax_galili ENSNGAG00000011153
ictidomys_tridecemlineatus ENSSTOG00000000250
spermophilus_dauricus ENSSDAG00000021189
heterocephalus_glaber ENSHGLG00100017997
heterocephalus_glaber ENSHGLG00000013035
fukomys_damarensis ENSFDAG00000008789
cavia_porcellus ENSCPOG00000003328
chinchilla_lanigera ENSCLAG00000003559
tupaia_belangeri ENSTBEG00000001844
neovison_vison ENSNVIG00000009267
mustela_putorius ENSMPUG00000007109
ailuropoda_melanoleuca ENSAMEG00000008159
canis_lupus ENSCAFG00000016423
canis_lupus ENSCAFG00020006335
vulpes_vulpes ENSVVUG00000000831
panthera_pardus ENSPPRG00000004610
panthera_tigris ENSPTIG00000019390
felis_catus ENSFCAG00000033077
marmota_marmota ENSMMMG00000021307
urocitellus_parryii ENSUPAG00010012089
chlorocebus_sabaeus ENSCSAG00000013295
jaculus_jaculus ENSJJAG00000016151
ursus_maritimus ENSUMAG00000010602
ursus_americanus ENSUAMG00000002851
erinaceus_europaeus ENSEEUG00000012734
choloepus_hoffmanni ENSCHOG00000004289
ornithorhynchus_anatinus ENSOANG00000009698
dromaius_novaehollandiae ENSDNVG00000001727
nothoprocta_perdicaria ENSNPEG00000008274
apteryx_owenii ENSAOWG00000001563
apteryx_haastii ENSAHAG00000014353
apteryx_rowi ENSARWG00000002324
taeniopygia_guttata ENSTGUG00000011508
lonchura_striata ENSLSDG00000010762
serinus_canaria ENSSCAG00000013106
zonotrichia_albicollis ENSZALG00000006748
junco_hyemalis ENSJHYG00000003793
ficedula_albicollis ENSFALG00000005128
parus_major ENSPMJG00000015062
lepidothrix_coronata ENSLCOG00000016370
manacus_vitellinus ENSMVIG00005011067
calidris_pygmaea ENSCPGG00000007533
melopsittacus_undulatus ENSMUNG00000010155
cyanistes_caeruleus ENSCCEG00000014319
calidris_pugnax ENSCPUG00000007614
anser_brachyrhynchus ENSABRG00000015490
anas_platyrhynchos ENSAPLG00000001006
gallus_gallus ENSGALG00000009510
coturnix_japonica ENSCJPG00005017380
meleagris_gallopavo ENSMGAG00000017365
crocodylus_porosus ENSCPRG00005017552
chelonoidis_abingdonii ENSCABG00000016891
gopherus_agassizii ENSGAGG00000009045
chrysemys_picta ENSCPBG00000021292
pelodiscus_sinensis ENSPSIG00000007363
pogona_vitticeps ENSPVIG00000022727
anolis_carolinensis ENSACAG00000005708
notechis_scutatus ENSNSUG00000017678
salvator_merianae ENSSMRG00000009511
sphenodon_punctatus ENSSPUG00000013890
xenopus_tropicalis ENSXETG00000020736
latimeria_chalumnae ENSLACG00000005598
denticeps_clupeoides ENSDCDG00000020663
clupea_harengus ENSCHAG00000024210
electrophorus_electricus ENSEEEG00000013310
ictalurus_punctatus ENSIPUG00000018989
astyanax_mexicanus ENSAMXG00005002901
astyanax_mexicanus ENSAMXG00000039078
pygocentrus_nattereri ENSPNAG00000010469
danio_rerio ENSDARG00000038348
oryzias_latipes ENSORLG00000024512
oryzias_latipes ENSORLG00015012308
oryzias_latipes ENSORLG00020014478
oryzias_melastigma ENSOMEG00000003839
periophthalmus_magnuspinnatus ENSPMGG00000008104
takifugu_rubripes ENSTRUG00000022326
tetraodon_nigroviridis ENSTNIG00000010964
cynoglossus_semilaevis ENSCSEG00000019350
seriola_dumerili ENSSDUG00000010069
seriola_lalandi ENSSLDG00000000277
scophthalmus_maximus ENSSMAG00000007557
monopterus_albus ENSMALG00000016414
mastacembelus_armatus ENSMAMG00000013890
betta_splendens ENSBSLG00000021785
cottoperca_gobio ENSCGOG00000019813
gasterosteus_aculeatus ENSGACG00000012982
labrus_bergylta ENSLBEG00000024395
larimichthys_crocea ENSLCRG00005021224
mola_mola ENSMMOG00000015059
anabas_testudineus ENSATEG00000001342
lates_calcarifer ENSLCAG00010019632
amphiprion_percula ENSAPEG00000022860
amphiprion_ocellaris ENSAOCG00000011836
acanthochromis_polyacanthus ENSAPOG00000012398
stegastes_partitus ENSSPAG00000007880
parambassis_ranga ENSPRNG00000013095
poecilia_formosa ENSPFOG00000012921
poecilia_mexicana ENSPMEG00000021489
poecilia_latipinna ENSPLAG00000006754
poecilia_reticulata ENSPREG00000013553
xiphophorus_couchianus ENSXCOG00000007701
gambusia_affinis ENSGAFG00000006282
xiphophorus_maculatus ENSXMAG00000006801
fundulus_heteroclitus ENSFHEG00000020492
fundulus_heteroclitus ENSFHEG00000004572
cyprinodon_variegatus ENSCVAG00000021357
kryptolebias_marmoratus ENSKMAG00000019213
gouania_willdenowi ENSGWIG00000022313
astatotilapia_calliptera ENSACLG00000006687
haplochromis_burtoni ENSHBUG00000022685
maylandia_zebra ENSMZEG00005013108
pundamilia_nyererei ENSPNYG00000003222
neolamprologus_brichardi ENSNBRG00000022194
oreochromis_niloticus ENSONIG00000000759
amphilophus_citrinellus ENSACIG00000001869
hippocampus_comes ENSHCOG00000002377
gadus_morhua ENSGMOG00000006099
hucho_hucho ENSHHUG00000013771
esox_lucius ENSELUG00000001553
scleropages_formosus ENSSFOG00015000371
paramormyrops_kingsleyae ENSPKIG00000021400
lepisosteus_oculatus ENSLOCG00000012333
erpetoichthys_calabaricus ENSECRG00000021757
callorhinchus_milii ENSCMIG00000016383
petromyzon_marinus ENSPMAG00000008821
eptatretus_burgeri ENSEBUG00000007284
