pteropus_vampyrus ENSPVAG00000008344
myotis_lucifugus ENSMLUG00000029317
ovis_aries ENSOARG00000000305
capra_hircus ENSCHIG00000025640
bos_mutus ENSBMUG00000015357
bos_taurus ENSBTAG00000052478
bison_bison_bison ENSBBBG00000009904
sus_scrofa ENSSSCG00000007215
vicugna_pacos ENSVPAG00000000791
ursus_americanus ENSUAMG00000012396
ursus_maritimus ENSUMAG00000000958
ailuropoda_melanoleuca ENSAMEG00000013775
neovison_vison ENSNVIG00000019317
canis_lupus_dingo ENSCAFG00020004135
canis_lupus_familiaris ENSCAFG00000025079
vulpes_vulpes ENSVVUG00000008353
panthera_pardus ENSPPRG00000024689
panthera_tigris_altaica ENSPTIG00000012639
felis_catus ENSFCAG00000036284
equus_asinus_asinus ENSEASG00005003643
equus_caballus ENSECAG00000029172
rhinopithecus_roxellana ENSRROG00000043438
rhinopithecus_bieti ENSRBIG00000033836
piliocolobus_tephrosceles ENSPTEG00000001770
colobus_angolensis_palliatus ENSCANG00000032506
papio_anubis ENSPANG00000020909
chlorocebus_sabaeus ENSCSAG00000012825
macaca_fascicularis ENSMFAG00000018776
macaca_mulatta ENSMMUG00000031231
macaca_nemestrina ENSMNEG00000036067
theropithecus_gelada ENSTGEG00000008826
mandrillus_leucophaeus ENSMLEG00000031875
cercocebus_atys ENSCATG00000041199
pan_paniscus ENSPPAG00000029087
pan_troglodytes ENSPTRG00000032541
homo_sapiens ENSG00000215545
gorilla_gorilla ENSGGOG00000006237
saimiri_boliviensis_boliviensis ENSSBOG00000022658
callithrix_jacchus ENSCJAG00000048116
cebus_capucinus ENSCCAG00000029346
carlito_syrichta ENSTSYG00000006163
propithecus_coquereli ENSPCOG00000024450
microcebus_murinus ENSMICG00000044698
prolemur_simus ENSPSMG00000003258
otolemur_garnettii ENSOGAG00000029643
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025382
mus_spicilegus ENSMSIG00000001552
mus_musculus ENSMUSG00000044249
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024461
mus_pahari MGP_PahariEiJ_G0025904
rattus_norvegicus ENSRNOG00000023195
meriones_unguiculatus ENSMUGG00000000132
peromyscus_maniculatus_bairdii ENSPEMG00000016653
microtus_ochrogaster ENSMOCG00000011528
nannospalax_galili ENSNGAG00000015125
jaculus_jaculus ENSJJAG00000023329
chinchilla_lanigera ENSCLAG00000016967
octodon_degus ENSODEG00000012325
marmota_marmota_marmota ENSMMMG00000023824
loxodonta_africana ENSLAFG00000032181
procavia_capensis ENSPCAG00000012294
