equus_asinus_asinus ENSEASG00005005154
equus_caballus ENSECAG00000007458
myotis_lucifugus ENSMLUG00000013961
bos_mutus ENSBMUG00000024956
bos_taurus ENSBTAG00000047321
bison_bison_bison ENSBBBG00000013960
capra_hircus ENSCHIG00000013052
vicugna_pacos ENSVPAG00000008611
homo_sapiens ENSG00000184148
gorilla_gorilla ENSGGOG00000012423
pan_paniscus ENSPPAG00000015490
pongo_abelii ENSPPYG00000000827
nomascus_leucogenys ENSNLEG00000018286
macaca_fascicularis ENSMFAG00000029062
macaca_mulatta ENSMMUG00000017743
macaca_nemestrina ENSMNEG00000028143
cercocebus_atys ENSCATG00000002632
theropithecus_gelada ENSTGEG00000018237
papio_anubis ENSPANG00000004569
mandrillus_leucophaeus ENSMLEG00000028102
chlorocebus_sabaeus ENSCSAG00000000041
piliocolobus_tephrosceles ENSPTEG00000026784
callithrix_jacchus ENSCJAG00000039910
prolemur_simus ENSPSMG00000000328
tupaia_belangeri ENSTBEG00000003824
tupaia_belangeri ENSTBEG00000011229
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026214
mus_spicilegus ENSMSIG00000012447
mus_musculus ENSMUSG00000045566
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025268
mus_pahari MGP_PahariEiJ_G0026714
rattus_norvegicus ENSRNOG00000042266
meriones_unguiculatus ENSMUGG00000024755
cricetulus_griseus_crigri-picr ENSCGRG00015007653
cricetulus_griseus_crigri ENSCGRG00000001627
cricetulus_griseus_chok1gshd ENSCGRG00001008935
peromyscus_maniculatus_bairdii ENSPEMG00000007005
microtus_ochrogaster ENSMOCG00000006580
