amphilophus_citrinellus ENSACIG00000019373
amphiprion_percula ENSAPEG00000018057
seriola_dumerili ENSSDUG00000011932
poecilia_latipinna ENSPLAG00000008248
poecilia_reticulata ENSPREG00000007412
poecilia_mexicana ENSPMEG00000004052
cyprinodon_variegatus ENSCVAG00000013484
oryzias_latipes ENSORLG00020019307
poecilia_latipinna ENSPLAG00000007506
poecilia_mexicana ENSPMEG00000004063
gambusia_affinis ENSGAFG00000002427
parambassis_ranga ENSPRNG00000012829
seriola_dumerili ENSSDUG00000011940
periophthalmus_magnuspinnatus ENSPMGG00000023088
