cynoglossus_semilaevis ENSCSEG00000014187
takifugu_rubripes ENSTRUG00000022392
xiphophorus_couchianus ENSXCOG00000012200
xiphophorus_maculatus ENSXMAG00000025025
poecilia_formosa ENSPFOG00000012814
poecilia_latipinna ENSPLAG00000002621
poecilia_mexicana ENSPMEG00000004467
poecilia_reticulata ENSPREG00000000520
gambusia_affinis ENSGAFG00000013681
paramormyrops_kingsleyae ENSPKIG00000009726
gopherus_agassizii ENSGAGG00000013857
chrysemys_picta_bellii ENSCPBG00000023908
pelodiscus_sinensis ENSPSIG00000012036
sphenodon_punctatus ENSSPUG00000015434
ornithorhynchus_anatinus ENSOANG00000009080
ursus_americanus ENSUAMG00000019605
ursus_maritimus ENSUMAG00000006260
ailuropoda_melanoleuca ENSAMEG00000012307
mustela_putorius_furo ENSMPUG00000004591
neovison_vison ENSNVIG00000003765
vulpes_vulpes ENSVVUG00000024132
canis_lupus_familiaris ENSCAFG00000017163
panthera_pardus ENSPPRG00000010246
panthera_tigris_altaica ENSPTIG00000013677
felis_catus ENSFCAG00000000473
sorex_araneus ENSSARG00000000146
erinaceus_europaeus ENSEEUG00000008095
sus_scrofa ENSSSCG00000013736
sus_scrofa ENSSSCG00000033964
ovis_aries ENSOARG00000010800
capra_hircus ENSCHIG00000008839
bos_taurus ENSBTAG00000012062
bos_mutus ENSBMUG00000014704
bison_bison_bison ENSBBBG00000008767
cricetulus_griseus_chok1gshd ENSCGRG00001008544
cricetulus_griseus_crigri ENSCGRG00000016279
mus_spicilegus ENSMSIG00000024893
saimiri_boliviensis_boliviensis ENSSBOG00000033961
phascolarctos_cinereus ENSPCIG00000014122
notamacropus_eugenii ENSMEUG00000005988
monodelphis_domestica ENSMODG00000006978
sarcophilus_harrisii ENSSHAG00000015596
cebus_capucinus ENSCCAG00000029671
macaca_mulatta ENSMMUG00000005689
callithrix_jacchus ENSCJAG00000004882
prolemur_simus ENSPSMG00000003806
prolemur_simus ENSPSMG00000025331
urocitellus_parryii ENSUPAG00010021701
marmota_marmota_marmota ENSMMMG00000023607
spermophilus_dauricus ENSSDAG00000016344
dipodomys_ordii ENSDORG00000009005
mus_spicilegus ENSMSIG00000024175
ursus_americanus ENSUAMG00000027848
ursus_maritimus ENSUMAG00000020443
ailuropoda_melanoleuca ENSAMEG00000020219
panthera_pardus ENSPPRG00000017595
equus_asinus_asinus ENSEASG00005004125
capra_hircus ENSCHIG00000017975
pan_troglodytes ENSPTRG00000010541
pan_paniscus ENSPPAG00000034246
homo_sapiens ENSG00000167815
gorilla_gorilla ENSGGOG00000025089
colobus_angolensis_palliatus ENSCANG00000011197
piliocolobus_tephrosceles ENSPTEG00000008046
papio_anubis ENSPANG00000010732
theropithecus_gelada ENSTGEG00000001840
chlorocebus_sabaeus ENSCSAG00000006571
macaca_fascicularis ENSMFAG00000031614
macaca_nemestrina ENSMNEG00000042230
mandrillus_leucophaeus ENSMLEG00000007227
cercocebus_atys ENSCATG00000030663
rhinopithecus_roxellana ENSRROG00000035034
rhinopithecus_bieti ENSRBIG00000040222
papio_anubis ENSPANG00000011805
cebus_capucinus ENSCCAG00000013200
aotus_nancymaae ENSANAG00000026462
pongo_abelii ENSPPYG00000009607
saimiri_boliviensis_boliviensis ENSSBOG00000034677
mandrillus_leucophaeus ENSMLEG00000033851
cercocebus_atys ENSCATG00000037373
