takifugu_rubripes ENSTRUG00000022317
mola_mola ENSMMOG00000009594
gasterosteus_aculeatus ENSGACG00000011610
stegastes_partitus ENSSPAG00000014438
amphiprion_ocellaris ENSAOCG00000022331
xiphophorus_maculatus ENSXMAG00000019434
cyprinodon_variegatus ENSCVAG00000011822
kryptolebias_marmoratus ENSKMAG00000018496
oryzias_latipes_asm223469v1 ENSORLG00015001639
oryzias_latipes ENSORLG00020005403
oryzias_latipes ENSORLG00000029505
scophthalmus_maximus ENSSMAG00000003173
mastacembelus_armatus ENSMAMG00000023715
labrus_bergylta ENSLBEG00000019858
hippocampus_comes ENSHCOG00000005035
gadus_morhua ENSGMOG00000013167
esox_lucius ENSELUG00000007176
scleropages_formosus ENSSFOG00015020058
paramormyrops_kingsleyae ENSPKIG00000003938
