sorex_araneus ENSSARG00000000068
erinaceus_europaeus ENSEEUG00000013917
bos_taurus ENSBTAG00000002326
bos_mutus ENSBMUG00000009866
bison_bison_bison ENSBBBG00000004851
ovis_aries ENSOARG00000021088
capra_hircus ENSCHIG00000011567
tursiops_truncatus ENSTTRG00000003319
sus_scrofa ENSSSCG00000005055
pteropus_vampyrus ENSPVAG00000016067
myotis_lucifugus ENSMLUG00000010408
ursus_maritimus ENSUMAG00000015989
ursus_americanus ENSUAMG00000015350
ailuropoda_melanoleuca ENSAMEG00000007036
neovison_vison ENSNVIG00000024309
neovison_vison ENSNVIG00000004043
neovison_vison ENSNVIG00000015469
mustela_putorius_furo ENSMPUG00000005725
mustela_putorius_furo ENSMPUG00000018778
canis_lupus_familiaris ENSCAFG00000015013
canis_lupus_dingo ENSCAFG00020018232
canis_lupus_dingo ENSCAFG00020010079
vulpes_vulpes ENSVVUG00000029604
panthera_tigris_altaica ENSPTIG00000010541
felis_catus ENSFCAG00000041666
panthera_pardus ENSPPRG00000008301
equus_asinus_asinus ENSEASG00005003129
equus_caballus ENSECAG00000006474
loxodonta_africana ENSLAFG00000005163
procavia_capensis ENSPCAG00000002177
tupaia_belangeri ENSTBEG00000002801
prolemur_simus ENSPSMG00000002648
echinops_telfairi ENSETEG00000014246
propithecus_coquereli ENSPCOG00000015312
microcebus_murinus ENSMICG00000016283
otolemur_garnettii ENSOGAG00000003473
pan_paniscus ENSPPAG00000033425
pan_troglodytes ENSPTRG00000006370
homo_sapiens ENSG00000131981
gorilla_gorilla ENSGGOG00000003457
pongo_abelii ENSPPYG00000005837
nomascus_leucogenys ENSNLEG00000012791
rhinopithecus_roxellana ENSRROG00000005407
rhinopithecus_roxellana ENSRROG00000036789
rhinopithecus_roxellana ENSRROG00000028618
rhinopithecus_bieti ENSRBIG00000038314
rhinopithecus_roxellana ENSRROG00000041661
rhinopithecus_bieti ENSRBIG00000041453
piliocolobus_tephrosceles ENSPTEG00000008059
colobus_angolensis_palliatus ENSCANG00000039155
macaca_mulatta ENSMMUG00000003565
macaca_fascicularis ENSMFAG00000036153
macaca_nemestrina ENSMNEG00000044514
theropithecus_gelada ENSTGEG00000011049
papio_anubis ENSPANG00000004321
mandrillus_leucophaeus ENSMLEG00000040161
cercocebus_atys ENSCATG00000044749
chlorocebus_sabaeus ENSCSAG00000014660
saimiri_boliviensis_boliviensis ENSSBOG00000034412
cebus_capucinus ENSCCAG00000034472
callithrix_jacchus ENSCJAG00000018296
aotus_nancymaae ENSANAG00000020743
ictidomys_tridecemlineatus ENSSTOG00000026024
spermophilus_dauricus ENSSDAG00000018383
urocitellus_parryii ENSUPAG00010003112
marmota_marmota_marmota ENSMMMG00000002842
mus_musculus ENSMUSG00000050335
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020054
mus_spicilegus ENSMSIG00000017513
