scleropages_formosus ENSSFOG00015016407
paramormyrops_kingsleyae ENSPKIG00000012216
labrus_bergylta ENSLBEG00000018519
mola_mola ENSMMOG00000005606
gasterosteus_aculeatus ENSGACG00000010402
anabas_testudineus ENSATEG00000003405
monopterus_albus ENSMALG00000008581
scophthalmus_maximus ENSSMAG00000008478
cynoglossus_semilaevis ENSCSEG00000014300
seriola_dumerili ENSSDUG00000017715
seriola_lalandi_dorsalis ENSSLDG00000018474
stegastes_partitus ENSSPAG00000005364
acanthochromis_polyacanthus ENSAPOG00000001130
xiphophorus_maculatus ENSXMAG00000019403
xiphophorus_couchianus ENSXCOG00000016649
gambusia_affinis ENSGAFG00000009422
poecilia_mexicana ENSPMEG00000013652
poecilia_latipinna ENSPLAG00000000745
fundulus_heteroclitus ENSFHEG00000007979
kryptolebias_marmoratus ENSKMAG00000004427
astatotilapia_calliptera ENSACLG00000006370
pundamilia_nyererei ENSPNYG00000021056
neolamprologus_brichardi ENSNBRG00000001036
haplochromis_burtoni ENSHBUG00000010354
oreochromis_niloticus ENSONIG00000011831
periophthalmus_magnuspinnatus ENSPMGG00000013617
gadus_morhua ENSGMOG00000000816
esox_lucius ENSELUG00000017598
astyanax_mexicanus ENSAMXG00000007786
pygocentrus_nattereri ENSPNAG00000026743
ictalurus_punctatus ENSIPUG00000017995
lepisosteus_oculatus ENSLOCG00000001617
anser_brachyrhynchus ENSABRG00000000527
anas_platyrhynchos_platyrhynchos ENSAPLG00000003907
gallus_gallus ENSGALG00000014664
meleagris_gallopavo ENSMGAG00000008159
coturnix_japonica ENSCJPG00005012769
numida_meleagris ENSNMEG00000006884
calidris_pugnax ENSCPUG00000018884
melopsittacus_undulatus ENSMUNG00000016756
serinus_canaria ENSSCAG00000007637
zonotrichia_albicollis ENSZALG00000010751
lonchura_striata_domestica ENSLSDG00000017084
taeniopygia_guttata ENSTGUG00000000720
cyanistes_caeruleus ENSCCEG00000009421
parus_major ENSPMJG00000006574
manacus_vitellinus ENSMVIG00005019448
lepidothrix_coronata ENSLCOG00000004975
dromaius_novaehollandiae ENSDNVG00000003970
apteryx_haastii ENSAHAG00000015767
nothoprocta_perdicaria ENSNPEG00000014226
crocodylus_porosus ENSCPRG00005002937
chrysemys_picta_bellii ENSCPBG00000004503
gopherus_agassizii ENSGAGG00000000508
pelodiscus_sinensis ENSPSIG00000011658
anolis_carolinensis ENSACAG00000013284
pogona_vitticeps ENSPVIG00000025661
notechis_scutatus ENSNSUG00000006158
phascolarctos_cinereus ENSPCIG00000028606
notamacropus_eugenii ENSMEUG00000007610
sarcophilus_harrisii ENSSHAG00000010647
monodelphis_domestica ENSMODG00000020128
castor_canadensis ENSCCNG00000021598
dipodomys_ordii ENSDORG00000009745
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019621
mus_spicilegus ENSMSIG00000018751
mus_musculus ENSMUSG00000071252
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018738
mus_pahari MGP_PahariEiJ_G0015817
rattus_norvegicus ENSRNOG00000045639
meriones_unguiculatus ENSMUGG00000005990
cricetulus_griseus_crigri ENSCGRG00000005225
cricetulus_griseus_chok1gshd ENSCGRG00001009297
cricetulus_griseus_crigri-picr ENSCGRG00015016919
mesocricetus_auratus ENSMAUG00000016282
microtus_ochrogaster ENSMOCG00000000720
peromyscus_maniculatus_bairdii ENSPEMG00000008563
nannospalax_galili ENSNGAG00000017372
urocitellus_parryii ENSUPAG00010003626
ictidomys_tridecemlineatus ENSSTOG00000026414
spermophilus_dauricus ENSSDAG00000021108
marmota_marmota_marmota ENSMMMG00000005181
chinchilla_lanigera ENSCLAG00000005311
octodon_degus ENSODEG00000013448
cavia_porcellus ENSCPOG00000002594
heterocephalus_glaber_male ENSHGLG00100016812
heterocephalus_glaber_female ENSHGLG00000014311
fukomys_damarensis ENSFDAG00000017575
oryctolagus_cuniculus ENSOCUG00000001921
ochotona_princeps ENSOPRG00000010982
propithecus_coquereli ENSPCOG00000021681
microcebus_murinus ENSMICG00000000340
prolemur_simus ENSPSMG00000011931
otolemur_garnettii ENSOGAG00000004093
pan_troglodytes ENSPTRG00000023210
pan_paniscus ENSPPAG00000029168
gorilla_gorilla ENSGGOG00000003363
pongo_abelii ENSPPYG00000015632
nomascus_leucogenys ENSNLEG00000013928
piliocolobus_tephrosceles ENSPTEG00000005674
colobus_angolensis_palliatus ENSCANG00000039496
rhinopithecus_roxellana ENSRROG00000007898
rhinopithecus_bieti ENSRBIG00000042795
mandrillus_leucophaeus ENSMLEG00000031471
cercocebus_atys ENSCATG00000040813
papio_anubis ENSPANG00000007936
theropithecus_gelada ENSTGEG00000003493
macaca_fascicularis ENSMFAG00000037289
macaca_mulatta ENSMMUG00000002508
macaca_nemestrina ENSMNEG00000030601
chlorocebus_sabaeus ENSCSAG00000014612
callithrix_jacchus ENSCJAG00000010418
cebus_capucinus ENSCCAG00000021094
saimiri_boliviensis_boliviensis ENSSBOG00000032086
aotus_nancymaae ENSANAG00000025687
tupaia_belangeri ENSTBEG00000008212
equus_caballus ENSECAG00000018095
myotis_lucifugus ENSMLUG00000008388
mustela_putorius_furo ENSMPUG00000004197
neovison_vison ENSNVIG00000005659
ailuropoda_melanoleuca ENSAMEG00000007828
canis_lupus_familiaris ENSCAFG00000008051
vulpes_vulpes ENSVVUG00000022102
panthera_pardus ENSPPRG00000005959
panthera_tigris_altaica ENSPTIG00000010653
felis_catus ENSFCAG00000028992
capra_hircus ENSCHIG00000016143
ovis_aries ENSOARG00000016729
bison_bison_bison ENSBBBG00000023466
bos_mutus ENSBMUG00000010861
bos_taurus ENSBTAG00000003144
sus_scrofa ENSSSCG00000014161
erinaceus_europaeus ENSEEUG00000011627
sorex_araneus ENSSARG00000000259
tursiops_truncatus ENSTTRG00000006636
vicugna_pacos ENSVPAG00000005949
pteropus_vampyrus ENSPVAG00000017848
echinops_telfairi ENSETEG00000003880
loxodonta_africana ENSLAFG00000015696
procavia_capensis ENSPCAG00000005780
dasypus_novemcinctus ENSDNOG00000040421
choloepus_hoffmanni ENSCHOG00000004858
ornithorhynchus_anatinus ENSOANG00000011067
xenopus_tropicalis ENSXETG00000013392
latimeria_chalumnae ENSLACG00000015807
