myotis_lucifugus ENSMLUG00000011138
pteropus_vampyrus ENSPVAG00000000405
ailuropoda_melanoleuca ENSAMEG00000017263
ursus_americanus ENSUAMG00000015886
mustela_putorius_furo ENSMPUG00000005530
neovison_vison ENSNVIG00000010569
canis_lupus_dingo ENSCAFG00020018066
canis_lupus_familiaris ENSCAFG00000024327
vulpes_vulpes ENSVVUG00000011543
panthera_pardus ENSPPRG00000020293
panthera_tigris_altaica ENSPTIG00000008436
felis_catus ENSFCAG00000009264
tursiops_truncatus ENSTTRG00000010251
sus_scrofa ENSSSCG00000040125
capra_hircus ENSCHIG00000017201
ovis_aries ENSOARG00000002756
bos_mutus ENSBMUG00000004421
bos_taurus ENSBTAG00000003519
equus_asinus_asinus ENSEASG00005011062
equus_caballus ENSECAG00000023317
homo_sapiens ENSG00000140939
gorilla_gorilla ENSGGOG00000012278
pongo_abelii ENSPPYG00000007442
cercocebus_atys ENSCATG00000034821
papio_anubis ENSPANG00000030797
macaca_fascicularis ENSMFAG00000043853
macaca_nemestrina ENSMNEG00000030684
macaca_mulatta ENSMMUG00000020268
theropithecus_gelada ENSTGEG00000005081
chlorocebus_sabaeus ENSCSAG00000003782
rhinopithecus_bieti ENSRBIG00000034061
rhinopithecus_bieti ENSRBIG00000038421
rhinopithecus_roxellana ENSRROG00000033912
colobus_angolensis_palliatus ENSCANG00000033665
saimiri_boliviensis_boliviensis ENSSBOG00000034224
cebus_capucinus ENSCCAG00000024743
callithrix_jacchus ENSCJAG00000016465
aotus_nancymaae ENSANAG00000028129
carlito_syrichta ENSTSYG00000027378
microcebus_murinus ENSMICG00000043710
propithecus_coquereli ENSPCOG00000006951
prolemur_simus ENSPSMG00000009414
otolemur_garnettii ENSOGAG00000033380
peromyscus_maniculatus_bairdii ENSPEMG00000003782
microtus_ochrogaster ENSMOCG00000013389
cricetulus_griseus_chok1gshd ENSCGRG00001016708
cricetulus_griseus_crigri-picr ENSCGRG00015006653
cricetulus_griseus_crigri ENSCGRG00000008759
mesocricetus_auratus ENSMAUG00000001852
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032588
mus_spicilegus ENSMSIG00000014052
mus_musculus ENSMUSG00000014776
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031470
mus_pahari MGP_PahariEiJ_G0023070
rattus_norvegicus ENSRNOG00000015588
meriones_unguiculatus ENSMUGG00000016432
nannospalax_galili ENSNGAG00000010053
heterocephalus_glaber_male ENSHGLG00100014481
heterocephalus_glaber_female ENSHGLG00000011905
fukomys_damarensis ENSFDAG00000021043
octodon_degus ENSODEG00000015937
cavia_porcellus ENSCPOG00000004946
chinchilla_lanigera ENSCLAG00000010849
spermophilus_dauricus ENSSDAG00000016923
spermophilus_dauricus ENSSDAG00000015722
urocitellus_parryii ENSUPAG00010001909
marmota_marmota_marmota ENSMMMG00000000263
ictidomys_tridecemlineatus ENSSTOG00000022251
dipodomys_ordii ENSDORG00000026944
castor_canadensis ENSCCNG00000012576
jaculus_jaculus ENSJJAG00000024314
ochotona_princeps ENSOPRG00000015114
oryctolagus_cuniculus ENSOCUG00000010013
loxodonta_africana ENSLAFG00000025992
procavia_capensis ENSPCAG00000013098
pan_troglodytes ENSPTRG00000049746
pan_paniscus ENSPPAG00000040533
piliocolobus_tephrosceles ENSPTEG00000018381
mandrillus_leucophaeus ENSMLEG00000041719
tupaia_belangeri ENSTBEG00000006544
bison_bison_bison ENSBBBG00000001188
echinops_telfairi ENSETEG00000006877
sorex_araneus ENSSARG00000008282
phascolarctos_cinereus ENSPCIG00000017532
sarcophilus_harrisii ENSSHAG00000010997
monodelphis_domestica ENSMODG00000006210
ornithorhynchus_anatinus ENSOANG00000000800
