procavia_capensis ENSPCAG00000003867
loxodonta_africana ENSLAFG00000007675
echinops_telfairi ENSETEG00000009287
choloepus_hoffmanni ENSCHOG00000012095
dasypus_novemcinctus ENSDNOG00000010641
cricetulus_griseus_crigri ENSCGRG00000010314
cricetulus_griseus_crigri-picr ENSCGRG00015014559
cricetulus_griseus_chok1gshd ENSCGRG00001023850
mesocricetus_auratus ENSMAUG00000018273
microtus_ochrogaster ENSMOCG00000011939
peromyscus_maniculatus_bairdii ENSPEMG00000023651
mus_musculus ENSMUSG00000058046
mus_spicilegus ENSMSIG00000019379
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027049
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026085
mus_pahari MGP_PahariEiJ_G0028420
rattus_norvegicus ENSRNOG00000024506
meriones_unguiculatus ENSMUGG00000012331
nannospalax_galili ENSNGAG00000019163
castor_canadensis ENSCCNG00000021865
cavia_porcellus ENSCPOG00000022817
chinchilla_lanigera ENSCLAG00000013666
fukomys_damarensis ENSFDAG00000016483
urocitellus_parryii ENSUPAG00010015581
oryctolagus_cuniculus ENSOCUG00000005857
ochotona_princeps ENSOPRG00000005421
pan_paniscus ENSPPAG00000040590
pan_troglodytes ENSPTRG00000021281
homo_sapiens ENSG00000157653
gorilla_gorilla ENSGGOG00000005375
pongo_abelii ENSPPYG00000019523
nomascus_leucogenys ENSNLEG00000016713
piliocolobus_tephrosceles ENSPTEG00000034392
colobus_angolensis_palliatus ENSCANG00000013955
rhinopithecus_roxellana ENSRROG00000027955
rhinopithecus_bieti ENSRBIG00000042823
papio_anubis ENSPANG00000025782
theropithecus_gelada ENSTGEG00000028221
cercocebus_atys ENSCATG00000038651
macaca_fascicularis ENSMFAG00000032550
macaca_nemestrina ENSMNEG00000037016
mandrillus_leucophaeus ENSMLEG00000022072
chlorocebus_sabaeus ENSCSAG00000012492
cebus_capucinus ENSCCAG00000031471
callithrix_jacchus ENSCJAG00000017924
saimiri_boliviensis_boliviensis ENSSBOG00000024499
aotus_nancymaae ENSANAG00000030724
carlito_syrichta ENSTSYG00000007621
propithecus_coquereli ENSPCOG00000027197
prolemur_simus ENSPSMG00000017959
microcebus_murinus ENSMICG00000015120
otolemur_garnettii ENSOGAG00000010848
tupaia_belangeri ENSTBEG00000012753
pteropus_vampyrus ENSPVAG00000004719
myotis_lucifugus ENSMLUG00000015355
equus_caballus ENSECAG00000034693
equus_asinus_asinus ENSEASG00005022668
ailuropoda_melanoleuca ENSAMEG00000012958
ursus_maritimus ENSUMAG00000019400
neovison_vison ENSNVIG00000009424
mustela_putorius_furo ENSMPUG00000007929
canis_lupus_familiaris ENSCAFG00000003250
canis_lupus_dingo ENSCAFG00020022785
vulpes_vulpes ENSVVUG00000003280
panthera_tigris_altaica ENSPTIG00000016130
panthera_pardus ENSPPRG00000000319
ovis_aries ENSOARG00000006237
capra_hircus ENSCHIG00000010121
bos_mutus ENSBMUG00000023354
bos_taurus ENSBTAG00000009596
bison_bison_bison ENSBBBG00000001731
tursiops_truncatus ENSTTRG00000001164
sus_scrofa ENSSSCG00000005479
vicugna_pacos ENSVPAG00000002560
erinaceus_europaeus ENSEEUG00000000638
sarcophilus_harrisii ENSSHAG00000017535
phascolarctos_cinereus ENSPCIG00000037482
