dromaius_novaehollandiae ENSDNVG00000008739
anser_brachyrhynchus ENSABRG00000020372
crocodylus_porosus ENSCPRG00005012900
sphenodon_punctatus ENSSPUG00000012718
canis_lupus_dingo ENSCAFG00020025402
vulpes_vulpes ENSVVUG00000007789
ailuropoda_melanoleuca ENSAMEG00000014157
panthera_tigris_altaica ENSPTIG00000012871
panthera_pardus ENSPPRG00000003738
felis_catus ENSFCAG00000009837
equus_caballus ENSECAG00000037065
ovis_aries ENSOARG00000017051
capra_hircus ENSCHIG00000019907
bos_taurus ENSBTAG00000051537
bos_mutus ENSBMUG00000019800
bison_bison_bison ENSBBBG00000008445
sus_scrofa ENSSSCG00000031308
pteropus_vampyrus ENSPVAG00000001441
microcebus_murinus ENSMICG00000045668
propithecus_coquereli ENSPCOG00000020115
prolemur_simus ENSPSMG00000007076
otolemur_garnettii ENSOGAG00000030892
cercocebus_atys ENSCATG00000027069
chlorocebus_sabaeus ENSCSAG00000018589
macaca_nemestrina ENSMNEG00000014169
macaca_nemestrina ENSMNEG00000017474
macaca_mulatta ENSMMUG00000030809
macaca_fascicularis ENSMFAG00000045150
macaca_fascicularis ENSMFAG00000035706
papio_anubis ENSPANG00000035714
cercocebus_atys ENSCATG00000042610
cercocebus_atys ENSCATG00000037781
macaca_mulatta ENSMMUG00000044266
papio_anubis ENSPANG00000030145
rhinopithecus_bieti ENSRBIG00000012975
rhinopithecus_roxellana ENSRROG00000041186
rhinopithecus_bieti ENSRBIG00000031593
rhinopithecus_roxellana ENSRROG00000041164
colobus_angolensis_palliatus ENSCANG00000029613
colobus_angolensis_palliatus ENSCANG00000032970
gorilla_gorilla ENSGGOG00000041827
pongo_abelii ENSPPYG00000005210
pongo_abelii ENSPPYG00000005213
pan_troglodytes ENSPTRG00000041287
pan_troglodytes ENSPTRG00000031237
nomascus_leucogenys ENSNLEG00000030854
nomascus_leucogenys ENSNLEG00000032923
gorilla_gorilla ENSGGOG00000009441
rhinopithecus_bieti ENSRBIG00000044213
pan_paniscus ENSPPAG00000018262
pan_paniscus ENSPPAG00000028094
callithrix_jacchus ENSCJAG00000018869
saimiri_boliviensis_boliviensis ENSSBOG00000025239
cebus_capucinus ENSCCAG00000031479
aotus_nancymaae ENSANAG00000021371
cricetulus_griseus_chok1gshd ENSCGRG00001024481
cricetulus_griseus_crigri-picr ENSCGRG00015011415
cricetulus_griseus_crigri ENSCGRG00000007925
microtus_ochrogaster ENSMOCG00000000624
peromyscus_maniculatus_bairdii ENSPEMG00000027608
mus_spicilegus ENSMSIG00000025002
meriones_unguiculatus ENSMUGG00000001013
nannospalax_galili ENSNGAG00000002512
jaculus_jaculus ENSJJAG00000012136
dipodomys_ordii ENSDORG00000027809
spermophilus_dauricus ENSSDAG00000018500
ictidomys_tridecemlineatus ENSSTOG00000014407
urocitellus_parryii ENSUPAG00010019273
marmota_marmota_marmota ENSMMMG00000012566
heterocephalus_glaber_female ENSHGLG00000021069
heterocephalus_glaber_male ENSHGLG00100020685
fukomys_damarensis ENSFDAG00000003639
cavia_aperea ENSCAPG00000007557
cavia_porcellus ENSCPOG00000038067
chinchilla_lanigera ENSCLAG00000006203
octodon_degus ENSODEG00000019100
ochotona_princeps ENSOPRG00000000809
dasypus_novemcinctus ENSDNOG00000049443
