chrysemys_picta ENSCPBG00000000873
gopherus_agassizii ENSGAGG00000000543
pelodiscus_sinensis ENSPSIG00000017084
crocodylus_porosus ENSCPRG00005016254
sphenodon_punctatus ENSSPUG00000003545
apteryx_owenii ENSAOWG00000010469
apteryx_haastii ENSAHAG00000009865
apteryx_rowi ENSARWG00000011171
gallus_gallus ENSGALG00000024047
coturnix_japonica ENSCJPG00005005060
numida_meleagris ENSNMEG00000011829
meleagris_gallopavo ENSMGAG00000005587
anser_brachyrhynchus ENSABRG00000012969
taeniopygia_guttata ENSTGUG00000001240
lonchura_striata ENSLSDG00000000547
serinus_canaria ENSSCAG00000006801
ficedula_albicollis ENSFALG00000000526
junco_hyemalis ENSJHYG00000014012
parus_major ENSPMJG00000000784
calidris_pygmaea ENSCPGG00000008227
calidris_pugnax ENSCPUG00000017751
dromaius_novaehollandiae ENSDNVG00000008765
melopsittacus_undulatus ENSMUNG00000003385
manacus_vitellinus ENSMVIG00005003300
lepidothrix_coronata ENSLCOG00000009670
cyanistes_caeruleus ENSCCEG00000003996
nothoprocta_perdicaria ENSNPEG00000009376
chelonoidis_abingdonii ENSCABG00000002033
lepidothrix_coronata ENSLCOG00000009671
manacus_vitellinus ENSMVIG00005008942
cyanistes_caeruleus ENSCCEG00000016849
zonotrichia_albicollis ENSZALG00000015994
anas_platyrhynchos ENSAPLG00000016475
melopsittacus_undulatus ENSMUNG00000002215
notechis_scutatus ENSNSUG00000012241
pogona_vitticeps ENSPVIG00000016197
anolis_carolinensis ENSACAG00000025431
salvator_merianae ENSSMRG00000012064
cercocebus_atys ENSCATG00000033384
mandrillus_leucophaeus ENSMLEG00000017162
papio_anubis ENSPANG00000032870
theropithecus_gelada ENSTGEG00000023483
macaca_fascicularis ENSMFAG00000029625
macaca_mulatta ENSMMUG00000016223
macaca_nemestrina ENSMNEG00000032787
chlorocebus_sabaeus ENSCSAG00000001138
rhinopithecus_roxellana ENSRROG00000039181
rhinopithecus_bieti ENSRBIG00000043373
colobus_angolensis ENSCANG00000015653
piliocolobus_tephrosceles ENSPTEG00000029327
pan_paniscus ENSPPAG00000029651
pan_troglodytes ENSPTRG00000000580
gorilla_gorilla ENSGGOG00000001693
homo_sapiens ENSG00000116990
pongo_abelii ENSPPYG00000001498
nomascus_leucogenys ENSNLEG00000012063
cebus_capucinus ENSCCAG00000022829
saimiri_boliviensis ENSSBOG00000031434
callithrix_jacchus ENSCJAG00000002700
aotus_nancymaae ENSANAG00000035601
cebus_capucinus ENSCCAG00000025374
chlorocebus_sabaeus ENSCSAG00000000311
theropithecus_gelada ENSTGEG00000014629
piliocolobus_tephrosceles ENSPTEG00000031090
callithrix_jacchus ENSCJAG00000060336
carlito_syrichta ENSTSYG00000009275
microcebus_murinus ENSMICG00000030328
prolemur_simus ENSPSMG00000011381
propithecus_coquereli ENSPCOG00000021177
otolemur_garnettii ENSOGAG00000015380
castor_canadensis ENSCCNG00000007868
dipodomys_ordii ENSDORG00000026501
heterocephalus_glaber ENSHGLG00000010727
heterocephalus_glaber ENSHGLG00100016630
fukomys_damarensis ENSFDAG00000019087
cavia_porcellus ENSCPOG00000036849
octodon_degus ENSODEG00000007752
chinchilla_lanigera ENSCLAG00000010158
mus_spicilegus ENSMSIG00000012978
mus_musculus ENSMUSG00000028654
mus_caroli MGP_CAROLIEiJ_G0026427
mus_spretus MGP_SPRETEiJ_G0027407
mus_pahari MGP_PahariEiJ_G0028757
rattus_norvegicus ENSRNOG00000014259
meriones_unguiculatus ENSMUGG00000007475
cricetulus_griseus ENSCGRG00015004147
cricetulus_griseus ENSCGRG00001012143
cricetulus_griseus ENSCGRG00000012790
mesocricetus_auratus ENSMAUG00000019673
microtus_ochrogaster ENSMOCG00000021799
peromyscus_maniculatus ENSPEMG00000029362
nannospalax_galili ENSNGAG00000017487
jaculus_jaculus ENSJJAG00000011159
ictidomys_tridecemlineatus ENSSTOG00000005037
urocitellus_parryii ENSUPAG00010016508
marmota_marmota ENSMMMG00000002838
tupaia_belangeri ENSTBEG00000002060
pteropus_vampyrus ENSPVAG00000003347
myotis_lucifugus ENSMLUG00000000337
neovison_vison ENSNVIG00000014970
mustela_putorius ENSMPUG00000014286
ursus_americanus ENSUAMG00000000568
ursus_maritimus ENSUMAG00000017291
ailuropoda_melanoleuca ENSAMEG00000004412
canis_lupus ENSCAFG00020003867
canis_lupus ENSCAFG00000003022
vulpes_vulpes ENSVVUG00000005189
panthera_pardus ENSPPRG00000006062
panthera_tigris ENSPTIG00000021086
felis_catus ENSFCAG00000022640
bos_mutus ENSBMUG00000023911
bos_taurus ENSBTAG00000054059
bos_indicus ENSBIXG00005030301
bos_indicus ENSBIXG00000025291
bison_bison ENSBBBG00000001492
ovis_aries ENSOARG00000020147
capra_hircus ENSCHIG00000017111
tursiops_truncatus ENSTTRG00000005113
sus_scrofa ENSSSCG00000039761
equus_caballus ENSECAG00000008765
equus_asinus ENSEASG00005000909
erinaceus_europaeus ENSEEUG00000004078
loxodonta_africana ENSLAFG00000001935
loxodonta_africana ENSLAFG00000030399
echinops_telfairi ENSETEG00000007072
procavia_capensis ENSPCAG00000007285
dasypus_novemcinctus ENSDNOG00000001996
oryctolagus_cuniculus ENSOCUG00000025113
ochotona_princeps ENSOPRG00000003229
phascolarctos_cinereus ENSPCIG00000020665
vombatus_ursinus ENSVURG00010002118
notamacropus_eugenii ENSMEUG00000000536
sarcophilus_harrisii ENSSHAG00000018449
monodelphis_domestica ENSMODG00000017647
xenopus_tropicalis ENSXETG00000021065
latimeria_chalumnae ENSLACG00000013771
astyanax_mexicanus ENSAMXG00000035997
astyanax_mexicanus ENSAMXG00005023126
pygocentrus_nattereri ENSPNAG00000009486
electrophorus_electricus ENSEEEG00000015478
ictalurus_punctatus ENSIPUG00000021814
danio_rerio ENSDARG00000034956
denticeps_clupeoides ENSDCDG00000029317
takifugu_rubripes ENSTRUG00000024422
tetraodon_nigroviridis ENSTNIG00000009239
mola_mola ENSMMOG00000021138
gasterosteus_aculeatus ENSGACG00000008503
seriola_lalandi ENSSLDG00000008350
cynoglossus_semilaevis ENSCSEG00000009590
oryzias_latipes ENSORLG00015018721
oryzias_latipes ENSORLG00020005541
oryzias_latipes ENSORLG00000024045
oryzias_melastigma ENSOMEG00000006521
betta_splendens ENSBSLG00000002897
maylandia_zebra ENSMZEG00005011499
astatotilapia_calliptera ENSACLG00000004752
pundamilia_nyererei ENSPNYG00000000989
haplochromis_burtoni ENSHBUG00000018988
neolamprologus_brichardi ENSNBRG00000020500
oreochromis_niloticus ENSONIG00000015406
amphilophus_citrinellus ENSACIG00000017431
poecilia_formosa ENSPFOG00000014720
poecilia_latipinna ENSPLAG00000011579
poecilia_mexicana ENSPMEG00000023717
gambusia_affinis ENSGAFG00000018631
poecilia_reticulata ENSPREG00000018224
xiphophorus_maculatus ENSXMAG00000029714
xiphophorus_couchianus ENSXCOG00000010629
fundulus_heteroclitus ENSFHEG00000022284
cyprinodon_variegatus ENSCVAG00000016645
kryptolebias_marmoratus ENSKMAG00000021784
gouania_willdenowi ENSGWIG00000012382
amphiprion_percula ENSAPEG00000001470
amphiprion_ocellaris ENSAOCG00000009857
acanthochromis_polyacanthus ENSAPOG00000020870
stegastes_partitus ENSSPAG00000020735
scophthalmus_maximus ENSSMAG00000020732
mastacembelus_armatus ENSMAMG00000005895
monopterus_albus ENSMALG00000017815
labrus_bergylta ENSLBEG00000024244
seriola_dumerili ENSSDUG00000001706
seriola_lalandi ENSSLDG00000009457
lates_calcarifer ENSLCAG00010024663
larimichthys_crocea ENSLCRG00005012553
cottoperca_gobio ENSCGOG00000003515
anabas_testudineus ENSATEG00000005416
parambassis_ranga ENSPRNG00000001826
hippocampus_comes ENSHCOG00000006711
periophthalmus_magnuspinnatus ENSPMGG00000018433
gadus_morhua ENSGMOG00000006541
hucho_hucho ENSHHUG00000037424
hucho_hucho ENSHHUG00000001821
esox_lucius ENSELUG00000017228
clupea_harengus ENSCHAG00000017973
clupea_harengus ENSCHAG00000000929
denticeps_clupeoides ENSDCDG00000000896
electrophorus_electricus ENSEEEG00000004876
