erinaceus_europaeus ENSEEUG00000013276
sorex_araneus ENSSARG00000007507
oryctolagus_cuniculus ENSOCUG00000014825
ornithorhynchus_anatinus ENSOANG00000029045
ornithorhynchus_anatinus ENSOANG00000031057
tupaia_belangeri ENSTBEG00000004055
echinops_telfairi ENSETEG00000010633
pan_troglodytes ENSPTRG00000033782
pan_paniscus ENSPPAG00000030473
gorilla_gorilla ENSGGOG00000013748
homo_sapiens ENSG00000213186
piliocolobus_tephrosceles ENSPTEG00000020376
rhinopithecus_roxellana ENSRROG00000029602
macaca_mulatta ENSMMUG00000017298
theropithecus_gelada ENSTGEG00000001445
chlorocebus_sabaeus ENSCSAG00000018892
colobus_angolensis_palliatus ENSCANG00000001819
rhinopithecus_roxellana ENSRROG00000044536
macaca_fascicularis ENSMFAG00000045911
macaca_nemestrina ENSMNEG00000021641
cercocebus_atys ENSCATG00000032073
papio_anubis ENSPANG00000007299
mandrillus_leucophaeus ENSMLEG00000032169
nomascus_leucogenys ENSNLEG00000029782
callithrix_jacchus ENSCJAG00000039953
microcebus_murinus ENSMICG00000049309
propithecus_coquereli ENSPCOG00000016825
prolemur_simus ENSPSMG00000009099
cricetulus_griseus_crigri ENSCGRG00000003546
cricetulus_griseus_chok1gshd ENSCGRG00001007406
cricetulus_griseus_crigri-picr ENSCGRG00015023603
mesocricetus_auratus ENSMAUG00000004205
peromyscus_maniculatus_bairdii ENSPEMG00000027017
microtus_ochrogaster ENSMOCG00000019030
microtus_ochrogaster ENSMOCG00000016060
mus_musculus ENSMUSG00000034317
mus_spicilegus ENSMSIG00000024491
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026006
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025064
mus_pahari MGP_PahariEiJ_G0026507
rattus_norvegicus ENSRNOG00000010515
meriones_unguiculatus ENSMUGG00000022446
nannospalax_galili ENSNGAG00000010228
jaculus_jaculus ENSJJAG00000011810
dipodomys_ordii ENSDORG00000002094
chinchilla_lanigera ENSCLAG00000017476
octodon_degus ENSODEG00000005290
cavia_aperea ENSCAPG00000009166
cavia_porcellus ENSCPOG00000006122
heterocephalus_glaber_male ENSHGLG00100011655
heterocephalus_glaber_female ENSHGLG00000012047
fukomys_damarensis ENSFDAG00000007577
urocitellus_parryii ENSUPAG00010009169
ictidomys_tridecemlineatus ENSSTOG00000004970
spermophilus_dauricus ENSSDAG00000012783
marmota_marmota_marmota ENSMMMG00000004153
pteropus_vampyrus ENSPVAG00000015446
myotis_lucifugus ENSMLUG00000026537
equus_asinus_asinus ENSEASG00005019787
equus_caballus ENSECAG00000007762
vicugna_pacos ENSVPAG00000008774
sus_scrofa ENSSSCG00000011732
ovis_aries ENSOARG00000015013
ovis_aries ENSOARG00000016983
capra_hircus ENSCHIG00000013800
bos_taurus ENSBTAG00000008078
bos_mutus ENSBMUG00000023885
bison_bison_bison ENSBBBG00000004283
tursiops_truncatus ENSTTRG00000000078
neovison_vison ENSNVIG00000024088
mustela_putorius_furo ENSMPUG00000018992
ursus_americanus ENSUAMG00000027711
ursus_maritimus ENSUMAG00000011149
ailuropoda_melanoleuca ENSAMEG00000018682
canis_lupus_familiaris ENSCAFG00000030902
canis_lupus_dingo ENSCAFG00020020505
vulpes_vulpes ENSVVUG00000023041
panthera_pardus ENSPPRG00000003467
felis_catus ENSFCAG00000019137
dasypus_novemcinctus ENSDNOG00000025757
loxodonta_africana ENSLAFG00000020531
carlito_syrichta ENSTSYG00000030093
pogona_vitticeps ENSPVIG00000020420
anolis_carolinensis ENSACAG00000007216
notechis_scutatus ENSNSUG00000001049
salvator_merianae ENSSMRG00000000480
sphenodon_punctatus ENSSPUG00000018759
apteryx_haastii ENSAHAG00000015274
apteryx_owenii ENSAOWG00000015443
apteryx_rowi ENSARWG00000015464
dromaius_novaehollandiae ENSDNVG00000009073
nothoprocta_perdicaria ENSNPEG00000002036
gallus_gallus ENSGALG00000023571
coturnix_japonica ENSCJPG00005018080
numida_meleagris ENSNMEG00000014017
anser_brachyrhynchus ENSABRG00000004931
anas_platyrhynchos_platyrhynchos ENSAPLG00000001715
calidris_pugnax ENSCPUG00000015793
