fundulus_heteroclitus ENSFHEG00000012932
cyprinodon_variegatus ENSCVAG00000021631
poecilia_formosa ENSPFOG00000003298
poecilia_mexicana ENSPMEG00000005467
poecilia_latipinna ENSPLAG00000023394
poecilia_reticulata ENSPREG00000015244
xiphophorus_couchianus ENSXCOG00000020732
xiphophorus_maculatus ENSXMAG00000001158
kryptolebias_marmoratus ENSKMAG00000011646
oryzias_latipes ENSORLG00000023437
oryzias_latipes_asm223469v1 ENSORLG00015014869
oryzias_latipes ENSORLG00020009009
cynoglossus_semilaevis ENSCSEG00000000608
seriola_dumerili ENSSDUG00000014714
seriola_lalandi_dorsalis ENSSLDG00000001995
scophthalmus_maximus ENSSMAG00000018338
mastacembelus_armatus ENSMAMG00000018470
monopterus_albus ENSMALG00000005335
anabas_testudineus ENSATEG00000019853
astatotilapia_calliptera ENSACLG00000015374
maylandia_zebra ENSMZEG00005016980
haplochromis_burtoni ENSHBUG00000009234
pundamilia_nyererei ENSPNYG00000014820
oreochromis_niloticus ENSONIG00000001556
neolamprologus_brichardi ENSNBRG00000007365
amphilophus_citrinellus ENSACIG00000003929
acanthochromis_polyacanthus ENSAPOG00000011610
amphiprion_percula ENSAPEG00000013203
labrus_bergylta ENSLBEG00000012618
gasterosteus_aculeatus ENSGACG00000000950
periophthalmus_magnuspinnatus ENSPMGG00000007955
esox_lucius ENSELUG00000009470
paramormyrops_kingsleyae ENSPKIG00000001738
scleropages_formosus ENSSFOG00015011459
astyanax_mexicanus ENSAMXG00000015593
pygocentrus_nattereri ENSPNAG00000004715
ictalurus_punctatus ENSIPUG00000020757
danio_rerio ENSDARG00000070092
cyanistes_caeruleus ENSCCEG00000002662
parus_major ENSPMJG00000010913
ficedula_albicollis ENSFALG00000002264
taeniopygia_guttata ENSTGUG00000012266
lonchura_striata_domestica ENSLSDG00000004463
serinus_canaria ENSSCAG00000006354
junco_hyemalis ENSJHYG00000008219
zonotrichia_albicollis ENSZALG00000014137
lepidothrix_coronata ENSLCOG00000008372
manacus_vitellinus ENSMVIG00005014175
melopsittacus_undulatus ENSMUNG00000004781
calidris_pygmaea ENSCPGG00000018285
calidris_pugnax ENSCPUG00000007175
anser_brachyrhynchus ENSABRG00000014257
anas_platyrhynchos_platyrhynchos ENSAPLG00000002909
gallus_gallus ENSGALG00000031449
meleagris_gallopavo ENSMGAG00000012434
coturnix_japonica ENSCJPG00005005180
numida_meleagris ENSNMEG00000004792
apteryx_owenii ENSAOWG00000005449
apteryx_haastii ENSAHAG00000005497
apteryx_rowi ENSARWG00000004085
dromaius_novaehollandiae ENSDNVG00000004814
nothoprocta_perdicaria ENSNPEG00000006182
crocodylus_porosus ENSCPRG00005007154
chrysemys_picta_bellii ENSCPBG00000000962
chrysemys_picta_bellii ENSCPBG00000000982
gopherus_agassizii ENSGAGG00000004357
chelonoidis_abingdonii ENSCABG00000021093
pelodiscus_sinensis ENSPSIG00000006902
anolis_carolinensis ENSACAG00000002558
pogona_vitticeps ENSPVIG00000007147
notechis_scutatus ENSNSUG00000012302
salvator_merianae ENSSMRG00000021409
sphenodon_punctatus ENSSPUG00000012413
phascolarctos_cinereus ENSPCIG00000025278
notamacropus_eugenii ENSMEUG00000006287
sarcophilus_harrisii ENSSHAG00000010651
monodelphis_domestica ENSMODG00000004720
capra_hircus ENSCHIG00000023606
ovis_aries ENSOARG00000011921
bos_taurus ENSBTAG00000008512
bos_mutus ENSBMUG00000006102
bison_bison_bison ENSBBBG00000009111
tursiops_truncatus ENSTTRG00000014552
vicugna_pacos ENSVPAG00000008659
sus_scrofa ENSSSCG00000006021
equus_caballus ENSECAG00000019378
equus_asinus_asinus ENSEASG00005023180
pteropus_vampyrus ENSPVAG00000003323
myotis_lucifugus ENSMLUG00000003316
ursus_americanus ENSUAMG00000028012
ursus_maritimus ENSUMAG00000020300
ailuropoda_melanoleuca ENSAMEG00000004154
neovison_vison ENSNVIG00000002553
mustela_putorius_furo ENSMPUG00000005698
canis_lupus_dingo ENSCAFG00020003748
canis_lupus_familiaris ENSCAFG00000000744
vulpes_vulpes ENSVVUG00000014137
panthera_tigris_altaica ENSPTIG00000017407
panthera_pardus ENSPPRG00000006232
felis_catus ENSFCAG00000024822
castor_canadensis ENSCCNG00000020592
dipodomys_ordii ENSDORG00000016146
peromyscus_maniculatus_bairdii ENSPEMG00000024335
microtus_ochrogaster ENSMOCG00000017652
cricetulus_griseus_crigri-picr ENSCGRG00015026644
cricetulus_griseus_chok1gshd ENSCGRG00001000144
mesocricetus_auratus ENSMAUG00000008386
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020674
mus_spicilegus ENSMSIG00000030687
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019777
mus_musculus ENSMUSG00000022342
mus_pahari MGP_PahariEiJ_G0019786
rattus_norvegicus ENSRNOG00000004117
meriones_unguiculatus ENSMUGG00000005593
nannospalax_galili ENSNGAG00000022360
jaculus_jaculus ENSJJAG00000017352
chinchilla_lanigera ENSCLAG00000010374
octodon_degus ENSODEG00000003637
cavia_porcellus ENSCPOG00000005491
cavia_aperea ENSCAPG00000009830
heterocephalus_glaber_male ENSHGLG00100005686
heterocephalus_glaber_female ENSHGLG00000006248
fukomys_damarensis ENSFDAG00000019050
urocitellus_parryii ENSUPAG00010014000
ictidomys_tridecemlineatus ENSSTOG00000020827
spermophilus_dauricus ENSSDAG00000009995
marmota_marmota_marmota ENSMMMG00000017196
oryctolagus_cuniculus ENSOCUG00000017285
ochotona_princeps ENSOPRG00000000733
homo_sapiens ENSG00000164794
gorilla_gorilla ENSGGOG00000008470
pan_paniscus ENSPPAG00000041267
pan_troglodytes ENSPTRG00000020515
pongo_abelii ENSPPYG00000018827
nomascus_leucogenys ENSNLEG00000004533
macaca_fascicularis ENSMFAG00000037130
macaca_mulatta ENSMMUG00000018706
macaca_nemestrina ENSMNEG00000028762
mandrillus_leucophaeus ENSMLEG00000039742
papio_anubis ENSPANG00000025621
cercocebus_atys ENSCATG00000032152
theropithecus_gelada ENSTGEG00000006276
chlorocebus_sabaeus ENSCSAG00000011260
colobus_angolensis_palliatus ENSCANG00000014385
piliocolobus_tephrosceles ENSPTEG00000035395
rhinopithecus_bieti ENSRBIG00000028727
rhinopithecus_roxellana ENSRROG00000034603
cebus_capucinus ENSCCAG00000023424
saimiri_boliviensis_boliviensis ENSSBOG00000021268
callithrix_jacchus ENSCJAG00000006183
aotus_nancymaae ENSANAG00000032855
carlito_syrichta ENSTSYG00000004876
prolemur_simus ENSPSMG00000012520
microcebus_murinus ENSMICG00000044286
propithecus_coquereli ENSPCOG00000003608
otolemur_garnettii ENSOGAG00000026819
loxodonta_africana ENSLAFG00000009264
procavia_capensis ENSPCAG00000011971
echinops_telfairi ENSETEG00000008965
choloepus_hoffmanni ENSCHOG00000002486
dasypus_novemcinctus ENSDNOG00000003733
erinaceus_europaeus ENSEEUG00000013422
ornithorhynchus_anatinus ENSOANG00000008841
xenopus_tropicalis ENSXETG00000007921
latimeria_chalumnae ENSLACG00000007002
lepisosteus_oculatus ENSLOCG00000005940
gadus_morhua ENSGMOG00000006454
petromyzon_marinus ENSPMAG00000006298
