poecilia_latipinna ENSPLAG00000005780
poecilia_formosa ENSPFOG00000023827
poecilia_reticulata ENSPREG00000000402
gambusia_affinis ENSGAFG00000010239
xiphophorus_maculatus ENSXMAG00000027706
kryptolebias_marmoratus ENSKMAG00000001333
poecilia_mexicana ENSPMEG00000015534
poecilia_mexicana ENSPMEG00000015505
xiphophorus_couchianus ENSXCOG00000014501
oryzias_melastigma ENSOMEG00000013834
amphiprion_percula ENSAPEG00000012617
amphiprion_ocellaris ENSAOCG00000010799
acanthochromis_polyacanthus ENSAPOG00000007739
seriola_dumerili ENSSDUG00000003075
seriola_lalandi_dorsalis ENSSLDG00000025199
anabas_testudineus ENSATEG00000018623
mola_mola ENSMMOG00000021408
oryzias_melastigma ENSOMEG00000003536
oryzias_latipes_asm223469v1 ENSORLG00015008578
pundamilia_nyererei ENSPNYG00000007749
gambusia_affinis ENSGAFG00000009404
labrus_bergylta ENSLBEG00000006357
esox_lucius ENSELUG00000000683
paramormyrops_kingsleyae ENSPKIG00000016293
paramormyrops_kingsleyae ENSPKIG00000015982
