octodon_degus ENSODEG00000007203
chinchilla_lanigera ENSCLAG00000011700
cavia_porcellus ENSCPOG00000014918
cavia_aperea ENSCAPG00000008058
heterocephalus_glaber_female ENSHGLG00000005647
heterocephalus_glaber_male ENSHGLG00100014057
fukomys_damarensis ENSFDAG00000017104
urocitellus_parryii ENSUPAG00010015834
spermophilus_dauricus ENSSDAG00000005661
ictidomys_tridecemlineatus ENSSTOG00000015974
marmota_marmota_marmota ENSMMMG00000013586
castor_canadensis ENSCCNG00000020344
dipodomys_ordii ENSDORG00000012951
peromyscus_maniculatus_bairdii ENSPEMG00000018505
microtus_ochrogaster ENSMOCG00000007191
cricetulus_griseus_chok1gshd ENSCGRG00001019707
cricetulus_griseus_crigri-picr ENSCGRG00015028311
cricetulus_griseus_crigri ENSCGRG00000009996
mesocricetus_auratus ENSMAUG00000012602
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016755
mus_spicilegus ENSMSIG00000007997
mus_musculus ENSMUSG00000005682
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015930
mus_pahari MGP_PahariEiJ_G0031154
rattus_norvegicus ENSRNOG00000032441
meriones_unguiculatus ENSMUGG00000022994
nannospalax_galili ENSNGAG00000007930
jaculus_jaculus ENSJJAG00000013044
dipodomys_ordii ENSDORG00000023999
tupaia_belangeri ENSTBEG00000002269
pan_paniscus ENSPPAG00000001208
pan_troglodytes ENSPTRG00000052054
homo_sapiens ENSG00000135473
gorilla_gorilla ENSGGOG00000009115
pongo_abelii ENSPPYG00000004656
nomascus_leucogenys ENSNLEG00000017499
piliocolobus_tephrosceles ENSPTEG00000032178
colobus_angolensis_palliatus ENSCANG00000017798
rhinopithecus_roxellana ENSRROG00000041950
rhinopithecus_bieti ENSRBIG00000029591
papio_anubis ENSPANG00000018906
chlorocebus_sabaeus ENSCSAG00000005173
theropithecus_gelada ENSTGEG00000013947
macaca_fascicularis ENSMFAG00000002293
macaca_mulatta ENSMMUG00000013482
macaca_nemestrina ENSMNEG00000033264
mandrillus_leucophaeus ENSMLEG00000037388
cercocebus_atys ENSCATG00000045076
