notamacropus_eugenii ENSMEUG00000003146
phascolarctos_cinereus ENSPCIG00000015200
sarcophilus_harrisii ENSSHAG00000008741
monodelphis_domestica ENSMODG00000028532
castor_canadensis ENSCCNG00000029744
dipodomys_ordii ENSDORG00000013371
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026060
mus_musculus ENSMUSG00000056498
mus_spicilegus ENSMSIG00000020217
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025118
mus_pahari MGP_PahariEiJ_G0026561
rattus_norvegicus ENSRNOG00000010866
meriones_unguiculatus ENSMUGG00000021021
cricetulus_griseus_crigri-picr ENSCGRG00015024508
cricetulus_griseus_chok1gshd ENSCGRG00001020221
mesocricetus_auratus ENSMAUG00000006646
microtus_ochrogaster ENSMOCG00000014987
peromyscus_maniculatus_bairdii ENSPEMG00000027778
nannospalax_galili ENSNGAG00000021478
jaculus_jaculus ENSJJAG00000022208
cavia_aperea ENSCAPG00000012936
cavia_porcellus ENSCPOG00000009024
octodon_degus ENSODEG00000003532
heterocephalus_glaber_male ENSHGLG00100004125
heterocephalus_glaber_female ENSHGLG00000000936
fukomys_damarensis ENSFDAG00000010898
chinchilla_lanigera ENSCLAG00000004220
ictidomys_tridecemlineatus ENSSTOG00000030085
spermophilus_dauricus ENSSDAG00000022628
urocitellus_parryii ENSUPAG00010018356
oryctolagus_cuniculus ENSOCUG00000029467
ochotona_princeps ENSOPRG00000007777
tupaia_belangeri ENSTBEG00000013746
homo_sapiens ENSG00000170006
pan_paniscus ENSPPAG00000036040
gorilla_gorilla ENSGGOG00000024800
pongo_abelii ENSPPYG00000015124
nomascus_leucogenys ENSNLEG00000032380
colobus_angolensis_palliatus ENSCANG00000038779
piliocolobus_tephrosceles ENSPTEG00000004466
rhinopithecus_bieti ENSRBIG00000039822
rhinopithecus_roxellana ENSRROG00000045444
macaca_mulatta ENSMMUG00000039094
macaca_nemestrina ENSMNEG00000043952
macaca_fascicularis ENSMFAG00000003415
mandrillus_leucophaeus ENSMLEG00000042299
chlorocebus_sabaeus ENSCSAG00000003309
cercocebus_atys ENSCATG00000034714
papio_anubis ENSPANG00000016249
theropithecus_gelada ENSTGEG00000015048
saimiri_boliviensis_boliviensis ENSSBOG00000020640
callithrix_jacchus ENSCJAG00000043561
cebus_capucinus ENSCCAG00000036071
aotus_nancymaae ENSANAG00000034998
carlito_syrichta ENSTSYG00000001921
propithecus_coquereli ENSPCOG00000003473
microcebus_murinus ENSMICG00000012190
prolemur_simus ENSPSMG00000021541
otolemur_garnettii ENSOGAG00000013516
procavia_capensis ENSPCAG00000016838
echinops_telfairi ENSETEG00000002007
choloepus_hoffmanni ENSCHOG00000012794
mustela_putorius_furo ENSMPUG00000007425
neovison_vison ENSNVIG00000008959
ursus_americanus ENSUAMG00000001360
ursus_maritimus ENSUMAG00000016214
ailuropoda_melanoleuca ENSAMEG00000018439
canis_lupus_familiaris ENSCAFG00000008164
vulpes_vulpes ENSVVUG00000025062
panthera_tigris_altaica ENSPTIG00000011311
panthera_pardus ENSPPRG00000009481
felis_catus ENSFCAG00000035945
equus_caballus ENSECAG00000022568
equus_asinus_asinus ENSEASG00005015856
pteropus_vampyrus ENSPVAG00000013543
sus_scrofa ENSSSCG00000009012
tursiops_truncatus ENSTTRG00000006719
capra_hircus ENSCHIG00000026757
ovis_aries ENSOARG00000003733
bos_mutus ENSBMUG00000019762
bos_taurus ENSBTAG00000048983
bison_bison_bison ENSBBBG00000014446
vicugna_pacos ENSVPAG00000007926
sorex_araneus ENSSARG00000006131
erinaceus_europaeus ENSEEUG00000001528
dasypus_novemcinctus ENSDNOG00000030901
loxodonta_africana ENSLAFG00000000854
salvator_merianae ENSSMRG00000001154
sphenodon_punctatus ENSSPUG00000014538
chrysemys_picta_bellii ENSCPBG00000025796
gopherus_agassizii ENSGAGG00000007801
crocodylus_porosus ENSCPRG00005009094
calidris_pygmaea ENSCPGG00000003354
calidris_pugnax ENSCPUG00000009288
melopsittacus_undulatus ENSMUNG00000010745
zonotrichia_albicollis ENSZALG00000007931
junco_hyemalis ENSJHYG00000001069
serinus_canaria ENSSCAG00000011992
parus_major ENSPMJG00000010636
cyanistes_caeruleus ENSCCEG00000012440
ficedula_albicollis ENSFALG00000013063
manacus_vitellinus ENSMVIG00005014629
taeniopygia_guttata ENSTGUG00000005040
lonchura_striata_domestica ENSLSDG00000007971
lepidothrix_coronata ENSLCOG00000004651
anas_platyrhynchos_platyrhynchos ENSAPLG00000000862
anser_brachyrhynchus ENSABRG00000014384
gallus_gallus ENSGALG00000023355
coturnix_japonica ENSCJPG00005005863
meleagris_gallopavo ENSMGAG00000004310
numida_meleagris ENSNMEG00000012035
apteryx_owenii ENSAOWG00000010963
apteryx_rowi ENSARWG00000007213
apteryx_haastii ENSAHAG00000019629
dromaius_novaehollandiae ENSDNVG00000016054
