denticeps_clupeoides ENSDCDG00000005697
clupea_harengus ENSCHAG00000007673
ictalurus_punctatus ENSIPUG00000021667
electrophorus_electricus ENSEEEG00000019908
astyanax_mexicanus ENSAMXG00000008241
astyanax_mexicanus ENSAMXG00005023192
pygocentrus_nattereri ENSPNAG00000020370
danio_rerio ENSDARG00000004270
hucho_hucho ENSHHUG00000029370
hucho_hucho ENSHHUG00000030455
esox_lucius ENSELUG00000002734
larimichthys_crocea ENSLCRG00005019222
mola_mola ENSMMOG00000002574
cottoperca_gobio ENSCGOG00000008204
gasterosteus_aculeatus ENSGACG00000017040
labrus_bergylta ENSLBEG00000007329
mastacembelus_armatus ENSMAMG00000021084
monopterus_albus ENSMALG00000011181
anabas_testudineus ENSATEG00000015015
betta_splendens ENSBSLG00000009923
scophthalmus_maximus ENSSMAG00000016636
cynoglossus_semilaevis ENSCSEG00000004719
lates_calcarifer ENSLCAG00010019879
seriola_dumerili ENSSDUG00000018122
seriola_lalandi ENSSLDG00000017007
amphiprion_ocellaris ENSAOCG00000007497
amphiprion_percula ENSAPEG00000008907
acanthochromis_polyacanthus ENSAPOG00000005441
stegastes_partitus ENSSPAG00000006757
parambassis_ranga ENSPRNG00000013278
cyprinodon_variegatus ENSCVAG00000018436
fundulus_heteroclitus ENSFHEG00000015313
xiphophorus_maculatus ENSXMAG00000013131
xiphophorus_couchianus ENSXCOG00000015704
poecilia_formosa ENSPFOG00000008872
poecilia_latipinna ENSPLAG00000009364
poecilia_mexicana ENSPMEG00000009319
poecilia_reticulata ENSPREG00000008772
gambusia_affinis ENSGAFG00000019847
kryptolebias_marmoratus ENSKMAG00000003385
oryzias_latipes ENSORLG00015009457
oryzias_latipes ENSORLG00020019947
oryzias_latipes ENSORLG00000002092
oryzias_melastigma ENSOMEG00000017826
maylandia_zebra ENSMZEG00005005320
astatotilapia_calliptera ENSACLG00000018407
haplochromis_burtoni ENSHBUG00000013346
pundamilia_nyererei ENSPNYG00000013933
oreochromis_niloticus ENSONIG00000005453
neolamprologus_brichardi ENSNBRG00000023257
amphilophus_citrinellus ENSACIG00000010253
gouania_willdenowi ENSGWIG00000009008
takifugu_rubripes ENSTRUG00000012254
tetraodon_nigroviridis ENSTNIG00000016819
periophthalmus_magnuspinnatus ENSPMGG00000017579
hippocampus_comes ENSHCOG00000003789
gadus_morhua ENSGMOG00000003308
paramormyrops_kingsleyae ENSPKIG00000024694
scleropages_formosus ENSSFOG00015008871
