mustela_putorius_furo ENSMPUG00000018617
neovison_vison ENSNVIG00000006091
ursus_maritimus ENSUMAG00000020910
ursus_americanus ENSUAMG00000016390
canis_lupus_familiaris ENSCAFG00000010932
panthera_tigris_altaica ENSPTIG00000001945
panthera_pardus ENSPPRG00000015292
felis_catus ENSFCAG00000005970
pteropus_vampyrus ENSPVAG00000017601
myotis_lucifugus ENSMLUG00000002471
equus_caballus ENSECAG00000028410
equus_asinus_asinus ENSEASG00005005187
erinaceus_europaeus ENSEEUG00000011603
ovis_aries ENSOARG00000020077
capra_hircus ENSCHIG00000010554
bison_bison_bison ENSBBBG00000025458
bos_taurus ENSBTAG00000011671
bos_mutus ENSBMUG00000000627
sus_scrofa ENSSSCG00000033398
cavia_porcellus ENSCPOG00000007747
cavia_aperea ENSCAPG00000011688
fukomys_damarensis ENSFDAG00000018565
castor_canadensis ENSCCNG00000022771
microtus_ochrogaster ENSMOCG00000005143
peromyscus_maniculatus_bairdii ENSPEMG00000009339
cricetulus_griseus_chok1gshd ENSCGRG00001008610
cricetulus_griseus_crigri-picr ENSCGRG00015007294
cricetulus_griseus_crigri ENSCGRG00000019803
mesocricetus_auratus ENSMAUG00000018283
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019196
mus_spicilegus ENSMSIG00000002560
mus_musculus ENSMUSG00000036211
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018328
mus_pahari MGP_PahariEiJ_G0019391
rattus_norvegicus ENSRNOG00000061863
nannospalax_galili ENSNGAG00000010517
urocitellus_parryii ENSUPAG00010005899
spermophilus_dauricus ENSSDAG00000011521
ictidomys_tridecemlineatus ENSSTOG00000024164
marmota_marmota_marmota ENSMMMG00000001853
oryctolagus_cuniculus ENSOCUG00000014438
otolemur_garnettii ENSOGAG00000007995
prolemur_simus ENSPSMG00000004979
pan_paniscus ENSPPAG00000020709
pan_troglodytes ENSPTRG00000017807
homo_sapiens ENSG00000187475
pongo_abelii ENSPPYG00000016307
theropithecus_gelada ENSTGEG00000021993
chlorocebus_sabaeus ENSCSAG00000019095
rhinopithecus_roxellana ENSRROG00000039804
piliocolobus_tephrosceles ENSPTEG00000000540
callithrix_jacchus ENSCJAG00000047743
loxodonta_africana ENSLAFG00000000435
procavia_capensis ENSPCAG00000008393
