ornithorhynchus_anatinus ENSOANG00000005472
notechis_scutatus ENSNSUG00000001232
xenopus_tropicalis ENSXETG00000017982
pogona_vitticeps ENSPVIG00000007211
salvator_merianae ENSSMRG00000017830
sphenodon_punctatus ENSSPUG00000009382
chelonoidis_abingdonii ENSCABG00000010656
gopherus_agassizii ENSGAGG00000010212
chrysemys_picta_bellii ENSCPBG00000024572
pelodiscus_sinensis ENSPSIG00000012279
crocodylus_porosus ENSCPRG00005018837
lepidothrix_coronata ENSLCOG00000006917
manacus_vitellinus ENSMVIG00005015848
serinus_canaria ENSSCAG00000010005
zonotrichia_albicollis ENSZALG00000005983
cyanistes_caeruleus ENSCCEG00000006280
parus_major ENSPMJG00000017397
taeniopygia_guttata ENSTGUG00000010958
lonchura_striata_domestica ENSLSDG00000001547
ficedula_albicollis ENSFALG00000000197
calidris_pygmaea ENSCPGG00000015737
calidris_pugnax ENSCPUG00000008818
anser_brachyrhynchus ENSABRG00000015005
coturnix_japonica ENSCJPG00005006905
meleagris_gallopavo ENSMGAG00000013206
gallus_gallus ENSGALG00000015995
numida_meleagris ENSNMEG00000005143
apteryx_haastii ENSAHAG00000006291
apteryx_owenii ENSAOWG00000004630
apteryx_rowi ENSARWG00000018265
dromaius_novaehollandiae ENSDNVG00000016158
nothoprocta_perdicaria ENSNPEG00000006968
melopsittacus_undulatus ENSMUNG00000003990
junco_hyemalis ENSJHYG00000004435
latimeria_chalumnae ENSLACG00000008736
monodelphis_domestica ENSMODG00000005400
sarcophilus_harrisii ENSSHAG00000002546
phascolarctos_cinereus ENSPCIG00000000563
notamacropus_eugenii ENSMEUG00000012526
notechis_scutatus ENSNSUG00000005763
notechis_scutatus ENSNSUG00000005764
notechis_scutatus ENSNSUG00000005757
notechis_scutatus ENSNSUG00000005756
anas_platyrhynchos_platyrhynchos ENSAPLG00000026904
junco_hyemalis ENSJHYG00000004508
dipodomys_ordii ENSDORG00000012895
castor_canadensis ENSCCNG00000020917
cricetulus_griseus_crigri ENSCGRG00000003450
cricetulus_griseus_crigri-picr ENSCGRG00015013360
cricetulus_griseus_chok1gshd ENSCGRG00001014995
mesocricetus_auratus ENSMAUG00000022109
microtus_ochrogaster ENSMOCG00000013827
peromyscus_maniculatus_bairdii ENSPEMG00000001508
mus_spicilegus ENSMSIG00000013175
mus_musculus ENSMUSG00000027303
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025224
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024304
mus_pahari MGP_PahariEiJ_G0025749
rattus_norvegicus ENSRNOG00000021223
meriones_unguiculatus ENSMUGG00000008020
nannospalax_galili ENSNGAG00000015467
jaculus_jaculus ENSJJAG00000015717
spermophilus_dauricus ENSSDAG00000001659
marmota_marmota_marmota ENSMMMG00000023904
ictidomys_tridecemlineatus ENSSTOG00000023551
urocitellus_parryii ENSUPAG00010023388
chinchilla_lanigera ENSCLAG00000014599
octodon_degus ENSODEG00000005651
cavia_porcellus ENSCPOG00000020873
cavia_aperea ENSCAPG00000011594
heterocephalus_glaber_male ENSHGLG00100007130
heterocephalus_glaber_female ENSHGLG00000013139
fukomys_damarensis ENSFDAG00000008883
homo_sapiens ENSG00000132670
gorilla_gorilla ENSGGOG00000005074
pan_paniscus ENSPPAG00000027097
pan_troglodytes ENSPTRG00000033879
pongo_abelii ENSPPYG00000010831
nomascus_leucogenys ENSNLEG00000007558
macaca_fascicularis ENSMFAG00000033743
macaca_nemestrina ENSMNEG00000030257
macaca_mulatta ENSMMUG00000005878
theropithecus_gelada ENSTGEG00000011890
mandrillus_leucophaeus ENSMLEG00000033229
cercocebus_atys ENSCATG00000013660
papio_anubis ENSPANG00000018667
chlorocebus_sabaeus ENSCSAG00000013344
rhinopithecus_bieti ENSRBIG00000025787
piliocolobus_tephrosceles ENSPTEG00000032224
rhinopithecus_roxellana ENSRROG00000038365
colobus_angolensis_palliatus ENSCANG00000033651
cebus_capucinus ENSCCAG00000023189
saimiri_boliviensis_boliviensis ENSSBOG00000016941
callithrix_jacchus ENSCJAG00000021075
aotus_nancymaae ENSANAG00000037685
carlito_syrichta ENSTSYG00000014269
propithecus_coquereli ENSPCOG00000026502
prolemur_simus ENSPSMG00000017772
microcebus_murinus ENSMICG00000029145
otolemur_garnettii ENSOGAG00000031085
oryctolagus_cuniculus ENSOCUG00000021376
ochotona_princeps ENSOPRG00000018434
dasypus_novemcinctus ENSDNOG00000025457
