manacus_vitellinus ENSMVIG00005011861
lepidothrix_coronata ENSLCOG00000015891
parus_major ENSPMJG00000001732
cyanistes_caeruleus ENSCCEG00000001756
junco_hyemalis ENSJHYG00000016936
zonotrichia_albicollis ENSZALG00000008096
ficedula_albicollis ENSFALG00000007697
taeniopygia_guttata ENSTGUG00000012966
serinus_canaria ENSSCAG00000002460
calidris_pugnax ENSCPUG00000019388
gallus_gallus ENSGALG00000013247
meleagris_gallopavo ENSMGAG00000015238
coturnix_japonica ENSCJPG00005004381
numida_meleagris ENSNMEG00000019764
anas_platyrhynchos_platyrhynchos ENSAPLG00000012173
apteryx_haastii ENSAHAG00000001361
dromaius_novaehollandiae ENSDNVG00000006013
crocodylus_porosus ENSCPRG00005016129
gopherus_agassizii ENSGAGG00000019936
chelonoidis_abingdonii ENSCABG00000016700
chrysemys_picta_bellii ENSCPBG00000006650
pelodiscus_sinensis ENSPSIG00000007052
pogona_vitticeps ENSPVIG00000014793
anolis_carolinensis ENSACAG00000002001
salvator_merianae ENSSMRG00000009455
phascolarctos_cinereus ENSPCIG00000018849
notamacropus_eugenii ENSMEUG00000004445
sarcophilus_harrisii ENSSHAG00000006672
monodelphis_domestica ENSMODG00000004311
ursus_maritimus ENSUMAG00000023895
ursus_americanus ENSUAMG00000014783
ailuropoda_melanoleuca ENSAMEG00000008762
neovison_vison ENSNVIG00000003123
mustela_putorius_furo ENSMPUG00000009994
canis_lupus_familiaris ENSCAFG00000004494
canis_lupus_dingo ENSCAFG00020017748
vulpes_vulpes ENSVVUG00000017603
panthera_tigris_altaica ENSPTIG00000012014
panthera_pardus ENSPPRG00000018265
felis_catus ENSFCAG00000030354
vicugna_pacos ENSVPAG00000001720
pteropus_vampyrus ENSPVAG00000005724
myotis_lucifugus ENSMLUG00000005923
equus_caballus ENSECAG00000023925
equus_asinus_asinus ENSEASG00005012690
sorex_araneus ENSSARG00000010815
erinaceus_europaeus ENSEEUG00000013793
pan_paniscus ENSPPAG00000018209
pan_troglodytes ENSPTRG00000004139
homo_sapiens ENSG00000150676
gorilla_gorilla ENSGGOG00000002315
pongo_abelii ENSPPYG00000003743
nomascus_leucogenys ENSNLEG00000016302
cercocebus_atys ENSCATG00000006895
mandrillus_leucophaeus ENSMLEG00000041777
macaca_fascicularis ENSMFAG00000002840
macaca_mulatta ENSMMUG00000019617
macaca_nemestrina ENSMNEG00000042390
papio_anubis ENSPANG00000019126
theropithecus_gelada ENSTGEG00000006764
chlorocebus_sabaeus ENSCSAG00000003666
colobus_angolensis_palliatus ENSCANG00000035088
piliocolobus_tephrosceles ENSPTEG00000031814
rhinopithecus_bieti ENSRBIG00000041473
rhinopithecus_roxellana ENSRROG00000029691
cebus_capucinus ENSCCAG00000036956
saimiri_boliviensis_boliviensis ENSSBOG00000024146
callithrix_jacchus ENSCJAG00000014339
aotus_nancymaae ENSANAG00000032623
carlito_syrichta ENSTSYG00000008696
propithecus_coquereli ENSPCOG00000008593
prolemur_simus ENSPSMG00000007641
microcebus_murinus ENSMICG00000017254
otolemur_garnettii ENSOGAG00000013946
urocitellus_parryii ENSUPAG00010016945
spermophilus_dauricus ENSSDAG00000012188
ictidomys_tridecemlineatus ENSSTOG00000008671
marmota_marmota_marmota ENSMMMG00000005426
dipodomys_ordii ENSDORG00000006094
heterocephalus_glaber_male ENSHGLG00100006019
heterocephalus_glaber_female ENSHGLG00000002166
fukomys_damarensis ENSFDAG00000003203
chinchilla_lanigera ENSCLAG00000013107
octodon_degus ENSODEG00000004398
cavia_porcellus ENSCPOG00000015279
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031092
mus_musculus ENSMUSG00000030617
mus_spicilegus ENSMSIG00000004142
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029982
mus_pahari MGP_PahariEiJ_G0013202
rattus_norvegicus ENSRNOG00000052220
meriones_unguiculatus ENSMUGG00000002580
cricetulus_griseus_crigri ENSCGRG00000009660
cricetulus_griseus_chok1gshd ENSCGRG00001016931
cricetulus_griseus_crigri-picr ENSCGRG00015009044
mesocricetus_auratus ENSMAUG00000008122
nannospalax_galili ENSNGAG00000002487
jaculus_jaculus ENSJJAG00000017603
oryctolagus_cuniculus ENSOCUG00000009770
ochotona_princeps ENSOPRG00000015566
tupaia_belangeri ENSTBEG00000008968
bos_taurus ENSBTAG00000011132
bos_mutus ENSBMUG00000019367
bison_bison_bison ENSBBBG00000005453
ovis_aries ENSOARG00000004699
capra_hircus ENSCHIG00000013675
tursiops_truncatus ENSTTRG00000012015
sus_scrofa ENSSSCG00000014912
loxodonta_africana ENSLAFG00000000753
procavia_capensis ENSPCAG00000012473
echinops_telfairi ENSETEG00000015629
choloepus_hoffmanni ENSCHOG00000000195
dasypus_novemcinctus ENSDNOG00000031571
ornithorhynchus_anatinus ENSOANG00000013206
xenopus_tropicalis ENSXETG00000010700
latimeria_chalumnae ENSLACG00000022643
pygocentrus_nattereri ENSPNAG00000019038
astyanax_mexicanus ENSAMXG00000003279
ictalurus_punctatus ENSIPUG00000007181
danio_rerio ENSDARG00000077179
esox_lucius ENSELUG00000020685
scleropages_formosus ENSSFOG00015012189
lepisosteus_oculatus ENSLOCG00000005301
ciona_intestinalis ENSCING00000007823
ciona_savignyi ENSCSAVG00000002488
