cebus_capucinus ENSCCAG00000031159
aotus_nancymaae ENSANAG00000032679
macaca_fascicularis ENSMFAG00000037843
macaca_nemestrina ENSMNEG00000043448
rhinopithecus_bieti ENSRBIG00000041257
peromyscus_maniculatus_bairdii ENSPEMG00000000652
echinops_telfairi ENSETEG00000012725
notamacropus_eugenii ENSMEUG00000007037
sarcophilus_harrisii ENSSHAG00000008066
ornithorhynchus_anatinus ENSOANG00000009183
cercocebus_atys ENSCATG00000039903
anolis_carolinensis ENSACAG00000025900
salvator_merianae ENSSMRG00000022680
chelonoidis_abingdonii ENSCABG00000018138
pelodiscus_sinensis ENSPSIG00000007167
monodelphis_domestica ENSMODG00000025240
phascolarctos_cinereus ENSPCIG00000035552
junco_hyemalis ENSJHYG00000014455
calidris_pygmaea ENSCPGG00000017489
ornithorhynchus_anatinus ENSOANG00000007581
cynoglossus_semilaevis ENSCSEG00000009792
gambusia_affinis ENSGAFG00000015926
scleropages_formosus ENSSFOG00015010228
