notamacropus_eugenii ENSMEUG00000002178
phascolarctos_cinereus ENSPCIG00000020114
sarcophilus_harrisii ENSSHAG00000015230
monodelphis_domestica ENSMODG00000019888
urocitellus_parryii ENSUPAG00010010194
ictidomys_tridecemlineatus ENSSTOG00000012697
spermophilus_dauricus ENSSDAG00000001326
marmota_marmota_marmota ENSMMMG00000013137
chinchilla_lanigera ENSCLAG00000013609
octodon_degus ENSODEG00000016017
cavia_aperea ENSCAPG00000006525
cavia_porcellus ENSCPOG00000010073
heterocephalus_glaber_female ENSHGLG00000006536
heterocephalus_glaber_male ENSHGLG00100018324
fukomys_damarensis ENSFDAG00000007548
peromyscus_maniculatus_bairdii ENSPEMG00000019031
microtus_ochrogaster ENSMOCG00000012802
cricetulus_griseus_crigri ENSCGRG00000017318
cricetulus_griseus_chok1gshd ENSCGRG00001011598
cricetulus_griseus_crigri-picr ENSCGRG00015014345
mesocricetus_auratus ENSMAUG00000003224
mus_musculus ENSMUSG00000027230
mus_spicilegus ENSMSIG00000019325
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024884
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023974
mus_pahari MGP_PahariEiJ_G0025411
rattus_norvegicus ENSRNOG00000005413
meriones_unguiculatus ENSMUGG00000000556
nannospalax_galili ENSNGAG00000000311
jaculus_jaculus ENSJJAG00000014152
castor_canadensis ENSCCNG00000006329
dipodomys_ordii ENSDORG00000023541
ochotona_princeps ENSOPRG00000009339
pan_paniscus ENSPPAG00000029634
pan_troglodytes ENSPTRG00000003543
homo_sapiens ENSG00000157613
gorilla_gorilla ENSGGOG00000015181
pongo_abelii ENSPPYG00000003324
mandrillus_leucophaeus ENSMLEG00000044403
theropithecus_gelada ENSTGEG00000027307
papio_anubis ENSPANG00000015384
cercocebus_atys ENSCATG00000036131
macaca_mulatta ENSMMUG00000018571
macaca_fascicularis ENSMFAG00000031047
macaca_nemestrina ENSMNEG00000041356
chlorocebus_sabaeus ENSCSAG00000005658
piliocolobus_tephrosceles ENSPTEG00000030572
colobus_angolensis_palliatus ENSCANG00000037798
rhinopithecus_roxellana ENSRROG00000041731
rhinopithecus_bieti ENSRBIG00000029817
saimiri_boliviensis_boliviensis ENSSBOG00000026826
cebus_capucinus ENSCCAG00000036096
callithrix_jacchus ENSCJAG00000011726
aotus_nancymaae ENSANAG00000023783
carlito_syrichta ENSTSYG00000009122
propithecus_coquereli ENSPCOG00000025289
microcebus_murinus ENSMICG00000006853
prolemur_simus ENSPSMG00000012117
otolemur_garnettii ENSOGAG00000008829
canis_lupus_dingo ENSCAFG00020019008
canis_lupus_familiaris ENSCAFG00000009282
ursus_americanus ENSUAMG00000026619
ailuropoda_melanoleuca ENSAMEG00000006633
panthera_pardus ENSPPRG00000006852
felis_catus ENSFCAG00000018794
mustela_putorius_furo ENSMPUG00000005639
neovison_vison ENSNVIG00000012921
myotis_lucifugus ENSMLUG00000009820
vulpes_vulpes ENSVVUG00000026984
ursus_maritimus ENSUMAG00000015322
panthera_tigris_altaica ENSPTIG00000012554
sorex_araneus ENSSARG00000011036
pteropus_vampyrus ENSPVAG00000016161
bos_mutus ENSBMUG00000022860
bos_taurus ENSBTAG00000006143
bison_bison_bison ENSBBBG00000003171
capra_hircus ENSCHIG00000008753
ovis_aries ENSOARG00000003188
sus_scrofa ENSSSCG00000013263
equus_asinus_asinus ENSEASG00005014953
oryctolagus_cuniculus ENSOCUG00000004418
nomascus_leucogenys ENSNLEG00000014012
tursiops_truncatus ENSTTRG00000016515
vicugna_pacos ENSVPAG00000008868
equus_caballus ENSECAG00000018306
erinaceus_europaeus ENSEEUG00000000666
loxodonta_africana ENSLAFG00000005092
procavia_capensis ENSPCAG00000006313
echinops_telfairi ENSETEG00000011767
dasypus_novemcinctus ENSDNOG00000010500
ornithorhynchus_anatinus ENSOANG00000005356
apteryx_owenii ENSAOWG00000012751
apteryx_haastii ENSAHAG00000006591
apteryx_rowi ENSARWG00000010262
dromaius_novaehollandiae ENSDNVG00000010761
nothoprocta_perdicaria ENSNPEG00000015287
coturnix_japonica ENSCJPG00005013892
gallus_gallus ENSGALG00000008393
meleagris_gallopavo ENSMGAG00000011042
numida_meleagris ENSNMEG00000019312
anser_brachyrhynchus ENSABRG00000015657
manacus_vitellinus ENSMVIG00005009567
lepidothrix_coronata ENSLCOG00000012049
parus_major ENSPMJG00000014375
cyanistes_caeruleus ENSCCEG00000002818
ficedula_albicollis ENSFALG00000006242
