cyprinodon_variegatus ENSCVAG00000023199
oryzias_latipes ENSORLG00000028500
haplochromis_burtoni ENSHBUG00000008302
astatotilapia_calliptera ENSACLG00000027262
neolamprologus_brichardi ENSNBRG00000003074
anabas_testudineus ENSATEG00000008171
mastacembelus_armatus ENSMAMG00000017207
amphiprion_percula ENSAPEG00000005726
scophthalmus_maximus ENSSMAG00000001687
paramormyrops_kingsleyae ENSPKIG00000020546
sarcophilus_harrisii ENSSHAG00000010842
ornithorhynchus_anatinus ENSOANG00000010283
nannospalax_galili ENSNGAG00000003068
