electrophorus_electricus ENSEEEG00000019901
ictalurus_punctatus ENSIPUG00000021461
clupea_harengus ENSCHAG00000001957
mola_mola ENSMMOG00000000057
gadus_morhua ENSGMOG00000002062
scleropages_formosus ENSSFOG00015000056
periophthalmus_magnuspinnatus ENSPMGG00000015211
cynoglossus_semilaevis ENSCSEG00000017195
oryzias_latipes ENSORLG00015017468
xiphophorus_couchianus ENSXCOG00000011935
gouania_willdenowi ENSGWIG00000012887
gadus_morhua ENSGMOG00000015765
hucho_hucho ENSHHUG00000002199
esox_lucius ENSELUG00000010195
paramormyrops_kingsleyae ENSPKIG00000022129
notamacropus_eugenii ENSMEUG00000000125
periophthalmus_magnuspinnatus ENSPMGG00000010461
callorhinchus_milii ENSCMIG00000015210
petromyzon_marinus ENSPMAG00000005517
