lepisosteus_oculatus ENSLOCG00000003541
pygocentrus_nattereri ENSPNAG00000001913
pteropus_vampyrus ENSPVAG00000013805
myotis_lucifugus ENSMLUG00000025222
sorex_araneus ENSSARG00000001322
neovison_vison ENSNVIG00000010286
mustela_putorius_furo ENSMPUG00000010846
ursus_americanus ENSUAMG00000005008
ursus_maritimus ENSUMAG00000006293
ailuropoda_melanoleuca ENSAMEG00000003649
canis_lupus_dingo ENSCAFG00020016989
canis_lupus_familiaris ENSCAFG00000020388
vulpes_vulpes ENSVVUG00000029911
panthera_pardus ENSPPRG00000013874
panthera_tigris_altaica ENSPTIG00000011003
felis_catus ENSFCAG00000001053
ovis_aries ENSOARG00000012800
capra_hircus ENSCHIG00000001766
bos_taurus ENSBTAG00000005864
bos_mutus ENSBMUG00000016114
bison_bison_bison ENSBBBG00000011953
tursiops_truncatus ENSTTRG00000014130
sus_scrofa ENSSSCG00000031522
vicugna_pacos ENSVPAG00000001415
equus_caballus ENSECAG00000016398
equus_asinus_asinus ENSEASG00005017184
prolemur_simus ENSPSMG00000015995
propithecus_coquereli ENSPCOG00000013212
microcebus_murinus ENSMICG00000042539
otolemur_garnettii ENSOGAG00000031415
saimiri_boliviensis_boliviensis ENSSBOG00000036206
callithrix_jacchus ENSCJAG00000006817
cebus_capucinus ENSCCAG00000026971
aotus_nancymaae ENSANAG00000021345
pan_troglodytes ENSPTRG00000000874
pan_paniscus ENSPPAG00000039777
homo_sapiens ENSG00000154007
gorilla_gorilla ENSGGOG00000003221
pongo_abelii ENSPPYG00000001228
nomascus_leucogenys ENSNLEG00000009629
rhinopithecus_roxellana ENSRROG00000035165
rhinopithecus_bieti ENSRBIG00000005795
colobus_angolensis_palliatus ENSCANG00000030311
piliocolobus_tephrosceles ENSPTEG00000034913
mandrillus_leucophaeus ENSMLEG00000038561
cercocebus_atys ENSCATG00000033818
macaca_fascicularis ENSMFAG00000044899
macaca_mulatta ENSMMUG00000018695
macaca_nemestrina ENSMNEG00000037040
theropithecus_gelada ENSTGEG00000016929
papio_anubis ENSPANG00000022782
chlorocebus_sabaeus ENSCSAG00000001393
tupaia_belangeri ENSTBEG00000002889
oryctolagus_cuniculus ENSOCUG00000002104
urocitellus_parryii ENSUPAG00010015039
ictidomys_tridecemlineatus ENSSTOG00000016248
spermophilus_dauricus ENSSDAG00000004911
spermophilus_dauricus ENSSDAG00000004932
marmota_marmota_marmota ENSMMMG00000000815
chinchilla_lanigera ENSCLAG00000007188
octodon_degus ENSODEG00000000208
cavia_aperea ENSCAPG00000002196
cavia_porcellus ENSCPOG00000011485
heterocephalus_glaber_female ENSHGLG00000004852
heterocephalus_glaber_male ENSHGLG00100005688
fukomys_damarensis ENSFDAG00000010568
cricetulus_griseus_crigri-picr ENSCGRG00015020442
cricetulus_griseus_crigri ENSCGRG00000001711
cricetulus_griseus_chok1gshd ENSCGRG00001019617
peromyscus_maniculatus_bairdii ENSPEMG00000024794
microtus_ochrogaster ENSMOCG00000018775
mus_spicilegus ENSMSIG00000007087
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026702
mus_musculus ENSMUSG00000038997
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025749
mus_pahari MGP_PahariEiJ_G0027200
rattus_norvegicus ENSRNOG00000048832
meriones_unguiculatus ENSMUGG00000019688
nannospalax_galili ENSNGAG00000010382
jaculus_jaculus ENSJJAG00000004726
castor_canadensis ENSCCNG00000002761
carlito_syrichta ENSTSYG00000012725
dasypus_novemcinctus ENSDNOG00000008343
choloepus_hoffmanni ENSCHOG00000013551
loxodonta_africana ENSLAFG00000015332
procavia_capensis ENSPCAG00000014217
echinops_telfairi ENSETEG00000006804
notamacropus_eugenii ENSMEUG00000011089
phascolarctos_cinereus ENSPCIG00000010667
sarcophilus_harrisii ENSSHAG00000006781
monodelphis_domestica ENSMODG00000019095
ornithorhynchus_anatinus ENSOANG00000009850
latimeria_chalumnae ENSLACG00000006987
drosophila_melanogaster FBgn0086704
