macaca_fascicularis ENSMFAG00000014363
macaca_mulatta ENSMMUG00000039171
macaca_nemestrina ENSMNEG00000028341
mandrillus_leucophaeus ENSMLEG00000023884
papio_anubis ENSPANG00000033345
rhinopithecus_bieti ENSRBIG00000034034
rhinopithecus_roxellana ENSRROG00000043741
cercocebus_atys ENSCATG00000035380
piliocolobus_tephrosceles ENSPTEG00000000934
nomascus_leucogenys ENSNLEG00000032525
prolemur_simus ENSPSMG00000024419
urocitellus_parryii ENSUPAG00010007089
castor_canadensis ENSCCNG00000014787
neovison_vison ENSNVIG00000023057
