oryzias_melastigma ENSOMEG00000014562
cyprinodon_variegatus ENSCVAG00000007179
stegastes_partitus ENSSPAG00000008222
xiphophorus_maculatus ENSXMAG00000029695
esox_lucius ENSELUG00000003202
gadus_morhua ENSGMOG00000008436
sphenodon_punctatus ENSSPUG00000018312
eptatretus_burgeri ENSEBUG00000007405
ciona_savignyi ENSCSAVG00000010437
piliocolobus_tephrosceles ENSPTEG00000010861
astyanax_mexicanus ENSAMXG00000031492
tetraodon_nigroviridis ENSTNIG00000000476
caenorhabditis_elegans WBGene00008441
saccharomyces_cerevisiae YKR098C
