serinus_canaria ENSSCAG00000005063
cyanistes_caeruleus ENSCCEG00000018717
melopsittacus_undulatus ENSMUNG00000001694
nothoprocta_perdicaria ENSNPEG00000009329
chelonoidis_abingdonii ENSCABG00000018782
notechis_scutatus ENSNSUG00000012126
ursus_americanus ENSUAMG00000001276
ailuropoda_melanoleuca ENSAMEG00000007419
bison_bison_bison ENSBBBG00000012290
pundamilia_nyererei ENSPNYG00000000852
neolamprologus_brichardi ENSNBRG00000020409
amphilophus_citrinellus ENSACIG00000017533
amphiprion_percula ENSAPEG00000001242
poecilia_reticulata ENSPREG00000018306
xiphophorus_couchianus ENSXCOG00000001937
cyprinodon_variegatus ENSCVAG00000016553
oryzias_latipes_asm223469v1 ENSORLG00015009082
oryzias_latipes ENSORLG00000028398
oryzias_latipes ENSORLG00020020813
oryzias_melastigma ENSOMEG00000012952
seriola_dumerili ENSSDUG00000001822
seriola_lalandi_dorsalis ENSSLDG00000008220
mola_mola ENSMMOG00000021131
tetraodon_nigroviridis ENSTNIG00000009236
hippocampus_comes ENSHCOG00000006649
periophthalmus_magnuspinnatus ENSPMGG00000022913
esox_lucius ENSELUG00000017134
